,CR
01/2019,
02/2019,-0.0018598841879486905
04/2019,-0.01660043241211029
05/2019,-0.00037384274477814117
06/2019,-0.0042194722084950564
07/2019,0.0035576365460852077
08/2019,-0.014476560043320208
10/2019,-0.0038789210103725713
11/2019,-0.0064051571946300845
12/2019,-9.120378558202802e-05
01/2020,0.021639399361638834
02/2020,-0.0013541132720252813
03/2020,-0.025493603798479203
04/2020,0.011983711380441298
05/2020,0.022109963344852934
06/2020,-0.034924762317690594
07/2020,-0.0012780646538125273
09/2020,-0.0351118988103063
10/2020,-0.06019786544551886
11/2020,-0.05154351270248936
01/2021,-0.04831319871966533
02/2021,-0.006799391115756226
03/2021,-0.010376360715929178
04/2021,-0.02142289462097058
05/2021,-0.024236757250625685
07/2021,-0.025680218507020514
08/2021,-0.03029881996225503
09/2021,-0.06142553587304278
10/2021,-0.015623721863708417
11/2021,-0.027049208320236495
01/2022,-0.012263925013211385
02/2022,-0.032731707143601185
05/2022,0.045145137043149486
06/2022,0.06262201998287353
07/2022,-0.011622509367447575
08/2022,0.015730847246089974
09/2022,0.03208288031810613
10/2022,0.043256773331928455
11/2022,0.012969227174488118
12/2022,0.03251425618640513
01/2023,0.011231713414902922
02/2023,0.005232460217701185
03/2023,0.018715459734135242
04/2023,0.016424370767666785
05/2023,0.007767669615969197
06/2023,-0.005137772979482369
07/2023,0.012969602066862818
08/2023,-0.006676645451722307
10/2023,-0.02431453254271565
01/2024,0.0017818990432687531
02/2024,0.0039006693117684677
