,NIM
01/2019,
02/2019,0.11582602672405518
04/2019,-0.18820100960276298
05/2019,0.03612418066032097
06/2019,-0.06154622407432042
07/2019,0.05728605305441148
08/2019,-0.04890013984534858
10/2019,0.02750664905424971
11/2019,-0.001898127702876784
12/2019,-0.04738311733182754
01/2020,0.075311754688133
02/2020,-0.0407132281482262
03/2020,0.002503797393310414
04/2020,0.006667083276238994
05/2020,-0.009292329737060179
06/2020,0.0044373866023061925
07/2020,0.04182818349519857
09/2020,-0.0641783563760987
10/2020,0.09071869515952868
11/2020,0.018649016051252243
01/2021,0.08810457730325716
02/2021,-0.070636262809322
03/2021,0.11097423082194569
04/2021,0.0010065771524514489
05/2021,0.05078933025562504
07/2021,0.05237490533890998
08/2021,0.00783184644329582
09/2021,0.005580045502064035
10/2021,0.03315585592198955
11/2021,0.012998144576819692
01/2022,0.06663811723161905
02/2022,-0.10055353824512148
05/2022,0.027330959240629893
06/2022,0.07523594042896287
07/2022,0.02508065887764932
08/2022,-0.014496870149419583
09/2022,0.1387686495586864
10/2022,-0.0010767645519372815
11/2022,0.027935158459999165
12/2022,0.0007598190617517098
01/2023,0.02644469645884695
02/2023,-0.15067978101547774
03/2023,0.09667285819750826
04/2023,-0.060203517047973
05/2023,0.05475591201648489
06/2023,-0.03824481248971401
07/2023,0.09465870832932688
08/2023,-0.005185623738143019
10/2023,-0.036553712636958724
01/2024,-0.0008879316867381748
02/2024,-0.07540789846337459
