Year,PR
01/2019,
02/2019,0.0
04/2019,-0.004444444444444362
05/2019,-0.02343750000000011
06/2019,0.0
07/2019,-0.01200000000000001
08/2019,-0.01677270098322725
10/2019,-0.04294117647058826
11/2019,-0.04732636754763364
12/2019,-0.07935483870967741
01/2020,-0.059565522074281674
02/2020,-0.180327868852459
03/2020,-0.05545454545454542
04/2020,-0.08277189605389812
05/2020,-0.16054564533053506
06/2020,-0.15874999999999995
07/2020,-0.10846953937592874
09/2020,0.0
10/2020,0.0
11/2020,0.0
01/2021,0.0
02/2021,0.0
03/2021,0.07333333333333347
04/2021,0.08695652173913038
05/2021,0.0714285714285714
07/2021,0.020000000000000018
08/2021,0.045751633986928164
09/2021,0.043749999999999956
10/2021,0.017964071856287456
11/2021,0.0
01/2022,0.09999999999999987
02/2022,0.06951871657754016
05/2022,0.0
06/2022,1.4
07/2022,0.04166666666666674
08/2022,0.0
09/2022,0.0
10/2022,0.0
11/2022,0.0
12/2022,0.0
01/2023,0.0
02/2023,0.0
03/2023,0.0
04/2023,0.0
05/2023,0.0
06/2023,0.0
07/2023,-0.015600000000000058
08/2023,-0.10605444941080855
10/2023,-0.12045454545454537
01/2024,-0.22480620155038766
02/2024,0.0
