,RA
01/2019,
02/2019,0.03594529754300213
04/2019,-0.07094688168166541
05/2019,0.008363123739797418
06/2019,0.043014537048859935
07/2019,0.06390868346922818
08/2019,0.043240786586584035
10/2019,0.0328393377144609
11/2019,0.05180889510171438
12/2019,-0.017218963526379305
01/2020,0.024065447798021555
02/2020,0.060502234832870094
03/2020,-0.0535202189929429
04/2020,0.06488642724173443
05/2020,-0.12833661740432056
06/2020,-0.007829924894477869
07/2020,-0.0008172170913476329
09/2020,0.016683435224003285
10/2020,0.038354993114426694
11/2020,0.02609663813848284
01/2021,-0.023846564425705874
02/2021,-0.0034538455994080897
03/2021,0.0070465314614609476
04/2021,-0.1062956036615268
05/2021,0.012992983487100984
07/2021,0.06430185729040727
08/2021,0.04604660496549973
09/2021,0.02576071024288007
10/2021,0.02763675679032085
11/2021,0.019618588168220708
01/2022,0.0477493014858279
02/2022,0.01023209161606764
05/2022,-0.21321300924025932
06/2022,0.1540123059235865
07/2022,-0.013675942200865654
08/2022,0.020444760684316554
09/2022,-0.13023349473147683
10/2022,0.004401740555340927
11/2022,-0.016817808346241025
12/2022,-0.05698800017481398
01/2023,0.07105555477788639
02/2023,0.011681062119390129
03/2023,0.062327896623520784
04/2023,-0.10575031361966258
05/2023,0.0695193286861342
06/2023,0.053898105701520205
07/2023,0.044457577542145854
08/2023,0.04439018810273199
10/2023,0.07840120721343058
01/2024,-0.11854473053393
02/2024,0.02183925374502249
