,SIZE
01/2019,
02/2019,0.00017270035853589327
04/2019,-9.478179580912904e-05
05/2019,-0.0004919582406520684
06/2019,0.0010610342781740556
07/2019,-0.0006105848469210029
08/2019,0.000919081466233429
10/2019,0.002359451375411048
11/2019,0.0006309214152260267
12/2019,0.002661920486834779
01/2020,0.001410996428054423
02/2020,0.00014893124695580795
03/2020,0.0015310881484218442
04/2020,-0.00021975212671965227
05/2020,0.00078040690791914
06/2020,-0.0016193947423448485
07/2020,0.0012508197168195068
09/2020,0.0010027713411033812
10/2020,-0.0008270946867569018
11/2020,-0.0009477515858083985
01/2021,0.0007226253302463626
02/2021,-0.0005988792555428057
03/2021,-0.00028579779148030227
04/2021,0.0005931025176488802
05/2021,-0.000458710378453131
07/2021,5.087267828618458e-05
08/2021,-0.0007406812912413852
09/2021,0.0003377474824235449
10/2021,8.218083977640234e-05
11/2021,0.0009254264243481192
01/2022,0.00162138154050262
02/2022,-8.760314846867345e-05
05/2022,-0.0016870492326813702
06/2022,-0.00021258745484808994
07/2022,0.0029131504610313552
08/2022,-8.400932647378845e-05
09/2022,-0.0005875578717829955
10/2022,0.00036993080488190166
11/2022,0.0010493675398699498
12/2022,0.002117531009214968
01/2023,0.0001911891141097577
02/2023,0.0011429606657598068
03/2023,0.0017643773820088526
04/2023,0.0024813390509288435
05/2023,0.0006897416123627931
06/2023,0.002339084984092743
07/2023,0.0017062625302990408
08/2023,0.0014409823999337323
10/2023,0.0025767944163721523
01/2024,0.003674055063167536
02/2024,0.0003570020086296477
