,CR
01/2019,0.0030399413330634006
02/2019,0.0036465825470616275
04/2019,-0.0043228838398947644
05/2019,-0.002530093972708203
06/2019,-0.0014202569812864496
07/2019,0.005688137686154837
08/2019,0.0003276521246313724
10/2019,-0.00048393384452805055
11/2019,-0.0031362135680996772
12/2019,-0.0032412208915043594
01/2020,0.008414302148312625
02/2020,0.005917843610721896
03/2020,-0.01246965613128459
04/2020,-0.010572527790496888
05/2020,0.005504397019586937
06/2020,-0.0031197636484151525
07/2020,0.012515353814942065
09/2020,0.015656794032331223
10/2020,0.001451027369296698
11/2020,-0.011305438145098157
01/2021,-0.01839238787910874
02/2021,-0.004836087685024415
03/2021,0.0050131692631759095
04/2021,0.008137809331221879
05/2021,0.007332325898443959
07/2021,0.00268055835322617
08/2021,0.00027246475414022253
09/2021,-0.01066737884000546
10/2021,-0.002346034783385076
11/2021,0.003134618186876381
01/2022,0.005866574024782967
02/2022,-0.00874489175293608
05/2022,0.0010770379056267987
06/2022,0.011504010200499737
07/2022,-0.0036755018151388708
08/2022,-0.004698987022632606
09/2022,-0.002613826621973736
10/2022,0.003219834701364055
11/2022,-0.001775886085065792
12/2022,0.002877640472541465
01/2023,3.841482066713198e-05
02/2023,-0.003144879571928716
03/2023,-0.0003033443750866671
04/2023,0.00177932036085382
05/2023,0.0020270985135055763
06/2023,-0.0020026554354136694
07/2023,0.0036855795238012745
08/2023,0.0014776134598050716
10/2023,-0.007326770579493935
01/2024,-0.0019058864871602244
02/2024,0.002634653557647082
