,NIM
01/2019,-5.367727659073493e-05
02/2019,0.0005365346909203999
04/2019,-0.00025646573588087316
05/2019,-8.415651043394614e-05
06/2019,-0.000232823710276997
07/2019,0.00010280950083747537
08/2019,-1.9040442515819243e-05
10/2019,9.877640578208856e-05
11/2019,8.180032840350787e-05
12/2019,-0.0001541300650377054
01/2020,0.00010099351467495517
02/2020,-2.9188389460589083e-05
03/2020,-7.036105496046122e-06
04/2020,3.5560655309954756e-05
05/2020,-5.259606780070279e-06
06/2020,-2.6370189151507344e-05
07/2020,8.912824593597726e-05
09/2020,-0.00021365742138749122
10/2020,3.8923864885852776e-05
11/2020,1.1104369586931867e-05
01/2021,0.00024064219863719448
02/2021,-0.00022656723991487313
03/2021,7.506486223551531e-05
04/2021,-6.894147983409118e-05
05/2021,-9.86572618997053e-07
07/2021,7.898972914673237e-05
08/2021,-1.6166033397240452e-05
09/2021,-8.297034771200754e-05
10/2021,1.630816153195061e-05
11/2021,5.3110590630448505e-05
01/2022,0.0003547069328643671
02/2022,-0.0002977480101162295
05/2022,-0.00022071979190637497
06/2022,0.00011520853056683992
07/2022,0.00010920689057919864
08/2022,-0.00021622614575642074
09/2022,0.0002747581111567721
10/2022,-0.00012187957007144413
11/2022,-0.00010244143405741674
12/2022,-5.914647215977953e-06
01/2023,0.00034312115646762797
02/2023,-0.0003547563918375272
03/2023,0.0003374329202000337
04/2023,-0.00016597873155454156
05/2023,4.9844865784940545e-05
06/2023,-0.0003978572223806475
07/2023,0.0001146932259521909
08/2023,0.00019333829811267987
10/2023,5.13136262967704e-05
01/2024,0.00019644021530090816
02/2024,-0.00019284363224919554
