,PR
01/2019,0.03592048214567711
02/2019,0.11900479060220093
04/2019,0.12334013587875248
05/2019,-0.2304704284190997
06/2019,-0.09656995401338264
07/2019,-0.11932685278962651
08/2019,0.028344513870031562
10/2019,0.02174651129503502
11/2019,0.16080902351952275
12/2019,0.09003376323446766
01/2020,0.4207552717913732
02/2020,-0.8102451883743047
03/2020,-0.05000162951964171
04/2020,0.5905230992038035
05/2020,0.21969563443957352
06/2020,-0.26214612045331087
07/2020,-0.3908499433404673
09/2020,-0.10912654050621118
10/2020,0.12502446565206426
11/2020,0.31424478205226514
01/2021,0.2004052368857172
02/2021,-0.17130169588107425
03/2021,-0.1269062148539648
04/2021,-0.008895190679456988
05/2021,-0.0908491126496962
07/2021,-0.6174628898570127
08/2021,-0.5092717917405505
09/2021,0.08675600227123503
10/2021,0.7574610873035832
11/2021,1.7118719983685375
01/2022,1.5249410033456794
02/2022,-1.069648377034806
05/2022,-5.227129254932651
06/2022,3.038916711301624
07/2022,0.6313254300091238
08/2022,-0.07310452762676789
09/2022,-0.5137719159469611
10/2022,0.33827251645489653
11/2022,0.4799143214627506
12/2022,-0.3756792728924836
01/2023,-0.3911938242576163
02/2023,-0.056115468132908575
03/2023,0.0866075349887403
04/2023,0.20452357445420688
05/2023,0.19769108547530934
06/2023,-0.023559923315907838
07/2023,0.44902721027822423
08/2023,-0.15240767663706478
10/2023,-0.3396315276248778
01/2024,-1.4480667154912048
02/2024,0.5513062829065021
