,RA
01/2019,0.0008426848861130681
02/2019,0.005000064515176317
04/2019,-0.0013753995475117436
05/2019,-0.0026419301214251623
06/2019,-0.00175844516580978
07/2019,-0.0001229890165451858
08/2019,0.0003930413165720986
10/2019,0.0006322671503430632
11/2019,0.0021332150631041408
12/2019,-0.0033858351029670553
01/2020,-0.0028136014043082247
02/2020,0.003596691576039368
03/2020,-0.0006337448263441792
04/2020,0.009471509286707869
05/2020,-0.002827466382929092
06/2020,-0.003955376812291231
07/2020,-0.004081442039228625
09/2020,-0.0031364387573983854
10/2020,0.0006195910164058516
11/2020,0.004285031463950359
01/2021,0.0025681432141672206
02/2021,0.0029084238163635395
03/2021,0.003959946903984976
04/2021,-0.006827056325613867
05/2021,-0.006001588987166628
07/2021,-0.0008244920151826429
08/2021,0.0021164957818708835
09/2021,0.002324285758565192
10/2021,0.0020034869428233043
11/2021,-5.3479434754352684e-05
01/2022,0.0034133850980880287
02/2022,0.005600128946418287
05/2022,-0.01682629601890881
06/2022,0.0008569790961343721
07/2022,0.0025011915695608983
08/2022,0.006671695609944572
09/2022,-0.0037777184465019042
10/2022,0.0002658996973104871
11/2022,0.0009530095739651578
12/2022,-0.0033321209921040457
01/2023,0.0025650778396041213
02/2023,0.002055362704226793
03/2023,0.006000595139070378
04/2023,-0.006314824938650085
05/2023,-0.003584049252963642
06/2023,-0.003010679146882911
07/2023,-0.0014108424834109318
08/2023,0.002154821219596051
10/2023,0.010101414325721009
01/2024,-0.002796137812324642
02/2024,-0.00037034603248992104
