,ROA
01/2019,9.66983568711369e-05
02/2019,-0.00011454609968575107
04/2019,-0.001175189856947566
05/2019,0.0006613031619013563
06/2019,0.001345944492967658
07/2019,-0.0009097197755174443
08/2019,0.0018577852418918206
10/2019,-0.0017495497872349027
11/2019,-0.0003756720735130026
12/2019,-0.0009657017710328073
01/2020,9.430179080942812e-05
02/2020,0.0014222912139960388
03/2020,-0.0007193014639999508
04/2020,0.002343567399459845
05/2020,-0.0013939085886739578
06/2020,-0.0009301961712993379
07/2020,0.00016785060064296656
09/2020,0.0003852271109434681
10/2020,0.0002214526618291579
11/2020,0.0004767681576494905
01/2021,-0.0004722213261642849
02/2021,-0.00185606984418507
03/2021,6.512211209606152e-05
04/2021,0.0015325910295145625
05/2021,-4.169043358867759e-05
07/2021,0.0014326725084781774
08/2021,-0.001013742273857073
09/2021,-0.0009705418789054303
10/2021,-0.0003475953306739544
11/2021,0.0011137784571001747
01/2022,0.0006250568839807451
02/2022,-0.000721514156344652
05/2022,-0.0001209132726166743
06/2022,-0.0016368279804103419
07/2022,0.0024280647468759853
08/2022,0.002164710800089094
09/2022,-0.003955759380907756
10/2022,-0.0007665690154149522
11/2022,0.0006686101675749383
12/2022,0.0006504052505325944
01/2023,0.0020377856763233795
02/2023,-0.0025271735004334063
03/2023,0.0021528562573846447
04/2023,-0.001122644765282536
05/2023,-0.0005694309863377347
06/2023,0.00021767664027153542
07/2023,0.0005400999849245244
08/2023,-0.00029181944486613397
10/2023,-0.00040722411559279
01/2024,0.0010278014800702527
02/2024,-0.0007763478690738642
