,LAS
01/2019,0.0700315991416273
02/2019,0.0519434670262226
04/2019,-0.1247448188911337
05/2019,0.0865565209910501
06/2019,0.0234610475119201
07/2019,0.0730123371333637
08/2019,-0.233149523660465
10/2019,-0.0561790753627695
11/2019,-0.1091384907442376
12/2019,0.2418957687034781
01/2020,0.2406398646064231
02/2020,0.2124913671083996
03/2020,-0.4591544985867835
04/2020,-0.2252681497996573
05/2020,0.0839062152252885
06/2020,0.158474893100962
07/2020,0.0848671908601907
09/2020,-0.0237995851204479
10/2020,-0.0494281531355378
11/2020,-0.1998473078462903
01/2021,0.0226222219045197
02/2021,-0.1268063469193245
03/2021,-0.0158447261957253
04/2021,-0.0296520778681075
05/2021,0.0675537782389761
07/2021,0.0615340010628124
08/2021,-0.1995768030481759
09/2021,-0.0907937286754747
10/2021,-0.0849033208557776
11/2021,-0.1166478812662981
01/2022,0.0934146114448708
02/2022,-0.5241438754506702
05/2022,0.0995141592519495
06/2022,0.0375013488425701
07/2022,-0.0656128726872165
08/2022,-0.1817964827461788
09/2022,-0.1157418173461284
10/2022,-0.0242747363279631
11/2022,0.0425942198179716
12/2022,0.3271539622172348
01/2023,0.0383037816898914
02/2023,-0.0617663673642727
03/2023,-0.1761466244530165
04/2023,0.0272460670552394
05/2023,-0.0970273977526829
06/2023,0.0588313615022912
07/2023,-0.0126187597929603
08/2023,0.116849345844022
10/2023,-0.1180016295881851
01/2024,0.0092285569853225
02/2024,-0.0071726729552463
