,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,,,,,,,,,,,
06/2019,,,,,,,,,,,
07/2019,5.970242954055669e-06,-0.0007587570426438,9.583649860895954e-05,-0.0001015170941398,-0.0002909185394845,-0.0001763241971657,-0.0003610977695889,-0.0004100840032207,-3.301217100278867e-05,-0.0003471282687505,5.49417025132736e-05
08/2019,8.187772606384193e-05,-0.0004939712891663,0.0001533584936898,0.0004732684770958,5.279074232481776e-05,-0.00029205103077,-7.785141420087351e-05,-1.930908433464383e-05,-5.814218188470014e-05,-3.134155986527104e-05,3.834703332460934e-06
10/2019,-0.0001400628433812,-4.189969809913948e-05,0.0004604815268029,-0.0002066676212176,5.415719673052791e-05,0.0002966865440909,-0.0003633746093614,0.0001035841707388,0.0005807009855044,-0.0001871630609455,0.0001791500571149
11/2019,-0.0002375346631281,-0.0001359648644229,0.0002556194994892,-9.23562982269998e-05,-0.0001614618989559,-7.325676429968314e-05,-0.0005706186960402,8.868436429836882e-05,-0.0004262640832577,-0.0001842001628897,0.0003236401102743
12/2019,-0.0003946052062167,0.0019862296301689,0.0002454974894808,0.0001243391278543,-0.0010669951505802,0.0002256470744185,0.0003931373892852,0.0001903972835068,-0.0019138739081022,1.6801666024169183e-05,-0.0002241002989498
01/2020,-0.0001342034929926,0.0004382006757076,0.0003387124289437,-0.0003432329131728,-0.0003782041586356,-9.109157672322912e-05,-0.0001236043896576,-0.0001195401513323,0.0001719582722902,0.0004545488887374,0.0007004296510855
02/2020,-1.6503958671737875e-05,0.0003504179037535,0.0008607872921643,0.0003517781748894,-0.0001233547415243,0.000406629644154,0.0003861197453654,0.000489891203138,0.0016909396045136,0.0003458745135894,0.0009202094137903
03/2020,0.000573234344823,-7.939970905497182e-05,0.0004258278251769,0.0001174441181386,-9.430409193322924e-05,2.2470467441452536e-05,-0.0001381465759311,0.0003669152750675,-0.0001647113316842,0.0004444138580201,-0.0010975990217229
04/2020,0.0002672270924039,9.326220394285044e-05,-0.0003181118384857,-0.0001012666489257,0.0001333229726224,0.0001300701151884,-0.0003171383126906,5.9410002789934166e-05,-0.0004389987692878,0.0004520607154045,0.0006151111613952
