,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,,,,,,,,,,,
06/2019,-0.004424181390577,-0.025855867620943,-0.0119914325186038,0.0033032140158188,-0.0282332144362947,-0.0206235221509392,-0.0315783737912941,-0.0413103046319779,-0.0335446497847403,0.01821367761815,-0.0098304718613368
07/2019,-0.0059794492254603,-0.0131654458753548,-0.0099547912185488,-0.0116333352224065,0.0040991448019864,-0.0275603882378796,-0.035127542465821,0.0193687775650945,-0.0063879375659036,-0.0343051008339061,-0.0224207501878684
08/2019,-0.0109883234957405,-0.0294839168800317,-0.0596019333441812,-0.0164872685613091,-0.0075326155403795,-0.0592117495980174,-0.0757849998446577,-0.0398453256451069,-0.035391723920361,-0.0438157813250358,-0.0573118679063669
10/2019,-0.0115786304489179,-0.0136555852149294,-0.0164602211211934,0.0042004562076432,0.0109557776584082,-0.0067051873109738,-0.0348379909416912,-0.0002942572386566,-0.0184130793307806,0.00185975572644,-0.0064858031158929
11/2019,-0.0170869340960717,-0.0371384673086709,-0.0037505039052079,-0.0214322011662169,-0.0003225562674211,-0.0301439831040223,0.0118323509764723,-0.0062397052643098,-9.078222496070044e-05,-0.0320769610999264,0.0302889595756417
12/2019,-0.0004782539351202,-0.024299530345476,0.0127155618267415,0.006322669689178,0.0052588064230887,0.0524940190175471,0.1256675104338964,-0.0177436347071468,0.0416879052516125,0.0749758239448195,0.0326128710390176
01/2020,-0.0062854876296185,0.0833417935202074,0.0193861853912935,-0.0092906339467682,-0.0349004298832038,0.0742346769499103,0.1193157541586336,0.0472003477810066,0.0480822939570073,0.0295973657868666,0.0239679675707427
02/2020,0.0011756513268129,0.091104076928503,0.0238131237698729,-0.0018737250711619,-0.0215437363195189,0.1127850322823665,0.085386670819701,0.0292093045971958,0.0343202183308972,0.0379395959976961,-0.0025732109162708
03/2020,-0.0007407500413232,-0.0322684236296144,-0.0322397746168741,-0.0059464673379445,-0.0325948914557198,-0.0098781087906047,-0.088906391050574,-0.0334102181739458,-0.016246263336755,-0.0606797489255519,-0.0040566175943472
