,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,,,,,,,,,,,
06/2019,,,,,,,,,,,
07/2019,-0.0038895912330122,0.011925073418491,-0.0055270366465291,0.0178479641714812,0.0627544182103037,-0.0030449242143261,0.0045638127180947,0.0001908302086868,-0.0177128087233377,-0.0119147883162265,0.0880099108477815
08/2019,0.001329474492544,0.0012872277127513,-0.0013897504895285,-0.0063829585787712,0.0102653889413012,-0.0013570120042563,-0.0008812884402742,-0.0008757729088918,0.0030074723650856,-0.021005706369744,0.0051317178548169
10/2019,-0.0077736705957264,-0.0033735903629742,-0.009844090236431,-0.0065932650391121,-0.0003796208537454,0.0014515619766033,0.0026322380075175,-0.0002375490490621,0.0292391863426494,-0.0197834845517454,-0.046221408614547
11/2019,0.0611785254144876,-0.0055213268876806,-0.0086192026586553,-0.0028703294089451,0.0339783646942916,0.0085302909613497,-0.0008938441143522,0.0015644811626777,-0.0128722260363168,-0.0128926882935725,-0.0180054717014371
12/2019,0.0236532869539161,-0.0057486984508013,-0.0029161438391114,0.0298238267661964,-0.0034928147283662,0.0025285696002212,-0.0015082940950641,0.0006807658692658,0.0476274381366031,0.0023015544515804,-0.0172315691995877
01/2020,-0.013216969463566,-0.0011672602360936,0.0279967088728515,-0.0074352097297714,-0.0058623063658646,-0.0021181962472327,-0.0010221795474273,-0.0028793425524372,-0.0091356789496282,-0.0066329552803227,-0.0314509594676986
02/2020,-0.0114447119770917,-0.0057031809038621,-0.0052706533482738,0.0002990325211066,-0.0023853769670302,6.579058056683032e-05,0.0024606615034401,-0.0017517000628731,0.0180664796664618,-0.0189269665618273,-0.0250801646257433
03/2020,-0.0047361366958942,-0.0022423056852468,-0.0067913943075666,-0.0051478043224218,-0.0057214371737617,-0.0026124648128841,-0.0012111856914094,-0.0002071683609063,-0.0120275521576457,0.1390913191416065,0.1558370452454625
04/2020,-0.0096159919456881,0.0187282994747378,-0.0058092816470658,-0.0045878611960427,-0.0032321637258128,-0.0016292295380361,-0.0010168052569682,-0.0050921893001294,-0.0018443776979003,-0.0189458681773361,-0.0294200645159316
