,CR
01/2019,2.725911401371189
02/2019,2.6798049157389725
03/2019,2.674822336657239
04/2019,2.674424433794232
05/2019,2.616038076846678
06/2019,2.6055008036325256
07/2019,2.6024941917541504
08/2019,2.5524566000055664
09/2019,2.407246903437794
10/2019,2.573431682261769
11/2019,2.5111320144284996
12/2019,2.3949148219436576
01/2020,2.4245879782554285
02/2020,2.406393995985775
03/2020,2.402539744286825
04/2020,2.4056476584605893
05/2020,2.453138958161621
06/2020,2.3178468418593234
07/2020,2.341738495552391
08/2020,2.3193370416712695
09/2020,2.1579899347164773
10/2020,2.0641343463102313
11/2020,2.0120908087280585
01/2021,1.836547367389808
02/2021,1.7794304556481266
03/2021,1.7600077219278358
04/2021,1.7826763304897686
05/2021,1.6896698740161218
06/2021,1.6598758907996696
07/2021,1.633746101829036
08/2021,1.5921157143348625
09/2021,1.4392362904309444
10/2021,1.4307276443673649
11/2021,1.4137487069508254
12/2021,1.415807402556925
01/2022,1.4323052358171915
02/2022,1.4089823705590074
05/2022,1.582296926659594
06/2022,1.822916980742187
07/2022,1.9196196119405478
08/2022,1.9640185852337195
09/2022,2.0666373049385176
10/2022,2.2090684680415213
11/2022,2.2627312279015093
12/2022,2.4190658262598377
01/2023,2.446828731654181
02/2023,2.435561218409679
03/2023,2.4823511221963748
04/2023,2.5120881111804527
05/2023,2.5122999572865017
06/2023,2.4942636147744404
07/2023,2.6380523779180063
08/2023,2.6272575493446846
09/2023,2.569742941170448
10/2023,2.5216765453110304
11/2023,2.5029310327584886
12/2023,2.518449760511439
01/2024,2.5502927561517112
02/2024,2.5530112014221857
