,LAS
12/2018,1.8483440316503705
01/2019,1.9802631737322696
02/2019,1.9251367433360245
03/2019,1.838992641263398
04/2019,1.612613596659545
05/2019,1.7032249769538885
06/2019,1.5942874646096945
07/2019,1.6780935102200432
08/2019,1.4319848069665309
09/2019,1.8237456409245976
10/2019,1.8255351299561295
11/2019,1.8575738452766086
12/2019,2.332655096450564
01/2020,2.4798978095003648
02/2020,2.536221731766498
03/2020,1.8831791403469065
04/2020,2.1013855794769847
05/2020,2.337286611927536
06/2020,2.3931870772625055
07/2020,2.3625529703323895
08/2020,2.217063447081
09/2020,2.326700567524307
10/2020,2.3767890583723648
11/2020,2.3311796023706064
12/2020,3.0491971819250168
01/2021,2.8933736824525935
02/2021,2.8278056627778287
03/2021,2.903478530578709
04/2021,2.816361942434072
05/2021,2.7613822177650174
06/2021,2.712728398866806
07/2021,2.690566802057358
08/2021,2.4228684759396986
09/2021,2.544556871106078
10/2021,2.5541891767718283
11/2021,2.506197192100181
12/2021,3.1386480806366936
01/2022,2.7505547844646276
02/2022,2.154017232554367
03/2022,2.824513447148661
04/2022,2.8765962194324692
05/2022,2.8589056020054695
06/2022,2.8466926808981223
07/2022,2.8134559435397053
08/2022,2.7788358653158127
09/2022,2.9423189463379953
10/2022,3.099858090292947
11/2022,3.196689083228769
12/2022,3.5010807252507847
01/2023,3.208830831241635
02/2023,3.1534552008196157
03/2023,3.1388079720913384
04/2023,3.451456266445037
05/2023,3.464657530090734
06/2023,3.7077799640270297
07/2023,3.663514289677158
08/2023,3.8129697157918034
09/2023,3.723560730329102
10/2023,3.5877697365117136
11/2023,3.7280626853899395
12/2023,3.8780428093117814
01/2024,3.8582840407042704
02/2024,3.872836754697013
