,NIA
01/2019,0.168979189759993
02/2019,0.1594163114223745
03/2019,0.0857771573311189
04/2019,0.117082983917878
05/2019,0.1316892076388455
06/2019,0.2381172192533259
07/2019,0.3241104497279389
08/2019,0.1680673879678808
09/2019,0.11063580026433999
10/2019,0.14697668672081687
11/2019,0.25104060375303583
12/2019,0.2815211553033141
01/2020,0.143933026515024
02/2020,0.13720662121893767
03/2020,0.44030729448948025
04/2020,0.1243552231136187
05/2020,0.11490459061426499
06/2020,0.2150427134924529
07/2020,0.1324843549388939
08/2020,0.12017434464129821
09/2020,0.1393040735769448
10/2020,0.13617346931966928
11/2020,0.1292751313799245
12/2020,0.2612932317509442
01/2021,0.1343460648209609
02/2021,0.39377145239914235
03/2021,0.5760752091652952
04/2021,0.25616692166035804
05/2021,0.17042137989381728
06/2021,0.2412152835026872
07/2021,0.2945182726274129
08/2021,0.1136620030091002
09/2021,0.14109861355085418
10/2021,0.1456879749171753
11/2021,0.3275355721516229
12/2021,0.07893236795182212
01/2022,0.1096791749340399
02/2022,0.095075130732496
03/2022,0.2384741161363759
04/2022,0.0833506365828371
05/2022,0.06733483603110915
06/2022,0.116325283780459
07/2022,0.0675604768454936
08/2022,0.084535340552615
09/2022,0.35144103334600646
10/2022,0.0828560028296021
11/2022,0.131065102960791
12/2022,0.1776386755970936
01/2023,0.057121701389981606
02/2023,0.10676067070521948
03/2023,0.2210574592109118
04/2023,0.0985150492609817
05/2023,0.1633585550057493
06/2023,0.1325838839703143
07/2023,0.083094677383104
08/2023,0.08745896911202501
09/2023,0.18709526636023033
10/2023,0.0970811539828433
11/2023,0.07951914649640111
12/2023,0.4004166220836804
01/2024,0.12368142290621062
02/2024,0.13032350021794228
