,SIZE
12/2018,0.0
01/2019,195.43415082395975
02/2019,195.489966847046
03/2019,195.52484526078862
04/2019,195.73659575608025
05/2019,195.64979014752015
06/2019,196.00267239326382
07/2019,195.9794058518287
08/2019,196.12835607500276
09/2019,196.27299362759055
10/2019,196.9407446130999
11/2019,197.05536840054845
12/2019,197.63245915056834
01/2020,197.95077908367693
02/2020,198.17684211564367
03/2020,198.72369792485404
04/2020,198.51436664221868
05/2020,198.71348618491447
06/2020,198.78098981422895
07/2020,199.2563001142922
08/2020,199.3644150875516
09/2020,199.67113086950448
10/2020,199.68672713623795
11/2020,199.68233904118716
12/2020,200.1156358797448
01/2021,200.13504143993967
02/2021,199.96647584885872
03/2021,199.9610627343916
04/2021,200.09660899462952
05/2021,200.119187413935
06/2021,200.19175107707045
07/2021,200.3719029394566
08/2021,200.34003759359024
09/2021,200.61531167047852
10/2021,200.6587660693627
11/2021,200.96756302115278
12/2021,201.4651941403714
01/2022,201.5416359343563
02/2022,201.43734415434997
03/2022,201.13436525265018
04/2022,201.06384370143172
05/2022,200.84767370843173
06/2022,200.52121977669105
07/2022,201.30764594443076
08/2022,201.23570117160105
09/2022,201.24396043758674
10/2022,201.36051407215382
11/2022,201.68645837733396
12/2022,202.22475715098253
01/2023,202.26980248071206
02/2023,202.5586861970661
03/2023,203.06853172198217
04/2023,203.6966342342748
05/2023,203.9892674908021
06/2023,204.5577607058992
07/2023,204.9356614861508
08/2023,205.26312175001902
09/2023,205.43166245743635
10/2023,205.8402799466003
11/2023,206.08440430906145
12/2023,206.7980028488119
01/2024,206.73988077158484
02/2024,206.88712913599548
