,LAS
12/2018,
01/2019,
02/2019,
03/2019,
04/2019,
05/2019,
06/2019,-0.1896405509604949
07/2019,-0.10496949853437937
08/2019,-0.25658493786369563
09/2019,0.029058862954968928
10/2019,-0.013426254628055051
11/2019,0.0005135266275130002
12/2019,-0.07623347854058488
01/2020,0.224130613949903
02/2020,0.42999649456142147
03/2020,-0.251742311051527
04/2020,-0.16327011928659904
05/2020,0.02366130700377825
06/2020,0.05305750825897807
07/2020,0.017202064067195988
08/2020,-0.01689170275020549
09/2020,-0.04073044185168154
10/2020,-0.0850131105885106
11/2020,-0.14939809861365885
12/2020,0.04551307127305987
01/2021,0.07763611455115207
02/2021,0.2005983548735706
03/2021,0.2835905182424986
04/2021,0.09419603410915703
05/2021,0.018265119004145767
06/2021,-0.018322990885203474
07/2021,0.003601823281306704
08/2021,-0.08929794922840686
09/2021,-0.01505887881944959
10/2021,-0.02671412608773041
11/2021,-0.052593546634612715
12/2021,0.07809048478295894
01/2022,-0.10577702989627466
02/2022,-0.5114942247374683
03/2022,0.1525684465845579
04/2022,0.07953271593083724
05/2022,0.004068279046185595
06/2022,-0.028931268356525344
07/2022,-0.05450145685012514
08/2022,-0.009086370768308122
09/2022,0.02084380187722465
10/2022,0.11926683546535852
11/2022,0.19559146278182102
12/2022,-0.053256733354371366
01/2023,-0.20187635444371796
02/2023,-0.12498728053646133
03/2023,-0.19030330961446698
04/2023,-0.016345286592332777
05/2023,-0.05188136089304715
06/2023,0.17647898214457372
07/2023,0.1313087482373299
08/2023,0.36450264081194417
09/2023,
10/2023,
11/2023,
12/2023,
01/2024,
02/2024,
