,NIM
01/2019,
02/2019,
03/2019,
04/2019,
05/2019,
06/2019,
07/2019,-0.002322090641920715
08/2019,-0.0002075364177149688
09/2019,-5.264568183231756e-05
10/2019,0.0007355926479776101
11/2019,-0.00121371345715958
12/2019,-0.0004175249031101976
01/2020,0.0009139732342501499
02/2020,0.005662788795162184
03/2020,0.000376145158341207
04/2020,0.0005749486943574479
05/2020,0.0006879941796435985
06/2020,-0.0009427984551255351
07/2020,-0.0016395354841888515
08/2020,-0.0009028107713066413
09/2020,-0.0017155335780526257
10/2020,-0.001722960150549283
11/2020,-0.0017071239656711737
12/2020,-0.005195440239254831
01/2021,-0.0016194452846740757
02/2021,-0.00018060607829135673
03/2021,0.0002190091936592103
04/2021,0.0037585580643731435
05/2021,0.0038624896442497987
06/2021,-0.0001692446162167284
07/2021,-0.000717867889116151
08/2021,-0.00082438954940764
09/2021,-0.00047559319203167936
10/2021,-0.0019815959816180317
11/2021,-0.001123882068224392
12/2021,0.0031977837807619187
01/2022,-0.0005828637099950266
02/2022,-0.002288377102709638
03/2022,0.0004933787976745306
04/2022,-0.00240380453597117
05/2022,-0.004045633160269038
06/2022,0.002733959593674771
07/2022,0.002329535307091188
08/2022,-0.0010241507398787717
09/2022,0.0024213413631487537
10/2022,0.0031465323954218355
11/2022,0.004222288402287277
12/2022,0.002592750272835241
01/2023,0.0014659046716510834
02/2023,-0.003016236702929058
03/2023,-0.0009109642384428169
04/2023,-0.0017521333115272904
05/2023,-0.00032728175239222796
06/2023,-0.0014443476111003764
07/2023,0.002571919847174692
08/2023,0.0031808486173481856
09/2023,
10/2023,
11/2023,
12/2023,
01/2024,
02/2024,
