,ROA
01/2019,
02/2019,
03/2019,
04/2019,
05/2019,
06/2019,
07/2019,-0.01865850071642879
08/2019,0.005062779707070293
09/2019,-0.0019338077105961774
10/2019,0.0007563051211842428
11/2019,-0.006523489922972764
12/2019,0.0016983985782998779
01/2020,0.0030326982084253684
02/2020,0.01481945864494829
03/2020,0.015767418134050026
04/2020,0.007661203257766806
05/2020,-0.004676908910288761
06/2020,-0.010489900464540864
07/2020,-0.014621740658600172
08/2020,-0.006566748148643638
09/2020,0.0036905909976792774
10/2020,-0.000307452220206352
11/2020,0.0003641150429413405
12/2020,-0.0074151438038661316
01/2021,-0.009883017530758952
02/2021,0.00015757966702901333
03/2021,0.005694169509943296
04/2021,0.01864647248496374
05/2021,0.0035234903625375675
06/2021,-0.004020561135156145
07/2021,-0.011539798069703445
08/2021,-0.005625386646428686
09/2021,-0.003978982053308047
10/2021,-0.0005863805462988222
11/2021,0.006877238737579586
12/2021,0.005783955107920965
01/2022,0.0012169028697470241
02/2022,-0.006515714238769461
03/2022,-0.020912101431042246
04/2022,-0.020541765865910715
05/2022,0.007852846218665381
06/2022,0.01591219262128343
07/2022,0.032605248590432775
08/2022,0.006370082584311624
09/2022,0.0021261564185574957
10/2022,4.148529765347995e-05
11/2022,-0.0008139062052156141
12/2022,-0.0001632522300221628
01/2023,0.005537374104919107
02/2023,-0.008557366420875297
03/2023,-0.0006455285606185293
04/2023,-0.0058619522244872865
05/2023,-0.00679547001858164
06/2023,-0.001497773369253874
07/2023,0.012094737919715309
08/2023,0.0006392195691060907
09/2023,
10/2023,
11/2023,
12/2023,
01/2024,
02/2024,
