,CDR
12/2018,
01/2019,
02/2019,
03/2019,
04/2019,
05/2019,
06/2019,-0.06594372602493959
07/2019,-0.08434468129772732
08/2019,0.10416225170118576
09/2019,0.22016746068299575
10/2019,0.26926805686316335
11/2019,0.4113169847150413
12/2019,0.02995490981238813
01/2020,-0.27516742909838765
02/2020,-0.27582656973319164
03/2020,0.06288284104128739
04/2020,-0.01387518014911926
05/2020,-0.17396272587923445
06/2020,-0.1404701967887272
07/2020,-0.12011419235000975
08/2020,-0.00036983599310680404
09/2020,0.00276797554156083
10/2020,0.11085664385670668
11/2020,0.1809859898430899
12/2020,-0.2058904339489045
01/2021,-0.22432345015509458
02/2021,-0.15879017357083924
03/2021,-0.25571022738784066
04/2021,-0.12099701869369639
05/2021,-0.0332563967660402
06/2021,-0.012414094728767644
07/2021,-0.04084435574284573
08/2021,0.17750651141562734
09/2021,0.06344631066131257
10/2021,0.18094760676427057
11/2021,0.2417732031315234
12/2021,-0.22430037121562485
01/2022,-0.011090607212081771
02/2022,0.6539482762850684
03/2022,0.37712182740084277
04/2022,0.16684024906920136
05/2022,0.29216007314678283
06/2022,0.09313180767578277
07/2022,0.03225815438428814
08/2022,0.09822066989270173
09/2022,0.14822096510662686
10/2022,0.09667952581795802
11/2022,-0.0006590856793415867
12/2022,-0.3233303216459422
01/2023,-0.23467598053498673
02/2023,-0.24062887801262134
03/2023,-0.17961584004272524
04/2023,-0.17423886631959018
05/2023,-0.14235658526306905
06/2023,-0.16629929453038272
07/2023,-0.1285923523977095
08/2023,-0.0593074370632114
09/2023,
10/2023,
11/2023,
12/2023,
01/2024,
02/2024,
