,OE
01/2019,
02/2019,
03/2019,
04/2019,
05/2019,
06/2019,
07/2019,-0.0034114578074587523
08/2019,-0.001764073901250711
09/2019,-0.0014230896595429018
10/2019,0.0005138149913083562
11/2019,-0.00031636237643784676
12/2019,0.023408915195141648
01/2020,-0.004012777932515928
02/2020,-0.0016099171491423953
03/2020,0.0032377328734396332
04/2020,-0.00333195456133574
05/2020,-0.0037154695942716726
06/2020,-0.0008900341401089848
07/2020,9.923460388519545e-05
08/2020,-0.007590422641512988
09/2020,-2.6019843875617343e-05
10/2020,0.0005292369124772003
11/2020,0.0016332350786203223
12/2020,0.01650424711462599
01/2021,-0.007693449819184281
02/2021,-0.005255894389333375
03/2021,-0.0007850420874103564
04/2021,-0.001258003476605228
05/2021,-0.0014660327913001425
06/2021,0.0013985952597699858
07/2021,-0.0035198157107844755
08/2021,-0.00393797539976818
09/2021,0.00011918770819922819
10/2021,-0.0023703356939166406
11/2021,0.001674746253519259
12/2021,0.024624083287365352
01/2022,-0.004619727691313566
02/2022,5.599404914596873e-05
03/2022,0.009258758484996459
04/2022,-0.008212887562148302
05/2022,-0.009572515713999363
06/2022,-0.005065688973158074
07/2022,-0.0035188924852223094
08/2022,-0.006746831057569354
09/2022,0.0065466732892760365
10/2022,-0.00011044270772012782
11/2022,-0.0013705321489210498
12/2022,0.017741278893771445
01/2023,-0.005776366108818876
02/2023,-0.0020837387061707208
03/2023,0.002474588334232926
04/2023,-3.114018759744347e-05
05/2023,-1.591492586160842e-05
06/2023,0.0003366865999656146
07/2023,-0.0016993647400472475
08/2023,-0.0025392518352234106
09/2023,
10/2023,
11/2023,
12/2023,
01/2024,
02/2024,
