,SCTA
12/2018,
01/2019,
02/2019,
03/2019,
04/2019,
05/2019,
06/2019,0.000712215785764303
07/2019,0.002891757527568095
08/2019,0.004732544475334499
09/2019,-0.020252878836512
10/2019,0.0023376038929928677
11/2019,-0.03995545114033716
12/2019,0.009063441404047967
01/2020,-0.03937204978748543
02/2020,-0.050379509056713845
03/2020,0.05366399174171094
04/2020,0.04551327653197357
05/2020,0.03390963261443586
06/2020,0.02312938488808758
07/2020,-0.0059371787889411776
08/2020,-0.0110594357796156
09/2020,-0.0190130903723551
10/2020,-0.029556581419773964
11/2020,0.007441866066905167
12/2020,0.014743811897301895
01/2021,-0.010121485178704981
02/2021,0.0022233512610240203
03/2021,0.01048610634176439
04/2021,0.02510102277556192
05/2021,0.00586622477377996
06/2021,0.0027906469732990047
07/2021,-0.0004250605325126222
08/2021,0.029763024166181262
09/2021,0.002208217553468006
10/2021,-0.024160027912610404
11/2021,0.010359038943065224
12/2021,0.008344951617397067
01/2022,0.013228129592650018
02/2022,-0.018000752994143
03/2022,0.06732428026103376
04/2022,-0.01511610118264789
05/2022,-0.02734694271769389
06/2022,-0.035917379249845505
07/2022,-0.028117759484724725
08/2022,-0.048741170104135756
09/2022,0.04784554117857026
10/2022,0.007828835138889434
11/2022,0.014594485376945854
12/2022,-0.01477650944107256
01/2023,0.01482866672467803
02/2023,0.02159251697225445
03/2023,-0.00720952649521045
04/2023,-0.00644171664890425
05/2023,0.0025761390441544907
06/2023,-0.0026118577017759104
07/2023,-0.005907527305000049
08/2023,-0.0325014113287124
09/2023,
10/2023,
11/2023,
12/2023,
01/2024,
02/2024,
