,NIM
01/2019,
02/2019,-0.013328479119105396
03/2019,-0.1093067550137179
04/2019,0.07296472760799366
05/2019,0.019112239418847876
06/2019,-0.027249622033151844
07/2019,0.034469246457944136
08/2019,-0.014135849291180946
09/2019,0.0014047663234439955
10/2019,0.0453114483435102
11/2019,-0.05002430533483271
12/2019,0.033186685666741766
01/2020,0.017717931220126104
02/2020,-0.043931346855178854
03/2020,-0.01392183684502013
04/2020,-0.06975709312301881
05/2020,0.015702807038377342
06/2020,-0.01556960724832368
07/2020,0.04356005969298793
08/2020,-0.04661829935257922
09/2020,-0.024085385605372878
10/2020,0.03833013895292736
11/2020,-0.009066033257875361
12/2020,-0.028657099429730937
01/2021,0.07459206020195741
02/2021,-0.0908757857876078
03/2021,0.112049317676707
04/2021,0.006292598111493408
05/2021,0.033332055125049775
06/2021,-0.029052834144176587
07/2021,0.07041173395149203
08/2021,-0.03720425370228786
09/2021,0.013870679600876956
10/2021,0.015969068092442695
11/2021,0.0035764026289486495
12/2021,0.10319166195342389
01/2022,-0.03771486712309868
02/2022,-0.11842945505166425
03/2022,0.14677515807803276
04/2022,-0.08161491535543886
05/2022,0.014360380197575129
06/2022,0.14431585053962803
07/2022,0.05697221538393826
08/2022,-0.0721376073965262
09/2022,0.054042001875335144
10/2022,0.0426399697771358
11/2022,0.009890861210559931
12/2022,0.0017617092852348915
01/2023,-0.01401523127856219
02/2023,-0.14762779510714386
03/2023,0.10545347267653926
04/2023,-0.06907976854169506
05/2023,0.03240391634844242
06/2023,-0.004375199879105507
07/2023,0.10319412792151694
08/2023,-0.033091807399791895
09/2023,-0.07654154990110607
10/2023,0.06210678200908015
11/2023,-0.023908991471810692
12/2023,0.037281538986862595
01/2024,-0.05034454021995782
02/2024,-0.05172687801207598
