,RA
12/2018,
01/2019,0.03820866611711926
02/2019,0.028815059072783367
03/2019,0.029238268995076977
04/2019,-0.058225894189262606
05/2019,-0.017627372257886575
06/2019,0.0067487731883075774
07/2019,0.05863008530496816
08/2019,0.026731273003651745
09/2019,0.023621987857871618
10/2019,-0.008503334432327314
11/2019,0.03185386186517025
12/2019,-0.01872712239257779
01/2020,0.01159448896130888
02/2020,0.007347311343017804
03/2020,-0.04886411529005741
04/2020,0.03077011433646981
05/2020,-0.022128839764920638
06/2020,-0.014401238123406213
07/2020,-0.022764283022390308
08/2020,0.024902316723288687
09/2020,-0.04009211150686243
10/2020,0.014119423994416014
11/2020,0.007182037396878949
12/2020,-0.047150373039906435
01/2021,0.013924783014520825
02/2021,0.009244590595614666
03/2021,0.008778843060916364
04/2021,-0.01111508006982509
05/2021,-0.0060793551098554666
06/2021,0.0010541514569812893
07/2021,0.010181527685235281
08/2021,0.02789903020454343
09/2021,0.008477450017935428
10/2021,0.020416419091934257
11/2021,0.003544416199117828
12/2021,-0.015462329477240022
01/2022,0.01590352606179546
02/2022,0.005590615726041914
03/2022,-0.07628352035460328
04/2022,-0.03983823275876819
05/2022,0.034518925502590614
06/2022,0.023608046413779338
07/2022,-0.0490906628827088
08/2022,0.0037030222178782157
09/2022,-0.03188537648760714
10/2022,-0.011236106805173285
11/2022,-0.016035227358674242
12/2022,-0.07014413441010425
01/2023,0.05307303639919114
02/2023,0.015490616568559767
03/2023,0.02020297325157383
04/2023,-0.02280559060668408
05/2023,0.040771969224407734
06/2023,0.025324933545160633
07/2023,0.05415513307336073
08/2023,0.0323010108711419
09/2023,0.04458966758035343
10/2023,0.03386546653779088
11/2023,0.0040011066599499046
12/2023,-0.17610698993674068
01/2024,0.05741560101336063
02/2024,0.014281038367101484
