,SIZE
12/2018,
01/2019,inf
02/2019,0.0002856001515134654
03/2019,0.00017841536476370656
04/2019,0.0010829851061084916
05/2019,-0.0004434817527340096
06/2019,0.0018036423421543546
07/2019,-0.00011870522555157415
08/2019,0.0007600299762449136
09/2019,0.0007374637481409874
10/2019,0.0034021541790734133
11/2019,0.0005820217023844165
12/2019,0.002928571572061056
01/2020,0.0016106662563262208
02/2020,0.0011420163790878401
03/2020,0.0027594334604001958
04/2020,-0.0010533785593830336
05/2020,0.0010030485252217058
06/2020,0.00033970331158950096
07/2020,0.0023911255322122127
08/2020,0.0005425924961839357
09/2020,0.0015384680451533406
10/2020,7.81097731332725e-05
11/2020,-2.1974895946796913e-05
12/2020,0.002169930704128298
01/2021,9.697173391565173e-05
02/2021,-0.000842259255891098
03/2021,-2.707010984792646e-05
04/2021,0.0006778632719008915
05/2021,0.00011283759089630863
06/2021,0.0003626022275682317
07/2021,0.0008998965312849716
08/2021,-0.00015903100883352117
09/2021,0.0013740342679116058
10/2021,0.00021660559466951668
11/2021,0.0015389158312841822
12/2021,0.0024761763129217407
01/2022,0.00037942928212020277
02/2022,-0.0005174701471625243
03/2022,-0.0015040850690906105
04/2022,-0.00035061910544154085
05/2022,-0.0010751311077141779
06/2022,-0.0016253806962913675
07/2022,0.0039219099535476865
08/2022,-0.0003573871846356269
09/2022,4.1042747074948593e-05
10/2022,0.0005791658756550966
11/2022,0.0016187101363047685
12/2022,0.0026689881808596994
01/2023,0.00022274883829354053
02/2023,0.0014282098109110741
03/2023,0.0025170262233042973
04/2023,0.00309305684621064
05/2023,0.0014366131164971208
06/2023,0.002786878065154763
07/2023,0.0018474037794875553
08/2023,0.0015978686261512998
09/2023,0.0008210958986707428
10/2023,0.001989067723426663
11/2023,0.0011859892656793658
12/2023,0.0034626518301710263
01/2024,-0.00028105724632920825
02/2024,0.000712239766517575
