Year,PR
01/2018,-1.054641894532054
02/2018,-0.19762807442725006
03/2018,0.510789915848715
04/2018,0.4377691914013546
05/2018,0.17853935357234008
06/2018,-0.1609613211821781
07/2018,-0.11098855514902084
08/2018,-0.12706750213736484
09/2018,0.10107179934715305
10/2018,0.09517971853703955
11/2018,0.003010139620418073
12/2018,-0.06941950577312284
01/2019,-0.06902931930380518
02/2019,-0.0001305847747268274
03/2019,0.07919141519874984
04/2019,0.09567721995964362
05/2019,-0.17986251368899886
06/2019,0.0030830358946936087
07/2019,0.03413045786770752
08/2019,0.04884663435614556
09/2019,-0.017170793927892447
10/2019,0.0828412619072374
11/2019,0.030010231057069348
12/2019,-0.14974493001192357
01/2020,0.2729274078533699
02/2020,-0.5777680486509649
03/2020,0.15618476919098434
04/2020,0.3735080262838544
05/2020,-0.02791065693958572
06/2020,-0.2520187113587884
07/2020,-0.23482336678455873
08/2020,0.2023903316798359
09/2020,0.3147848859656541
10/2020,0.027594337237768052
11/2020,-0.08438722542208676
12/2020,-0.009321408921081797
01/2021,-0.10530327904187864
02/2021,-0.24451443627915026
03/2021,-0.022258037347069326
04/2021,0.21074575057028344
05/2021,0.3886630205375097
06/2021,0.06169314529136205
07/2021,-0.1626691015182411
08/2021,-0.21375112909607807
09/2021,-0.2725712255600765
10/2021,-0.5377688681433597
11/2021,-0.6304715277020563
12/2021,-0.009772134723190717
01/2022,0.97869296964768
02/2022,2.435652629811763
03/2022,1.4301417897059228
04/2022,-1.588737521834437
05/2022,-5.522928030235402
06/2022,3.032412315327001
07/2022,0.7818094353963971
08/2022,0.06615974997724194
09/2022,-0.4079700186792614
10/2022,0.33039249887361777
11/2022,0.4237274856593807
12/2022,-0.3935515062028969
01/2023,-0.4044976492307484
02/2023,-0.060662586338448676
03/2023,0.08175664630896762
04/2023,0.1777658914690008
05/2023,0.163936854896086
06/2023,-0.05476992804999625
07/2023,0.23107421887256052
08/2023,-0.7602453041732353
09/2023,0.1290979470338165
10/2023,1.1189368793427015
11/2023,-0.5024490291154002
12/2023,-0.3274232495327407
01/2024,-0.14532664592439914
02/2024,-0.0001620230971042247
03/2024,-0.0035881958616847953
04/2024,0.20048506435934144
