,ROA
01/2019,0.0009641326041271298
02/2019,-0.00036540276173398223
03/2019,0.00013255240404189128
04/2019,-0.0030560160498443734
05/2019,0.003499819774847465
06/2019,0.0009927561368891502
07/2019,-0.002736625601101758
08/2019,0.003069203782178495
09/2019,-0.00467567818591913
10/2019,0.00028142939491021535
11/2019,-0.004977281811749196
12/2019,0.008447364622855419
01/2020,-0.00023359846406389995
02/2020,-0.0032115755981221017
03/2020,0.014754828466980785
04/2020,-0.007655551879556091
05/2020,-0.01101874478361757
06/2020,-0.002857868978481684
07/2020,0.009018472230459318
08/2020,-0.0025573392125889938
09/2020,0.00424173185851337
10/2020,-0.0006816246650475227
11/2020,0.002629918069923423
12/2020,0.0028570654162711207
01/2021,-0.008430697786599398
02/2021,-0.011864205779569967
03/2021,0.010435766100681018
04/2021,0.006674352550068874
05/2021,-0.0020882849757391103
06/2021,0.0014601277807852475
07/2021,0.008959556100941304
08/2021,-0.005152097627209473
09/2021,-0.009209760125945987
10/2021,-0.011103108914505291
11/2021,-0.0013516663548638758
12/2021,0.011481509974639356
01/2022,0.008311877955066466
02/2022,0.0005948127349836296
03/2022,0.005686357079603202
04/2022,-0.01875611721093086
05/2022,0.0035331097960454166
06/2022,0.0022419302052065215
07/2022,0.025230303769404633
08/2022,-0.015541967513279617
09/2022,-0.01642658145187259
10/2022,-0.006142891954074872
11/2022,0.0023170133545456356
12/2022,0.010406801573919572
01/2023,0.010634194774132716
02/2023,-0.011703191402444219
03/2023,0.014667688144971408
04/2023,-0.008814978268628024
05/2023,-0.008445854860912247
06/2023,-0.0029251787936412643
07/2023,0.020886501120111853
08/2023,-0.006796084249798509
09/2023,-0.012067633810692119
10/2023,0.004934360910296268
11/2023,-0.0010120563368799934
12/2023,-0.0010381508276403328
01/2024,0.00627989225883567
02/2024,-0.0024011843524566895
