,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
12/2018,,,,,,,,,,,
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
03/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,,,,,,,,,,,
06/2019,-2.042823293332916e-05,-0.012047587039766574,-0.0023012666870686534,-0.002197031344663148,-0.0006607000479258256,0.002808351597514246,-0.000522867536366767,-0.017111697510132386,-0.0002335678738832338,-0.00954234002256508,-0.007211260689884574
07/2019,-0.0008077527426930392,-0.0046046721695209595,0.0005655197995892373,-0.0003039691582353795,-0.0009206093099601031,-0.0007974128819651382,0.0013759672721862623,-0.008913616138655427,-0.0031827802959863705,-0.0015032927973207795,0.013734162851679433
08/2019,-0.0009836462009031668,-0.006134402593962706,-0.0029552669837851816,0.0026954556972140628,-0.005010293324768504,0.0015807331511206546,0.0007289423439110626,-0.007801858821486361,-0.001268445676189753,-0.0031020089243825348,0.011495767855359789
09/2019,0.006153281283172476,0.0012951548340668464,0.00597714505409803,-0.0009541299542717937,-0.0035240122360035127,0.0033722895949882866,-0.0005447545840221852,0.0033877058017307937,0.0034074788967161733,0.0013302496135733297,0.009929854462544081
10/2019,-0.0010455693359355317,-0.00030487915582908345,0.005225158868680939,0.0016975537003733102,-0.0033872393581173945,-0.0009086638650541486,-0.00422620291606359,0.004137806080291337,-0.0038818084628406157,0.0017812166374955966,0.007364938463625993
11/2019,6.536385453143924e-06,0.00363422380132912,0.009560092682546192,0.00421361577417143,-0.0027708369339892467,0.00174104758408033,0.004127325032457497,0.0034093730888910922,-0.000582547726644909,0.002669228369185518,0.00046750883072666297
12/2019,-0.0011471418747149844,0.005901673160728121,0.007201235094593201,0.004062782520765051,-0.0031426195759169883,0.0017309675160376969,0.0076914233750517026,-0.00047817286082559116,0.01155668902431188,0.004442097368524734,-0.0007647555282370364
01/2020,-7.602688910771267e-05,0.004675181566106964,0.011187343304034496,0.004137778270633598,-0.009121273771670326,-0.002095963643617223,0.003071500721868449,0.006500417672397891,0.005751648782164028,0.002336819291074193,-0.0038525389769214877
02/2020,0.0074962323904352954,0.005217481602619343,0.006566216114471143,0.0013503808470385812,-0.004018210438589802,-0.005661023968127682,0.001450418996043931,0.0040599522297702605,0.005490654258884143,0.002592247624162502,-0.002994381963192808
03/2020,0.01057411159245008,0.0007224864686682202,0.0048720210700280145,-0.0010702940082201796,-0.003174688041571371,-0.0004980175957919868,-0.004320323033409879,-0.00668993792163923,-0.004356876342025993,-0.001726080493867032,-0.00015191912006432343
04/2020,0.0354268251755303,0.0017164015161175994,-0.010174190304756862,0.003024971708361341,0.0035119794133814065,0.01099542358616329,8.478868407276038e-05,0.002245301098449597,-0.00038698278871289677,0.003333798321058498,0.0008519162767924825
05/2020,0.003680754613224797,0.0050743528056823375,-0.007584918033582644,0.002138805485573049,0.005291813785019378,0.0037972971620627727,0.00026614232154073287,0.005671986595972817,-0.0015082184609329593,0.00284769683105697,-0.001269224863387736
06/2020,-0.014193284079100282,0.0037478147905230692,-0.0027452376101314204,0.00012054966354381382,0.008422721934252328,-0.0014556077120453103,-0.0009009449230665408,0.013804076353775842,-0.0003563661918172258,0.00259965247785803,0.0012730406189076539
07/2020,-0.01612589853924931,-0.00011911997376181055,-0.002970564921549351,-0.0016921516827880464,0.004633951831100171,-0.002490845833745565,-0.002790748241188457,0.01450479607025374,-0.004727021137036394,-0.00026747629532350176,-0.005986192182232824
08/2020,-0.015071315538992998,-0.0004518668032629481,-0.0024867971867838425,0.0009577794636882594,0.0020713162330328735,-0.005109827335514395,-0.002663610441014569,0.013833672470157224,0.0007829822842753518,6.332189520470428e-05,0.002583823682588778
09/2020,-0.004131763217226351,-0.0011988613849117406,-0.0011479950174413849,-0.0002784256042872254,0.002267710316748969,-0.004231147200996594,-0.0004985433817807073,-0.017660115481964393,-3.549272669746992e-05,-0.001485380870321927,-0.002759511167206484
10/2020,0.0021941462574110527,-0.0006881240327192043,0.0009341416747976191,-0.0010159794378568573,0.0017775267813680438,0.0007846365648886359,0.003161266242546015,-0.012884019766640512,5.355483631560914e-05,-0.0030030822097704586,-0.0067748550833450286
11/2020,0.006319764555173039,-0.0036282655111924272,7.63413795751202e-06,-0.001707676459442776,0.00219855287044493,0.003771904209204391,0.003917033555514844,-0.007841104176556871,-9.452370988708803e-05,-0.007879890113072614,-0.004785145209862698
12/2020,0.002533475371617023,-0.004790461182730826,0.004903508163854229,-0.0019093614542809645,0.0009229225256299129,-0.002107111917029352,-0.0015887081445390954,-0.003083455946221934,-0.001645476177129914,-0.006103241655624269,-0.004614168000031345
01/2021,0.0010136919441014313,0.0018410988743244557,0.0040862408628118295,-0.004107642665706786,-0.0029884617732347115,-0.0017729917071423202,-0.0006626773617415772,-0.005321018091728445,-0.0007520756650687952,-0.006080425333303999,-0.009434993342555539
02/2021,-0.005194178793507314,-0.009064774734381383,0.0031770207066089155,-0.0006778331775798099,-0.001154363021812645,-0.0049988903334677644,0.0024440349442335025,-0.0011818520834377577,0.0006517172452961489,-0.0022048354395419086,-0.004844590540015931
03/2021,0.007923985844388866,-0.000789880545295888,-0.00832587477157791,0.0004867147831044637,-0.002595377170809062,0.0047227866655447665,9.192400993667774e-05,0.007529264203077812,0.0018765523474994854,0.004279808815944006,0.0028466141342513678
04/2021,-0.008622788066588625,0.003728230166746546,-0.005304737504320191,0.001570090881432879,0.0012636499845456962,0.009985478952648704,-0.0008433034268204007,0.005200597726559019,-0.0014630363451039762,0.004685948496879158,0.003109949420952867
05/2021,-0.0008477440285696459,-0.0012473606457758318,-0.0013068671324180632,0.00151668493911747,0.0021395631173594274,0.004058747495231401,-0.003598258305979418,-0.008494072627200963,-0.0045094669803525615,0.0017284377704181036,0.002208484116393988
06/2021,-0.007339071187480784,0.004281946857375821,-0.0007833236120194704,0.0008180683778722239,-0.002647933552900698,-0.003359779680467052,-0.0018406293588362212,-0.003963127291096503,-0.00140546577273383,0.0037566772224575853,0.0006691748460102877
07/2021,-0.004261244452084546,0.0031789603337556956,-0.006323599918753356,0.001844383820697492,-0.005377592813594624,0.00016981661820222762,0.002361638002262839,-0.00530094108585382,-0.0050225311676217466,0.004925556913370421,-0.004127449196345622
08/2021,-0.006694682391764913,0.004119726293910445,0.001510453373005533,-0.0008620611598662712,-0.0041000847912777425,-0.0016827168277832494,0.0008258076343041348,-0.006807393663139026,0.0008341968201201448,0.0015071122570500639,-0.008432829640184642
09/2021,0.0049332722687967035,-0.0015568080094594575,-0.003728693388889,0.0016178104183516054,-0.003691963434060708,-0.0020605139181803737,-0.0013700877361711012,0.003851518089618113,0.002491994553559218,-0.0024951401933487674,0.0062867038217819735
10/2021,0.006536572920314226,-0.00011895483255524122,-0.0008727374341135361,0.0006979370443235313,0.0005724223074575234,0.0034819772936214802,0.0013031666334721247,0.0012334625744893353,-7.668870775450138e-05,0.003025585586221454,0.009495624257921935
11/2021,0.007301244988707809,-0.00016719178741898821,-0.000589531800027924,7.030488419697745e-05,0.002166285547951909,0.002030938272613603,-0.006281208753079025,0.0030641928858777356,-0.00038757910331525347,0.003277252476908986,0.011634585870985693
12/2021,0.014631516748586482,0.006397758814574175,0.001513878839866512,-0.00108170514336691,0.005564842260342933,0.00735579743351243,-0.006282620227102171,0.008598059817288853,0.0006821158270946129,0.0018604167887963548,0.006486487350255039
01/2022,0.011427600410740422,-0.005207525610441067,-0.005715817058617176,0.0026142793989642247,0.011565765239842608,0.011488399063310893,-0.008704554044457035,0.005686003276373651,0.001762046332090221,0.004031832194468548,0.01190365682301327
02/2022,0.01023543037074707,0.0036317883363608146,0.0020282896644297664,0.002007234152896322,0.007537620639467747,0.011464103451219088,-0.00579542580742786,0.0012882355754898728,0.004554059676042327,-0.0007568653891768286,0.006142271689459522
03/2022,-0.029044452802097602,0.0012683023850582585,0.005601612132089025,0.0029767506642719792,0.004962611639903492,-0.0032702760610028286,0.004075835121340251,-0.0012076492713429814,0.013395797103698948,-0.006153697729193424,-0.005390710297020641
04/2022,-0.020785570830561602,-0.002619549088282977,0.00997108120463842,0.0010932594358006842,-0.00502142772739753,-0.016596434284518236,0.001480344168509813,-0.006280748789196256,0.013967656435610652,-0.005878964785883747,-0.003775509097906155
05/2022,-0.009106267139440976,7.56109711121456e-05,0.00672654100079727,-0.00011117211200486901,-0.006546667916342977,-0.005583464849695392,0.00784298709677261,-0.0018866124031472063,0.018943877740622537,-0.002539600067580028,0.00036099474640034724
06/2022,0.02079552537777761,0.006695927319711099,0.005018787890114862,0.0034710362083689153,-0.010202776605396391,-0.0018583346377872578,0.013377339428852636,0.0021373805590093353,0.00565531014326387,0.0029652908087523574,0.00594789408142531
07/2022,0.021152679492774537,0.0002515936658748195,0.003904063784208581,0.0007523078940344144,-0.0017458130617876999,-0.004109136583339058,0.00465940915885615,-0.001626536717920699,-0.012518288963326726,-0.004379211120024246,-0.002222145044763379
08/2022,0.022223537512842097,-0.0013725769342196154,0.001917982080919154,-0.003747624597940675,0.0037228118980235777,-0.003175630229412908,0.004430607235549444,-0.0004410916528409395,-0.018660605890223895,-0.0023154698279848505,-0.004753788185905673
09/2022,-0.006440624304287191,2.58754723693013e-05,-0.0007532061282384582,-0.0006414484884222867,0.0035911264448753337,0.0023227299707185758,0.0005291999064963593,0.007652789557955227,-0.005327993865114933,0.0015885338316079314,-0.01240441971337259
10/2022,-0.007170983811334109,-0.00032268106683152145,-0.004939312589835835,-0.0016357049354696848,-0.00031984863914809054,-0.0039545915469260725,-0.0021224157554321833,0.004744649079199581,0.004440929192742497,-0.0028654576324360255,-0.009033080234455919
11/2022,-0.013113379898878355,-0.0012734055906527542,-0.008630944500946591,-0.002832437827555332,-0.0029511403928475103,-0.00814053161936843,-0.00364733563037095,-0.0014005638308722157,0.0016006373983102388,0.0008716716484886769,-0.006264322088102677
