,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,,,,,,,,,,,
03/2019,,,,,,,,,,,
04/2019,,,,,,,,,,,
05/2019,,,,,,,,,,,
06/2019,,,,,,,,,,,
07/2019,-0.001087607567719754,0.00030147543031007473,0.0004107273200828557,0.0003302260561764154,-0.0022627604205683956,0.0005757422714310675,0.0011154607447971783,0.00023210534036494264,0.0008609944411151604,-0.0006018604100900792,0.0013400187651796056
08/2019,0.0032946927094732632,0.0001617712390139161,-0.0002092395720739923,0.0007203669364005336,0.0027093174103438385,-0.00037903214042718514,-0.00046708251376170826,0.0003192747438169139,-0.0004548801954800709,-0.0003182222154156124,0.0009239222823730076
09/2019,-0.0019807819324935295,-0.0003904513684915168,-0.00012375941794244387,-0.0003345211414752837,-0.0035920588409061927,-0.0002516187990602055,0.0020395125609979315,0.000376153701347845,0.0006726874364897037,-0.0005869930842507202,0.0009230226614978312
10/2019,-0.004789735999893562,0.00044004320213026325,0.00036350976436792283,0.00011283457420038258,0.0006505180215221253,0.0007717041043315848,-0.0012594455084762885,0.0009215708559903949,0.0019461508004514766,5.7352016677315876e-05,-0.0001317896994498663
11/2019,0.000999343697854125,-0.00027529982110860354,-2.1145799663547377e-05,-0.0003704108228893589,-0.0031234211982423543,-1.640771615936225e-05,-0.0012683628829124995,0.0003800783534446319,-0.0030199332081893,-0.0006988296492573733,0.0013846451593669505
12/2019,-0.0021628701445452463,0.00020546072180236026,-0.0003951578310489815,0.0011426413610575257,0.0007143091071935169,0.001429072646470653,0.0007722145546462042,0.0005327168287404226,0.0009247872530180543,0.0026027946149306588,0.0036582049844594636
01/2020,0.000677881959262534,0.0007993082492212551,0.0016413577564954249,0.00010321737226634022,0.0017225415963727213,-0.0005593323456475445,-0.0017157936885289406,-0.0006360959896070436,0.00033760262205295016,0.00034677758282238014,-0.0008345922211610013
02/2020,0.005646407282453601,-0.00027733295816742814,0.0004191844665709238,-0.0005572504196658494,-0.0011114576415376287,-0.0004092207475615492,-0.0012026924684065245,-0.0004940522866384474,9.989709784174843e-05,-0.0009973610081835949,-0.0004978768154030137
