,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
12/2018,,,,,,,,,,,
01/2019,0.03636047857815128,0.017211668718674078,0.03683695331023906,-0.00230287257656403,-0.05928552716315183,-0.024991653508072087,-0.0318118054018206,0.006406817389645658,-0.06269203637318566,-0.0698823059596515,-0.03716434256745749
02/2019,0.01578379589613199,-0.010350670428718733,-0.019367020965155746,0.058075664374755975,-0.030756447137804788,0.01915670107912959,-0.03852161587696912,-0.03880272894709069,-0.04573740566721496,-0.03287274421277009,-0.029963044202693245
03/2019,0.017054557993572583,0.0574896765712396,0.07753686646747271,-0.022477157820401383,0.058086689806529535,0.028887704593287156,0.06334562120700826,0.04409480755848372,0.0779359101947743,0.037529357489431536,-0.035774417029965644
04/2019,0.04214365156259081,-0.041474624220124046,-0.005103906830765337,-0.015072242338419528,-0.038851617631560864,0.03536641070209501,-0.014615166380423816,-0.014723582058802642,0.01533640924285451,0.04866017808010081,0.012263482815606075
05/2019,0.04553406736776533,-0.047871371681561525,0.018418725963640137,-0.005107587247925149,-0.0008607142667932388,-0.013280928982333018,-0.009221471946536552,0.019710141021530347,-0.030014650682856803,-0.06806693210779668,0.04342893629637379
06/2019,-0.03137025332707699,0.009877764780977127,-0.03711133762000873,0.0360656842057796,-0.029334978491560193,-0.024494970778084046,0.005394486264127751,-0.07786217280908314,0.0003359560389610827,-0.13052349116118367,0.009233026299769298
07/2019,0.03407742036236727,-0.019622501983956653,0.01457422147308729,-0.04890873922331951,-0.001610516468159906,-0.0747751893781351,-0.00912355787603858,-0.039361629159948786,-0.00021943417357050965,0.09943464036230276,0.018766401858537618
08/2019,0.005688711371471866,0.01898923951044429,0.061571681550635526,0.027502676895808875,-0.036548063551413934,0.018800411402055683,-0.004359698464320827,0.035512168896693064,0.01613336757554462,-0.02642747103762977,0.027242876058582333
09/2019,0.004415749139369485,0.12703131822686653,-0.013736903825266267,0.022054002414700014,0.046567445474521074,0.020887580329495226,-0.02143548666624706,-0.04887750879606323,-0.017457033133358113,-0.06573657735621496,0.005736498719177474
10/2019,-0.011918684092285359,-0.0333679780779792,-0.0002831414422547196,-0.007526109446159612,-0.013251023490268965,-0.013143864513554648,-0.033176652712291976,-0.019984962921586358,0.10967155618315338,0.026522428258141773,-0.009783988892188011
11/2019,-0.006195908959475638,-0.04324462266095075,0.048216852701411295,0.009803277384210274,-0.009383764532364447,0.017571719955566945,-0.008481425741995618,0.04055619964079371,0.05165169376496026,0.004095180944280186,-0.03339296681777382
12/2019,-0.015886968672729096,-0.017004591575808137,-0.03853734545222576,-0.011302052093667636,-0.16943191178254213,-0.119810020933796,-0.17850171187246422,-0.027366933404548544,-0.03552645686345901,-0.09372432348973148,-0.020408116201719673
01/2020,-0.00856169873394419,-0.10311348012526678,-0.06911953363251655,-0.030561998066018004,-0.08011060300646622,-0.066419388542449,-0.02997079252901602,-0.08646432317477626,-0.025839198696811727,-0.10808740284994522,-0.00584990788551798
02/2020,-0.004158941735150301,-0.0538246745625689,-0.02837080126878566,0.0014096936910754643,0.098937170121292,-0.05347534793640507,0.02078614653584876,-0.02731886534257011,-0.01807516388999475,-0.008196107838531752,-0.009571123459807263
03/2020,-0.02005955188549291,0.06112237952058841,0.0003878311870983975,-0.035735956545872694,0.08916735225067574,0.04392528625933001,0.14682149529964628,0.02420569239621373,0.00699594985602725,0.14394896245480093,-0.0039282218504475
04/2020,-0.07545915576782392,-0.02655172672729944,-0.013041480072435774,0.015365235526167975,-0.024321535729851407,0.032515776297363574,0.005473256018243777,-0.047617941321290824,-0.06265264569534179,-0.07052809110196567,-0.07623349002120927
05/2020,-0.02606948448844082,-0.08523546356792544,-0.09049025390383159,0.001998810471825596,0.00039856167466512105,-0.08276952309668739,0.023876556691561968,-0.035457841205380536,-0.001069328757263066,-0.15680853942437034,0.008913259555834108
