,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,,,,,,,,,,,
02/2019,-0.15336540960035938,-0.12181899624795145,0.16120224794941285,-0.09821911065341793,1.3730622898637992,-0.12778631642153238,-0.05428585675841213,-0.020727739264566614,-0.1407556388668859,-0.12498272638354357,-0.06349744442158678
03/2019,0.19892270304646464,0.030027616219174158,0.003696983354301908,0.1245150471019496,-1.5145423211869748,0.026048537790820392,-0.13927854879888935,0.07221064032976598,-0.01773114358599792,0.08214768831288377,0.06738445313459906
04/2019,-0.07855211787292449,0.00757209451990315,0.008191754233031867,-0.07638538066485623,-1.5672862168399857,-0.029562162951415116,-0.09890004278300557,-0.011198378020599864,-0.0026677052632302356,0.02122720690825375,0.06645084941748514
05/2019,0.07818115912172785,-0.031188447079106507,-0.026558880951433883,-0.06661387787967532,-0.14197476894503036,0.07449089219189897,0.1757778634016971,-0.024257364909245793,0.060286827383726704,0.03110123615219451,0.0833178715014582
06/2019,-0.05281959508719969,-0.07848404591748881,0.010406143781931387,0.1066656200427274,-0.0607195052039593,-0.10336972890119445,-0.1482823726140462,0.005693865783621632,-0.028214822395250083,-0.07071284637679287,0.03946829606083457
07/2019,0.007378884895466342,0.013003400478746041,0.1509807626156514,0.03626180451291239,0.09036588882409236,0.03606697829863825,0.15362759907576629,-0.032855279790583114,-0.05068945147519377,-0.03966402215231568,0.0647318271602424
08/2019,0.009088476237756105,0.008226341312952412,-0.07020499154078841,0.022840733849566197,-0.2390096764462284,-0.08812463057008124,-0.07599709358772122,0.03937954652820763,-0.0024997872092399342,0.010994432475295524,0.060057304259531374
09/2019,-0.05295449601421742,0.03571378903811273,-0.03793629866834669,-0.04564038462587516,0.32997673684161044,0.0020802794729610774,-0.019670790417115946,-0.03738934314140774,0.0850352884179646,0.01644510594658355,0.01973903182712422
10/2019,0.03583540652324246,0.08851080039131975,0.1372133517238614,-0.006721324138841855,0.029291696012863744,0.09604730661122729,-0.06422383502910733,0.05689649620467985,0.06416751420983435,-0.0644548652290754,0.05801480198593345
11/2019,0.007442005321498524,-0.06387830224802071,-0.025527044792535647,0.004208425531256221,-0.0781298734463568,-0.07789158341925029,-0.008697842180585003,-0.05267857498807449,-0.22355705259864478,-0.027528122839690194,-0.02738132270330995
12/2019,0.003083586716757125,0.5663718082673792,-0.20849555779573126,0.060604777332119664,0.012451667000451083,0.06919482842279323,0.29572058585983596,0.0494090514600527,-0.3519287004441459,0.01167102686763144,-0.017668323642876627
01/2020,0.03838876238857658,-0.277936255505268,0.40816063404833747,-0.021534162105766863,0.09257522873566959,-0.10935498453297521,-0.11628440201892165,-0.10651105961858598,0.8516639414291707,0.003462435977545253,0.058038863758611114
02/2020,-0.09984982086100114,-0.1558792145304938,-0.06793282605357198,-0.0638492661764074,-0.20705114359558152,-0.061040818010334674,0.03538564664425414,-0.005807796005237065,0.35994381556536315,-0.13253135528941484,-0.08407012964382332
03/2020,0.09330892549374847,-0.05764157326481678,0.03921819059429743,0.08217146505005957,0.24123391769812508,0.06735200912003836,-0.008709063018074836,0.028204427316672165,-0.3236340173565071,0.04491820211883857,-0.09172634278503522
04/2020,-0.00609589971616431,-0.012941097286189529,-0.06159633076869486,-0.10503353503372415,0.10478201845972968,-0.14384827717962634,-0.08724160989210061,-0.09213918177594593,-0.1169621000421247,-0.0654399822312497,-0.028708028737952973
05/2020,-0.0034380152243960183,-0.10076236572412822,-0.07823286277407937,0.10829832788864091,0.10214446234401708,-0.02703270349345721,0.3196958920223003,0.06805244249333131,0.0534037207316167,-0.06147691978779646,-0.02573091999266497
06/2020,-0.09766420399257947,-0.0239138728836793,-0.03344674689673055,-0.057035339873326873,0.13076301557886594,-0.05867663233569964,0.3019514710536164,-0.08256565572997421,0.043961680072234666,-0.13957828452713983,-0.019325448171553905
07/2020,0.07637542581838153,0.07404171795414438,0.09401186104430947,0.054364660153475075,0.3666355268422006,0.08642734903418914,-0.08910444129353479,-0.006269742852637594,-0.047864293547102976,-0.06299844504974772,0.09134741546551517
08/2020,-0.03063247249170864,-0.0611698013645352,0.03443316196649793,-0.01324913018185181,0.019938253132022687,-0.09505065945520719,-0.2564208775315333,-0.05781786886098628,-0.0029569642229276827,-0.029207225101094414,-0.02481078985970575
09/2020,-0.0070224560044190865,-0.006360051710736059,-0.010925803444586712,-0.05626237071269802,-0.32185836924373434,-0.029666594577524852,0.022332054111585675,-0.03789598748885914,0.027221591414555046,0.038458093675012295,0.03231785591494085
10/2020,0.04077634549962572,0.04133822586865965,-0.020442093804157402,0.02241108183318885,0.2812026353388535,0.02570705741780288,0.049776805623120035,-0.005526022506067929,0.018676740172242967,-0.025608767372263364,0.12400175113975576
11/2020,0.06957370448980171,-0.051543170187396625,-0.04750297908176293,-0.049986055049267675,0.053200972016782755,0.064512385494216,0.06758370778630352,-0.037685691889426165,0.016614394250363596,-0.03616074289413174,-0.031790054044288696
12/2020,0.09586715072240626,0.07669411343942056,-0.3268828137900902,0.05349296050094976,0.037693786302747556,0.07607350350756614,-0.31569335032596524,0.09764202163726465,-0.002930042507158337,-0.009654128526558114,0.06184361292445684
01/2021,0.019385849940977362,-0.0028965604287360947,0.6520440374172387,-0.029538203126955875,0.26590625998627293,-0.024882469190267154,0.22654709892055735,-0.05753022958301757,-0.005905839819449699,-0.005493894231902718,-0.02944342308242165
