,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
12/2018,,,,,,,,,,,
01/2019,,,,,,,,,,,
02/2019,-7.792125275762896e-05,0.0006476874549208311,-0.00037452456226416686,-0.0016644485492184335,0.0007889797412832245,-0.0001750064955479136,-2.5777729679599126e-05,0.0007701997180831199,-6.444502592350965e-06,-0.0005230340893769281,0.003973980552357981
03/2019,0.00017871015991910433,-0.0002877275817714242,-0.0008315394294786671,0.0031631220221235434,-0.00214579859946884,0.00046456929191251994,-0.0017999708323028774,0.0009751279472054453,-0.0006828950151691604,-0.0011601356490843484,0.004829605609804277
04/2019,-0.0005009859756616164,0.0011729404657598863,0.0014308361372927791,0.002963897604452148,0.000642889904115318,-6.950182074227929e-05,0.00015342787723993112,0.0032189204377401914,0.0003482873638740447,0.0009415284878535601,0.0019522745213251813
05/2019,-0.00050764468959974,-1.9139746373908473e-05,0.00025990174528178756,-0.0007864859589438167,-0.00037133307193126797,0.0014113143835883246,-0.002514216263500124,-0.00383711203928383,0.0013422231252047112,-0.001400409149684978,0.0017100983697628802
06/2019,0.0005124154194118269,0.002490091470477296,0.0016230797007634745,-0.00017467768409906714,0.0011204872091421514,0.0016012480108593685,0.0022000495043963397,0.00405161266271814,0.00010139217608040596,0.0029491577844749095,0.0036262312026669186
07/2019,-0.0005085707327369127,-0.002002092837608549,0.00148925060264804,-0.00012712823013905084,-0.0015924353681205927,0.002849724518155572,-7.886609896079477e-05,-0.002006694253339325,0.0005319875837079824,-0.002074112700774511,0.0026554014416173555
08/2019,0.0012281475260536023,0.0011397616061359361,-5.777505558079987e-06,2.9863945018915317e-05,0.0012852571845878291,0.00034113837230864696,0.0005288305099793167,-0.000380621587748764,0.000595568900120913,0.001507323252257109,0.0020611943579382785
09/2019,0.00029146002361080114,-0.001165088797652647,-0.0003513283469063211,0.0036748960660784036,-0.0014925362514872642,0.001864084242965136,0.0028388144907605106,0.0014104212563419427,-0.0007536108255977725,0.00020932444238619397,0.0022241237233970867
10/2019,0.001161212227729136,0.0034431192815858047,0.0018020910609584107,0.0004360191317331896,0.0022332915622349514,0.0026734615872943124,0.0022314650324759544,0.002047206801581991,0.01620376602174245,0.0009969331509449564,0.004262856269976467
11/2019,0.0012613537051551216,-0.00024104261951529704,-0.0005502525537849356,-0.0003327661101735213,1.2334455122609e-05,0.0007831194306662237,-0.0026036503372770525,0.0016178182905386418,-0.0003966798673433747,0.0009072928568352179,0.006105848948922077
12/2019,0.001619125746383121,-0.0026681430766970493,0.0032514735732114275,0.004273163368300414,0.006435186046747532,0.0032039965961638828,0.004853864757704995,0.006157625766379349,-0.0026224295242547324,0.0010037054389793187,0.0069465894759170865
01/2020,0.0007291966673843575,0.0051639932735334515,0.0018026000784123752,-0.0005961039230947263,0.003565230904051253,0.002007468584466432,0.0021063269685861474,-0.002567074440626649,0.001716453478534552,0.0014438746256029145,0.0024104792867720715
02/2020,0.0008630219476459811,0.0030499301912911836,0.001628337272274294,0.0006799956120411288,-0.0029100191454696223,0.003021293454024132,-0.0004084431109828701,0.0017912418015426645,0.0003602843530601252,0.0010692294454062168,0.003978312274445006
03/2020,0.0010488206368928221,0.0039329401034664535,0.002003674767711683,0.004240344561401654,0.00020835516197581505,0.001326265915906566,0.0008028002476656582,0.0037071997932027756,0.005530689721277682,0.004496902054084595,0.0034944876058753405
04/2020,0.0008479829653922355,-0.001078434807090911,-0.0002532344252597074,-0.00281873216737083,-0.000560674910084269,-0.002872607581787423,-0.0027411062000232134,-0.0007420473256398719,-0.0031601080919783087,-0.000478357139878427,0.0020068375446886666
05/2020,0.0010224218917656014,-0.00013408148567450873,-0.00017116021466978548,0.0023363702907968076,0.00026507062663116976,0.0011638221709173724,0.0005400348513584508,0.002281733949802245,0.0005790555907885242,0.0010837189104042633,0.0022222033692529397
06/2020,-0.0015461477158634773,0.0002618909950624637,0.0002571294891740017,0.0024665855385728186,-0.0071413881398814105,0.001509069138750041,0.0040569599411008905,0.0004018309558331268,0.0019402738035876332,0.002454202438696651,0.0002500695065403846
07/2020,0.0007537608454777356,0.003205084988367801,0.004400737644651764,0.002037806146245602,0.0006852766120355458,0.0030187377148289674,0.00277408453742356,0.0009606808356834584,0.0017368735832867799,0.0026815099322428093,0.0045612040195470716
08/2020,0.0005151767696724985,0.0006170718192224367,0.0010238234810517888,0.001204053025919194,-0.0008279577825087703,0.001920078507419598,0.0014439725033714712,0.0004835660890949445,-0.000532288750575316,-0.001267667327455979,0.001674346383831793
09/2020,0.0007828373815503831,0.002250879131705741,0.003686337461921596,0.0026296172806177243,-0.0009325541913166591,0.001635709783366801,0.0004931309834130815,0.002139735792860309,0.0007252088984424088,0.0019948538799856586,0.0018410963048702822
10/2020,-0.0024852903010555982,0.0014070917397708271,0.0007430057239867782,0.000940364561853535,0.0009264016918315576,-0.0008784269976491732,-0.002405295734666857,-0.0005147161574277082,-0.0013188503616045066,0.000642553394405665,0.004250952219686743
11/2020,-0.00197622060518432,0.0013844916143890273,-0.0004991058877775734,0.00034198097458237875,-0.001269370480288412,-0.0002362265341123715,0.0006249061728968996,-0.0022883450776617353,0.0012413061174743056,0.0015044668059800426,0.0014240804517069439
12/2020,0.00028194317516949674,-0.0014438043912917697,-0.001422547415579567,0.0023701398522664174,-0.0005241157974986699,0.0015535566320743488,0.008713729487082933,0.0035379896814591305,0.004175118582600668,0.0003897245567587859,0.007063863910991897
01/2021,-0.0010409386012881772,0.00028498174093516404,0.002549422242366761,0.0007895519544320884,0.0013086273109106372,-0.000902414738291557,-0.0019514076766481425,0.001244794491094936,-0.001038642059144057,-0.0022227886933992025,0.0021097653528951987
02/2021,-0.0005815679008978059,-0.0009500954417305252,-0.0007680115827761735,-0.0021380807068928087,-0.00046210044160954755,0.0015459232244947607,-0.0032793751869908405,-0.0003221627028409113,-0.0014776614084355266,-0.0023786459213398503,0.001422007806199943
03/2021,-0.001009656456059549,-0.0012682586265407858,0.00240421196833962,0.0017002846251907844,0.001124785137353257,-7.650957217031351e-05,-0.00010166553618595753,-0.0026471155151875925,-0.00015610853901604216,-0.001477484372471749,0.0014035312280296086
04/2021,0.0002865534272245007,-0.0022947234952431783,0.0037553170875901376,-0.0007780457617664327,0.00044430232838732486,-0.001053187944192291,0.001273191454962852,0.0024255835761239908,0.0005422925798430622,0.0011592691200179583,0.0015898477167901603
05/2021,-0.0011352531923592979,0.00258808010345013,-0.0027085115101633805,0.0005543922369113385,-0.0005149557826805706,0.0007749317774856657,0.000993510356717353,-0.00046620905453798045,0.001161576391554009,0.0005682504925976772,-0.0002447632383529852
06/2021,-0.00016620596671645949,-0.0010367989857296145,0.0017986083679928377,0.001902113412594053,-0.002607416824182751,-0.001681483450276744,0.0016138598109152191,0.0015551003808798036,0.00017224636539125981,0.0005157705313019179,0.0023151766679083696
07/2021,-0.0003840068583231826,0.0017103018290578476,0.0068267371703696345,-0.00022247021827881408,-0.0010497582822270868,0.00028989943469936996,-0.001477991513494814,0.000598930807483633,0.0009956862687774404,-0.0004783271573356451,0.0032228183192879456
08/2021,4.202054761348606e-05,-0.00039905501465598014,-0.004865907516077739,0.0034082488287696666,-0.0035501261397541395,0.0009626002882536788,0.0020064404168991246,1.4507415156073122e-05,-0.0006420074860102876,0.00028797605977648466,0.0016394239451962278
09/2021,-0.0001939689103080955,0.003938547784825497,0.005728097427158518,0.0004371554593542992,-0.0018441165375800983,0.0015103240447322808,0.002657465392478464,-0.00023394932205067498,-0.001165404122244973,0.0030871529414524534,0.001682146454643707
10/2021,0.00022983131231257836,0.0015901039742940437,-0.0006784641087947962,0.0007946038267676592,-0.001687262669327838,2.3629549631865032e-05,-0.002064196715405142,0.0031247618672876065,0.0008309286174768005,-0.0018589432397631,0.0021409580917430837
11/2021,0.0008908995060725733,0.0013395079861862058,8.035991680310772e-05,0.001035341041646154,0.0006914037284964092,0.002897150080440225,0.006042875157788563,-0.0010644953225924514,0.001950767759451466,0.0018127348618615091,0.0016242433142727997
12/2021,0.002196400754522987,-0.0033084053388472423,0.00029090653399399535,0.005075068399335025,0.0019921594852960745,0.0018116775877774494,0.007180192125274543,0.0020256792986292904,0.002164890608276071,0.0019334531090777762,0.006273460356525318
01/2022,-0.0015421806171515007,0.006174908513138178,0.005071858550588226,-0.0025853638246776667,-0.0017088815884191977,-0.0008217295643661027,0.00012661575869166164,0.00026492503273201073,0.0011032265533228447,-0.0004979520255362635,-0.0012350402067600186
02/2022,0.0002544976692926415,-0.0008728867926297568,-0.005705137150729178,-0.0008996928625503164,0.0009769926406260065,0.0020299571888731105,-0.006596625419083235,0.0015206418714936998,-0.0021245756382909375,0.0028922274233602607,0.002642593045496966
03/2022,-0.0004138144398629917,0.0011565147961078992,-0.004167132428338549,-0.0012234777984616585,-0.0009270366269035213,0.0018594226217676368,-0.007679567309859525,-0.0020063770726153063,-0.005524062959311182,1.580055153360682e-05,0.002274789925005294
04/2022,-0.00030708296661619006,0.00023841366339927283,-0.0002590535355826429,-0.001098676870087134,0.0015085278618740539,-0.001094282740160879,-0.00045940421761936356,0.0012948219571893294,-0.002319313189337646,8.951212445129642e-05,-0.0016338161534495965
05/2022,0.0005051187635720655,-0.0015788672853658259,-0.0005528439891778758,0.001707523146506018,-0.0020348261188469774,-0.0008963491876317065,-0.0045068238152911055,-0.000323615001820321,-0.0033228033665194667,0.00014675048709400507,-0.001075490995836259
06/2022,0.0025171946056641303,-0.003592289398680837,0.00012960652274585094,-0.001678920495974956,-0.003757174401094465,-0.0015525673475738078,-0.0036837634834244737,-0.0005224902076553795,-0.0033113245593726637,-0.0003985497828572493,-0.0025192689077268016
07/2022,0.002381796085220378,0.0051267386357858324,0.0029934743216415427,0.0034693787025070755,0.0025359343557525005,0.0037037184761647968,0.004705580915675522,0.004552748340982182,0.004053688043462289,0.005294280671953144,0.004608599657777823
