,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
01/2019,0.0006625409291788177,0.0005953350893990357,-0.0006026774334412233,0.00032086745545868885,0.0003446816081833109,0.0007348512463115821,0.0004874191981735169,-0.00016946981970840207,0.000428317617411262,-0.0004098667451334706,-0.001427866541705989
02/2019,-0.0006081267804698949,-0.0004842114571546943,0.00016124631819448322,-0.00027242633107331556,0.0035619599351360428,-0.0007053223256389806,0.00019630801255895655,-0.00014161641449560343,-0.0007401747526246203,-0.0012262653793536932,-0.00010677358681267582
03/2019,-0.00030146909806737145,9.739682740579798e-05,0.0006300101032119584,0.000697546882485885,-0.003205399676093392,0.00031238601023998724,-0.00017617860049885803,0.00016599463161683613,0.00016274096697971828,0.0007759141668418502,0.0009736101899194827
04/2019,-0.00042064594337115017,-3.3016690151807526e-05,-0.00019864079080444616,-0.0003144979743704042,-0.0022190579650784724,-0.0005043236987966691,0.0003007732256794073,-7.567852753267296e-05,0.0003355720210456159,-0.0005095211677047327,0.00058302146124092
05/2019,6.21755910269646e-05,8.234084005526339e-05,-4.305369186946226e-05,-0.00039360267799796664,0.002284266126974509,0.0004469102754320782,-0.0005530730377679687,0.0003118567836169969,0.00022082576383970418,0.0019258506610992827,-0.0008446768595618652
06/2019,0.0027354708722912707,-0.00046379814267865586,-0.00037604853822949605,-0.00040730263761024933,0.0003382105240785707,-0.00021070596552604307,-0.0008337370724710051,-0.00034361208651940284,-0.0005893214924126821,-0.0003432729150948024,0.001486873591061602
07/2019,-0.0025745838392794264,0.00033839178552201067,0.00044404816697569613,0.00030156178549126285,-0.0018970418493202243,0.0005739376360456624,0.00048218499551854355,4.7719091167987976e-05,0.00014775621105836585,-0.00034055994010622273,-0.0002600396441754249
08/2019,0.002632703111682148,0.00017177037538924564,-0.00014783265127395716,0.0006419174241640412,0.0030783026600727545,-0.0005131476108507921,-0.0009686005074206827,2.6169092933696694e-05,-0.0010044471530010046,-0.00016033430778483564,-0.0006872966517321305
09/2019,-0.0017556122733612036,-0.00038903246892722614,-0.000130992551185748,-0.0004624551376096152,-0.002973441657490424,-0.0004446276669479582,0.0020019013188384005,-2.740162647903166e-05,0.00049555307566998,-0.0004793511714240653,-0.0005102180270022336
10/2019,-0.0031737873558507533,0.0003897450005526486,0.00024330732229336897,-9.79466474613222e-05,0.0017739381292821632,0.00044761161491753583,-0.0006935017525030278,0.00042256960809248026,0.0021162826763412735,8.221165327894873e-05,-0.0012290008540331403
11/2019,0.003127534685778614,-0.00042334208959552214,-0.00026942851130487035,-0.0006061924979146645,-0.0021825618610374904,-0.00044074998907577337,-0.0005598262067336981,-8.390500735936876e-05,-0.0028927482861150298,-0.0009379596293078527,0.0002918975809164358
12/2019,-0.0011418278272214456,-1.1026627254804439e-05,-0.0007342529703877661,0.000969446082011504,0.0010305011210913245,0.0010451308532629273,0.0014280416932308509,0.00022902018046938588,0.0009621221564367188,0.0020995296303594913,0.002570680330857212
01/2020,0.0004459521174506806,0.0005360369493411128,0.0012560508904707092,2.651609771970806e-05,0.001584772392164648,-0.000784261634502079,-0.0011060884377980511,-0.0006936713726804194,0.00033364702595596943,-0.00031464543912646664,-0.0015179070530596285
02/2020,0.003596514226260653,-0.0005862566553574006,6.246900078579753e-05,-0.0005064933986023111,-0.002025711905795725,-0.00035359090723487835,-0.0007016900633071985,-0.00018930093434373074,-1.7223462662663627e-05,-0.0018158392210316596,-0.0006744522768329965
03/2020,-0.006629930649705334,0.0009504921975952985,0.0008686557759425735,0.0011668638118714578,0.003157251451338379,0.0015095004023322738,0.0034996465844854803,0.00019213245348968268,0.0031855494883834354,0.0023037855043508484,0.004550881446896651
04/2020,0.005486930137108796,-0.00021368135296578883,-0.0007081447025615948,-0.0009951813533737811,-0.0007276229270478567,-0.0006544229047884863,-0.002179277884727029,-5.723015396790279e-05,-0.00352938754012405,-0.0003066910573240444,-0.00377084213978438
05/2020,-0.0021074450623863447,-0.000643421951564192,-0.0010525795887515333,-8.303975588095855e-06,-0.0021319069422897634,-0.0005581807438676759,-0.0014546748927087164,0.0007582756347250721,-0.0008273081957792909,-0.001051990290481278,-0.0019412087749257744
06/2020,-0.0004557229784411124,-0.00040722528704682705,-0.0008024113934561525,-0.00042653315859145224,-0.0019592972879424156,-0.00039930722411533545,-0.00038096998571041964,-0.00041715857593611905,0.0007962796278302743,-0.0006362910530628273,0.002230768337990803
