date,CL_sel
2019-02-01,520919174.8873
2019-03-01,514078498.09869003
2019-04-01,524584262.24429005
2019-05-01,525743105.72818
2019-06-01,524237696.25043
2019-07-01,522541609.89475
2019-08-01,514739079.43411
2019-09-01,518823177.6018
2019-10-01,508519905.67964
2019-11-01,522973202.3291201
2019-12-01,517721584.85644996
2020-01-01,507708406.76240003
2020-02-01,505806243.00991005
2020-03-01,503315599.85756993
2020-04-01,543668140.4253501
2020-05-01,527724800.94236004
2020-06-01,517654314.64869
2020-07-01,493076357.8696301
2020-08-01,501406899.53948003
2020-09-01,503599574.14492
2020-10-01,496337785.85523
2020-11-01,476237938.03091
2020-12-01,457083868.86771995
2021-02-01,448744101.55944
2021-03-01,446521597.52709
2021-04-01,444271087.95358
2021-05-01,454872958.97777
2021-06-01,462272586.76334
2021-07-01,464760603.05774
2021-08-01,469061335.53011006
2021-09-01,478717971.75166994
2021-10-01,478964913.51153004
2021-11-01,486031304.189
2021-12-01,500733959.80402005
2022-01-01,495311016.80605
2022-02-01,506181210.72375995
2022-03-01,525259901.17438996
2022-06-01,523345121.5296499
2022-07-01,516737106.92728007
2022-08-01,548314601.00487
2022-09-01,545461456.4401199
2022-10-01,542960644.5401301
2022-11-01,537764139.1323199
2022-12-01,534969205.24319005
2023-01-01,528249174.59398997
2023-02-01,523469761.4083099
2023-03-01,518222458.54158
2023-04-01,512059654.43201
2023-05-01,505242509.41303
2023-06-01,499349261.37059
2023-07-01,500518964.57219
2023-08-01,504022733.07943
2023-09-01,509650288.91051996
2023-10-01,515361894.98065007
2023-11-01,517531137.72944003
2023-12-01,525169724.5568401
2024-01-01,528229718.64894
2024-02-01,520482340.6608
2024-03-01,518530066.53957003
