date,C_sel
2019-01-01,36922838.15787
2019-02-01,31989411.279990003
2019-03-01,31946852.0686
2019-04-01,32236746.9197
2019-05-01,44340387.04618999
2019-06-01,33617959.27589
2019-07-01,38043285.65597999
2019-08-01,36827795.75993001
2019-09-01,37424335.29891
2019-10-01,36198163.73690001
2019-11-01,39026696.5335
2019-12-01,35816223.90962
2020-01-01,45372264.93807
2020-02-01,39026183.14659999
2020-03-01,39214812.77246
2020-04-01,51042643.17341
2020-05-01,49296107.13846
2020-06-01,48945439.49193999
2020-07-01,48922050.703549996
2020-08-01,48619473.31323
2020-09-01,50590936.600430004
2020-10-01,50475309.842870004
2020-11-01,48306911.16936
2020-12-01,52685529.45588
2021-01-01,58900236.692999996
2021-02-01,52089355.44234
2021-03-01,53860399.48926
2021-04-01,55115788.91075
2021-05-01,58237788.54105002
2021-06-01,55919760.26715001
2021-07-01,57102363.98764
2021-08-01,55912461.84297
2021-09-01,59353621.34741999
2021-10-01,57334764.83974001
2021-11-01,52248204.36033
2021-12-01,58536402.49431001
2022-01-01,59307220.1809
2022-02-01,58013536.83523999
2022-03-01,50967223.86676001
2022-04-01,68237065.46882999
2022-05-01,55588309.575720005
2022-06-01,54190528.28733999
2022-07-01,50372788.48706999
2022-08-01,49880127.22839
2022-09-01,53004206.282299995
2022-10-01,70037497.07281001
2022-11-01,58018212.08887
2022-12-01,60867473.85919001
2023-01-01,58653237.8487
2023-02-01,65763043.482149996
2023-03-01,66503244.61607
2023-04-01,59221628.52289999
2023-05-01,57189585.60906
2023-06-01,59961636.44177999
2023-07-01,62512496.06988999
2023-08-01,60380309.10808
2023-09-01,56916466.57811
2023-10-01,54419928.696609996
2023-11-01,59338617.96379999
2023-12-01,63765978.903890006
2024-01-01,66864355.40370001
2024-02-01,79168333.40034
2024-03-01,71170819.50052
