date,D_sel
2019-01-01,656275443.4031899
2019-02-01,650093216.8140501
2019-03-01,656984612.52535
2019-04-01,653730485.4422499
2019-05-01,658057179.1845499
2019-06-01,656210907.1708599
2019-07-01,680462840.22186
2019-08-01,676624676.7349501
2019-09-01,686604019.61648
2019-10-01,681654124.51585
2019-11-01,706616966.3889798
2019-12-01,704466977.2041199
2020-01-01,754131236.8129001
2020-02-01,790190175.0738101
2020-03-01,781259610.42303
2020-04-01,806784843.69037
2020-05-01,805501468.61459
2020-06-01,811602748.21382
2020-07-01,816826216.23205
2020-08-01,841915064.1978601
2020-09-01,842107607.0648698
2020-10-01,875947240.36422
2020-11-01,890185735.6477
2020-12-01,896325810.0527099
2021-01-01,938316764.9747502
2021-02-01,940266177.2857999
2021-03-01,942979211.6784401
2021-04-01,961189623.7811799
2021-05-01,969469696.8743501
2021-06-01,976593102.0272298
2021-07-01,982314504.11569
2021-08-01,992545548.87353
2021-09-01,968803123.94924
2021-10-01,1000384980.72542
2021-11-01,991786483.55884
2021-12-01,1007765587.5520699
2022-01-01,1060890788.7386298
2022-02-01,1046436299.4466499
2022-03-01,1021428507.7194202
2022-04-01,1079150790.77591
2022-05-01,1111146842.49396
2022-06-01,1107482710.17206
2022-07-01,1129934560.46318
2022-08-01,1197386870.2633202
2022-09-01,1203522555.2305598
2022-10-01,1217639601.9967997
2022-11-01,1248280892.03969
2022-12-01,1280322922.09261
2023-01-01,1362767452.78114
2023-02-01,1363769759.1708999
2023-03-01,1391301804.6256404
2023-04-01,1402248231.5473402
2023-05-01,1432928422.31744
2023-06-01,1441855314.2689798
2023-07-01,1487804098.71343
2023-08-01,1520209283.2162802
2023-09-01,1523759201.1988604
2023-10-01,1533783776.9392
2023-11-01,1551276732.5658898
2023-12-01,1590305813.42962
2024-01-01,1702931014.2573903
2024-02-01,1669486072.8924801
2024-03-01,1697582714.86824
