date,L_sel
2019-01-01,326781607.38619
2019-02-01,318984356.87715006
2019-03-01,317157377.59031004
2019-04-01,328492084.26675
2019-05-01,333220549.17824996
2019-06-01,333368922.96993995
2019-07-01,334137832.61407
2019-08-01,334362909.82831997
2019-09-01,340404770.47811
2019-10-01,340764552.93823004
2019-11-01,353937562.61147
2019-12-01,354381141.76893
2020-01-01,350559175.55086005
2020-02-01,345548006.7266401
2020-03-01,345941351.25846
2020-04-01,372167512.45575
2020-05-01,355218771.03388995
2020-06-01,343886435.55293
2020-07-01,344156315.08291
2020-08-01,349998580.63733006
2020-09-01,354531062.16504997
2020-10-01,360940345.14464
2020-11-01,367688559.29710996
2020-12-01,372835890.5985
2021-01-01,375068422.73519
2021-02-01,379716255.45275
2021-03-01,381674961.75768
2021-04-01,386020915.6688799
2021-05-01,397433049.74205005
2021-06-01,410406209.16127
2021-07-01,418469866.6897501
2021-08-01,427035477.48175
2021-09-01,444701898.59986997
2021-10-01,462017423.9257599
2021-11-01,473534325.59317994
2021-12-01,493293313.25722003
2022-01-01,492731599.91279995
2022-02-01,508097908.27842
2022-03-01,529685433.84854996
2022-04-01,511952168.37908
2022-05-01,502087285.90041006
2022-06-01,496595508.48836005
2022-07-01,476957512.90645003
2022-08-01,489180550.73682004
2022-09-01,477464862.36612
2022-10-01,468208646.26857996
2022-11-01,454122501.78003
2022-12-01,444893162.1914
2023-01-01,425448807.47914004
2023-02-01,419010111.98541
2023-03-01,410778730.68468
2023-04-01,406267332.60538
2023-05-01,400090680.16707
2023-06-01,397155542.61317
2023-07-01,400100269.87514997
2023-08-01,404698900.37584996
2023-09-01,413962922.41793007
2023-10-01,422702891.3782299
2023-11-01,430101384.26532006
2023-12-01,442906344.3220599
2024-01-01,441491720.7202401
2024-02-01,439662794.39620996
2024-03-01,439489763.89625007
