date,NPL_sel
2019-02-01,315311466.57975
2019-03-01,310592075.18735003
2019-04-01,313492752.36348003
2019-05-01,312366556.7559599
2019-06-01,311355686.74117005
2019-07-01,309038839.50832
2019-08-01,305507338.59133995
2019-09-01,303473541.42078006
2019-10-01,295002167.43948007
2019-11-01,304714435.96461
2019-12-01,299722395.1299401
2020-01-01,293898700.63172007
2020-02-01,299133553.31658995
2020-03-01,297257522.07757
2020-04-01,312903945.67143995
2020-05-01,307367668.60833997
2020-06-01,308168424.59258
2020-07-01,283285047.4008799
2020-08-01,287702984.25135005
2020-09-01,287512300.72056997
2020-10-01,274794699.12831
2020-11-01,247794366.17153996
2020-12-01,225569691.18547
2021-02-01,210754884.93958005
2021-03-01,208285167.31762
2021-04-01,205085041.90815997
2021-05-01,205480732.48992
2021-06-01,203762180.51962
2021-07-01,202110213.31433004
2021-08-01,201445047.70778
2021-09-01,199363025.30804998
2021-10-01,187213567.05515006
2021-11-01,187007489.13845995
2021-12-01,187453122.53119
2022-01-01,186026150.88496995
2022-02-01,187168417.69789
2022-03-01,187865809.44081
2022-06-01,195631274.71078995
2022-07-01,205257277.98819003
2022-08-01,215269039.39737004
2022-09-01,217517634.55125
2022-10-01,223466964.6302
2022-11-01,230902177.84996
2022-12-01,232681163.44523
2023-01-01,237228753.77998003
2023-02-01,237722769.29933
2023-03-01,236571223.4274
2023-04-01,238132757.6193
2023-05-01,238821562.54207
2023-06-01,237869349.74079
2023-07-01,237201566.52564996
2023-08-01,241959987.45864
2023-09-01,243028020.54373997
2023-10-01,241805134.59689993
2023-11-01,240785536.31052002
2023-12-01,240110418.61157
2024-01-01,243222559.07272
2024-02-01,242590109.4698
2024-03-01,242622894.12866002
