date,TE_sel
2019-01-01,94594941.6454
2019-02-01,100200777.81235
2019-03-01,103794926.55204001
2019-04-01,106637916.26544999
2019-05-01,96240814.27130999
2019-06-01,96762736.30255999
2019-07-01,102614038.07505001
2019-08-01,107890574.48163
2019-09-01,114415522.01848002
2019-10-01,117696701.04661
2019-11-01,121506181.4035
2019-12-01,127794888.23313998
2020-01-01,131519011.59120001
2020-02-01,137528019.01013997
2020-03-01,145171326.52486998
2020-04-01,141751909.38581997
2020-05-01,149960011.35904
2020-06-01,132356373.46655
2020-07-01,127794693.74594
2020-08-01,131089702.65544
2020-09-01,136157048.7851
2020-10-01,135984496.32822
2020-11-01,139169688.37686
2020-12-01,141619990.05783
2021-01-01,139605390.08139002
2021-02-01,143468346.22134
2021-03-01,143046309.54376
2021-04-01,144523565.13559
2021-05-01,130660550.25284001
2021-06-01,132418083.00528999
2021-07-01,135075263.0534
2021-08-01,141985467.08001
2021-09-01,146229355.13068
2021-10-01,152160673.84392
2021-11-01,156494976.26503003
2021-12-01,161817681.22349998
2022-01-01,171266581.10031
2022-02-01,174947676.28636995
2022-03-01,177534565.18574002
2022-04-01,144692129.72663
2022-05-01,137960613.46350002
2022-06-01,143695600.10694
2022-07-01,169983582.69378
2022-08-01,179273775.9867
2022-09-01,185006300.30581
2022-10-01,159958523.41342998
2022-11-01,164518714.04401004
2022-12-01,165238484.83524
2023-01-01,163070023.65668
2023-02-01,174533384.43758002
2023-03-01,179312653.09267002
2023-04-01,192039421.12870997
2023-05-01,175936935.62903
2023-06-01,186736803.5428
2023-07-01,202358415.52021
2023-08-01,216272215.16798
2023-09-01,227282833.20355996
2023-10-01,239931365.35592
2023-11-01,251122573.11385
2023-12-01,260819379.47768998
2024-01-01,225650456.97731
2024-02-01,238136967.22974998
2024-03-01,244278130.47498003
