date,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
2019-01-01,179115025.21424,2101223.54668,11619074.28123,4033733.55521,113640699.83462,4975302.09976,3396585.43461,8822461.62565,6471863.52461,5041313.31858,895589.4185
2019-02-01,179306213.84159002,3454225.11402,11796226.2732,3795205.95156,113214959.27846,5478041.35603,3600677.33533,9453838.71641,8290827.16646,5460224.56243,1312060.85488
2019-03-01,177267932.93074,2142832.1298700003,12258526.63028,3499313.78805,102038007.13997,4307502.18515,3220872.85474,10719660.8053,9830219.37829,5663104.46577,1693317.41273
2019-04-01,173906960.95887,2323744.64585,9664363.60477,3291542.25189,105073035.15684,3810282.91259,2541128.18889,8186933.818779999,7906936.33862,5987083.05945,2334557.18395
2019-05-01,168163428.10127,2321411.85347,7944140.89904,3520169.86076,104102892.71532,3146685.09605,1750026.24839,8051898.462169999,7305109.85885,2936186.48435,1728357.19846
2019-06-01,169565367.92524,3634662.06824,8971568.93804,3663890.03055,101463740.94923,3332078.17849,1953669.90736,7958263.14521,8678115.294189999,4080651.61575,1550100.01648
2019-07-01,165316594.74345002,2043060.51128,9112972.5459,3412815.624,95486999.36776,3748006.73935,1792022.1261,6653161.21425,5756563.35739,6330568.68311,1768245.25916
2019-08-01,162153351.5816,2750516.18944,9487653.20443,3052068.47952,100443009.95041,4010473.31618,1997451.69432,11857502.13061,8249446.17599,3655456.38348,1748613.97431
2019-09-01,162417983.07769,2661537.08501,6434151.584770001,2884025.8887,98354994.81656002,3176851.24002,1235100.83611,7513824.99303,6500063.49937,3506206.5517899995,1303330.7896
2019-10-01,164654700.43159,3853103.04198,9954325.1613,3007503.6925,99477288.3662,5320321.53044,2099225.69535,12192996.46202,8265840.37262,6206436.64504,2354929.88962
2019-11-01,163753645.85726997,3970911.98184,9272375.74524,3342282.14959,101484502.55694,6745449.821180001,2629138.9256100003,12099544.35941,10285079.34027,6164429.30353,2219280.61958
2019-12-01,164116174.64659,3290549.92565,10148714.43528,2791462.9084,96793929.31612,6038761.911529999,3863047.53331,12517569.61648,11895072.37593,4647339.236690001,3124693.21988
2020-01-01,178323676.26498002,3961543.992240001,12123074.83815,3523400.6584900003,111388508.37715998,10824031.73833,7547627.01382,13853207.991920002,15278339.56219,10917658.53463,3550311.4958
2020-02-01,177219316.86548,8978407.70532,13371414.83064,3161879.8605500003,106870077.07715002,12669020.989959998,7814756.25963,19767908.25879,16637292.97371,8834333.539609998,3505783.2438
