Year,PR
2018-01,14.79
2018-02,16.0
2018-03,16.97
2018-04,17.0
2018-05,17.0
2018-06,17.0
2018-07,17.31
2018-08,17.5
2018-09,17.9
2018-10,18.0
2018-11,18.0
2018-12,18.0
2019-01,18.0
2019-02,18.0
2019-03,18.0
2019-04,17.92
2019-05,17.5
2019-06,17.5
2019-07,17.29
2019-08,17.0
2019-09,16.58
2019-10,16.27
2019-11,15.5
2019-12,14.27
2020-01,13.42
2020-02,11.0
2020-03,10.39
2020-04,9.53
2020-05,8.0
2020-06,6.73
2020-07,6.0
2020-08,6.0
2020-09,6.0
2020-10,6.0
2020-11,6.0
2020-12,6.0
2021-01,6.0
2021-02,6.0
2021-03,6.44
2021-04,7.0
2021-05,7.5
2021-06,7.5
2021-07,7.65
2021-08,8.0
2021-09,8.35
2021-10,8.5
2021-11,8.5
2021-12,8.85
2022-01,9.35
2022-02,10.0
2022-03,10.0
2022-04,10.0
2022-05,10.0
2022-06,24.0
2022-07,25.0
2022-08,25.0
2022-09,25.0
2022-10,25.0
2022-11,25.0
2022-12,25.0
2023-01,25.0
2023-02,25.0
2023-03,25.0
2023-04,25.0
2023-05,25.0
2023-06,25.0
2023-07,24.61
2023-08,22.0
2023-09,20.93
2023-10,19.35
2023-11,16.0
2023-12,15.45
2024-01,15.0
2024-02,15.0
2024-03,14.73
2024-04,14.46
