12/2018,18.0
01/2019,18.0
02/2019,18.0
03/2019,18.0
04/2019,17.5
05/2019,17.5
06/2019,17.5
07/2019,17.0
08/2019,16.5
09/2019,16.5
10/2019,15.5
11/2019,13.5
12/2019,13.5
01/2020,11.0
02/2020,10.0
03/2020,10.0
04/2020,8.0
05/2020,6.0
06/2020,6.0
07/2020,6.0
08/2020,6.0
09/2020,6.0
10/2020,6.0
11/2020,6.0
12/2020,6.0
01/2021,6.0
02/2021,6.5
03/2021,7.0
04/2021,7.5
05/2021,7.5
06/2021,7.5
07/2021,8.0
08/2021,8.5
09/2021,8.5
10/2021,8.5
11/2021,9.0
12/2021,9.0
01/2022,10.0
02/2022,10.0
03/2022,10.0
04/2022,10.0
05/2022,25.0
06/2022,25.0
07/2022,25.0
08/2022,25.0
09/2022,25.0
10/2022,25.0
11/2022,25.0
12/2022,25.0
01/2023,25.0
02/2023,25.0
03/2023,25.0
04/2023,25.0
05/2023,25.0
06/2023,25.0
07/2023,22.0
08/2023,20.0
09/2023,20.0
10/2023,16.0
11/2023,16.0
12/2023,16.0
01/2024,16.0
02/2024,15.0
03/2024,14.5
04/2024,14.5
