Bank,01.02.2019,01.03.2019,01.04.2019,01.05.2019,01.06.2019,01.07.2019,01.08.2019,01.09.2019,01.10.2019,01.11.2019,01.12.2019,01.01.2020,01.02.2020,01.03.2020,01.04.2020,01.05.2020,01.06.2020,01.07.2020,01.08.2020,01.09.2020,01.10.2020,01.11.2020,01.12.2020,01.02.2021,01.03.2021,01.04.2021,01.05.2021,01.06.2021,01.07.2021,01.08.2021,01.09.2021,01.10.2021,01.11.2021,01.12.2021,01.01.2022,01.02.2022,01.03.2022,01.06.2022,01.07.2022,01.08.2022,01.09.2022,01.10.2022,01.11.2022,01.12.2022,01.01.2023,01.02.2023,01.03.2023,01.04.2023,01.05.2023,01.06.2023,01.07.2023,01.08.2023,01.09.2023,01.10.2023,01.11.2023,01.12.2023,01.01.2024,01.02.2024,01.03.2024
b industrialbank,2388471.20022,2367412.35982,2412273.11543,2372453.94317,2345719.42653,2246869.94725,2166305.05877,2140375.18745,2216119.78137,2167743.22108,2022817.42844,2024614.85426,1986667.57997,1935208.36012,2053070.94826,2007333.7162,1977431.2729,2061036.40397,2059077.86536,2211543.27949,2237135.48331,2260694.94453,2183486.38539,1998525.51819,2122707.70713,2089454.23176,2096414.66646,1918928.17417,1944909.60298,2046737.60927,1997500.4512,1747885.29772,1968609.46364,2101681.39334,1919804.56007,1857873.88382,2013226.91911,2025964.95346,2017286.27708,2245233.7111,2233401.69664,2241977.01668,2210866.51615,2195399.8922,2186333.8013,2180800.04599,1430688.93913,1417125.73391,1406785.71831,1396950.97225,1380290.08706,1375321.84274,1368831.6095,1364447.4543100002,1355028.60013,1345182.9224,1340466.449,1328831.66719,1294009.42539
mtb bank,1680333.77503,1729334.33112,1791305.77854,1927836.87079,1929300.66264,1917662.40013,1964685.42729,2057947.21595,2075231.06262,2111984.12745,2148938.98325,2207529.94065,2219826.25241,2261950.63028,2459471.33976,2461150.97405,2706468.0065,2853287.97469,3038035.76069,2957538.46561,2927495.71707,3106814.4761900003,3123143.1485,3322382.15906,3516227.06202,3601340.5635200003,3668106.31747,3875894.04092,3833346.23446,3992171.34575,4029777.01077,3968544.00327,4117805.59331,4250610.93846,4223483.26122,4322162.23136,4752623.1491,4574271.81251,4864233.39941,4977939.09539,4872692.20628,5143193.6426,4778862.01443,5425564.26488,4462558.30436,5420790.8030900005,5301814.85929,5331728.33864,5085094.3795,5062557.96622,5117488.5557,5086401.00797,5250782.58208,5455351.72674,5385309.41793,5938987.52174,5733404.52395,5616840.905250001,5292493.891890001
pivdennyi bank,16670264.822799996,16474486.99891,16465879.91659,16114353.15004,15544654.971609998,16086352.528999995,16092755.88106,16258001.34031,16843129.30783,16910518.435060002,15203234.59077,14261938.02097,14341631.68691,14900136.55965,16959664.016259998,16142328.50342,16310564.46353,17224657.64687,17357249.74361,18371443.7485,18585598.57679,18990756.74485,19621170.86373,18113470.38515,18536542.87584,17574519.9958,18350031.91422,19629771.48033,19787285.3461,19342627.56197,20050494.82998,20326103.07344,21327290.52604,22686542.01903,21089468.96253,21790868.79915,23397087.12538,21786655.32954,21205914.61329,22876266.23471,23003062.73032,22029344.67095,21418367.9071,21085038.87569,19233916.56093,18589052.82086,17490960.916360002,18124755.10582,17656422.266629998,17497869.40315,18223372.8575,18662300.29868,18180128.08499,18326218.07547,17937925.24788,19276028.5623,20046832.92126,19991353.54588,19942177.5253
poltava-bank,959971.44732,1018175.99252,1037773.35183,1077485.67926,1073780.47147,1155125.11596,1086827.2832,1145224.92679,1113208.10453,1117647.44783,1079969.21813,991857.34784,973935.2009,991319.45121,1101569.15444,1070328.1516,1078665.85088,1159672.10787,1078075.74574,1086470.55994,1083839.03833,1012274.04977,1050428.51546,960897.4823,1039980.1138,1111213.62194,1086067.22463,1073434.35834,1148247.12192,1196828.17886,1259239.39674,1276576.15293,1235495.61637,1265190.55085,1141010.11376,1240369.75387,1327366.83855,1384067.09218,1409210.93164,1463292.45928,1433379.97858,1432826.28347,1466697.97195,1422957.99904,1337317.23029,1406950.8198,1415759.83528,1338035.83046,1373648.50073,1351446.98994,1342259.495,1390671.36903,1395036.28584,1351038.46908,1345773.00946,1355356.00651,1145530.1501,1339913.10169,1415087.50448
fuib,24613790.89136,23855515.34145,25020612.1426,25156976.30019,25933629.01119,25499332.969510004,26502055.09018,27449437.69658,25494832.93639,25946998.3986,25729330.44263,25357545.47679,23871488.37686,23669177.16597,25471412.86503,24753412.72594,22660627.8126,23039614.70988,23659730.38857,24227994.67468,25787355.1872,26109842.53941,26588464.91966,26733089.08967,27167193.04323,27426800.96823,28139466.71239,29131313.79544,30608000.82666,31482978.21463,32211992.74947,33761578.33082,34924988.97331,35689795.50368,36148712.40901,35903565.72842,38688224.50835,38907242.54935,38330811.46943,41066377.78508,40943625.43368,41562377.70089,41699333.32026,40871999.24687,40549183.83462,40408281.70171,40680541.30193,38231159.45263,38847349.33642,39221164.2109,39831954.28461,39980141.9807,41286901.274220005,42467043.69921,42887858.69023,44129681.39951,46139394.65154,46130980.42542,46016513.53253
bank grant,1074582.05415,1035302.87927,1060807.80289,1034219.54808,992729.68313,1009786.13087,1006997.97601,1048161.97595,1045284.34992,1075015.88316,1063626.7405499998,1025358.83863,1061446.79974,1001104.90711,1068284.06679,1058155.92768,1058654.85295,1043771.03047,1061797.20241,1079957.9107,1022708.25901,1141435.15452,1127701.12966,1231499.57497,1264488.38935,1211219.11328,1235966.13922,1179293.6939,1057128.61617,1078235.33692,1159360.7475,1219689.058,1195640.76185,1246406.76496,1216027.78871,1297378.55707,1329595.21123,1314584.44068,1303345.56738,1338202.46692,1355143.82717,1354831.20575,1357946.43235,1330447.14678,1247965.39352,1286084.82613,1258454.46473,1241908.3914100002,1248610.77591,1205927.98239,1218562.28018,1214919.64567,1203417.67271,1197461.35906,1202913.76763,1162482.0816,1165774.57241,1164801.76595,1214931.51807
mega bank,6607875.63087,6504053.70052,6317607.07786,6173545.13103,6245281.373310001,6362400.4813,6037663.42432,6094786.930570001,6392430.008040001,6281277.9875,6185873.9419,6363758.69593,6305438.1774,6239915.97208,6702468.61899,6200578.28049,6248327.486,6261692.18256,6360715.45685,6320918.05174,6514012.6373,6414267.08889,6468712.28547,6511923.122339999,6486683.72822,6576841.09899,6506245.73379,6468824.70395,6562129.625820001,6567494.48804,6582242.40797,6854664.195850001,6761038.10503,7125941.23884,7417443.78374,7989273.92551,7922694.64397,7910614.83357,7822972.79591,,,,,,,,,,,,,,,,,,,,
sky bank,174641.28636,181346.91852,199014.43225,204741.67596,190185.37893,187425.24445,190857.24588,196507.94125,174153.76766,145932.68114,142295.39981,162074.3271,159487.04622,159515.79541,146196.33862,130384.97977,132273.26977,133388.57353,131654.82242,136700.23193,163097.93493,156623.34155,245515.6419,193259.1226,198195.24425,193397.49764,192585.90191,189009.97036,186835.12835,190938.95402,235220.83605,254618.78594,246169.95346,268303.55263,292363.19723,306187.34208,267258.71307,267506.41493,254577.81405,262082.72867,264749.84095,259529.21387,255868.35113,228069.30109,328310.08949,270420.0781,272215.90767,282201.11009,270451.83825,299049.13853,302599.11789000005,311101.50255,351977.77652,341335.13351,343715.84064,349190.40616,351433.54072,388356.36117,386831.10222
bta bank,51869.19357,48244.85958999995,47590.76001999999,46528.96496999997,45541.97653000004,48838.360809999984,48060.09639000002,47391.05924999999,50179.89849999995,49641.076500000025,50196.75896000001,49116.82492,48794.98783,46748.5001,27193.55951,18317.53147,20149.0922,20658.81348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asvio bank,352298.95763,337808.65884,346281.11169,354646.45633,396841.6017,419234.1228,424007.31368,415259.52502,411509.9918,414326.95026,402751.02214,406360.37836,397016.741,416826.65627,436662.78069,448361.87813,436159.75116,428338.35012,437831.78336,431578.63,413219.81897,406615.65165,362730.62415,371082.27245,393778.74238,362839.51096,403692.08901,412394.79174,405633.54615,406705.8573,491122.44172,512114.21451,550754.86808,553830.07974,582889.1771,577293.96654,,603985.6719,596696.5104,618093.16302,666835.00283,678422.98378,664270.90712,675481.13059,671986.51481,680292.3922100001,690999.1327900001,681328.17634,678207.90932,653872.90027,652787.04404,636506.60846,675829.2391700001,693124.82879,700937.01867,680145.82867,729605.37484,777681.86294,740742.96341
ukrsibbank,20600290.23467,19726130.73975,19722248.34479,21028803.02549,19302093.11515,17849470.01691,19423064.40198,19248638.338200003,17500764.921490002,18593347.49965,18716704.61073,16819252.73776,14863547.54445,15050445.3625,20002267.87257,18419795.38173,15341427.9096,14815427.09199,16776292.60687,17658047.951419998,17866036.55438,18231217.98065,16805174.08647,17018607.96948,16884118.413990002,17501948.08913,18603696.48803,18409141.72287,16108426.4361,16843712.18728,17800880.77983,20059532.31381,20206684.45082,22226631.37796,22233049.20176,22119096.51365,23182684.13893,21834838.16814,19996396.32797,19268738.03068,19086726.53442,18296456.21408,17310162.52656,16658124.04891,15374509.34893,14634576.38248,13889024.87448,14504790.12545,14413742.28509,13621566.90619,11751776.34028,11464324.47875,10710315.25113,10413673.57432,11392974.27481,11821189.41286,12107328.44934,11026070.35059,11013298.24852
idea bank,87769.05454,86641.98481,87107.67265000001,84180.59439,83487.69969,80649.29166,78779.37036,79106.9622,78462.25622000001,78415.90459,79668.97223,6521.4079,7382.52356,7653.82434,6732.20459,4738.41392,3195.6866800000003,5599.82539,6968.32066,10241.71385,12477.35724,16846.85451,19802.07566,22149.70369,25951.89003,31225.25555,36226.67728,38261.00235,39510.94222,43046.0102,48134.54244,45818.56869,49632.02465,53700.48487,55104.39298,57059.38641,62197.66365,62147.59574,61486.74605,62049.46229,64423.77649,74409.96325,79296.5998,84295.26225,89738.29065,93045.7684,98750.00264,110233.02075,120855.65969,129587.99251,140663.88639,149058.80888,157680.68912,165819.61555,175932.27509,185689.27472,196167.21652,204609.88742,210298.63978
cominvestbank,702174.67117,696131.99517,673903.1678800001,655471.56092,633039.92016,629438.61219,584891.1033300001,587416.39419,571988.81952,602689.28195,570578.4839,504761.77844,508716.41974,508874.58996,553834.9535599999,542477.29928,547266.53999,552067.41873,556036.21131,563619.15784,586110.1622,591310.77718,588950.88499,595611.93676,596270.50343,615241.4200200001,617751.71136,602969.57874,599656.7880299999,605557.93492,548639.71476,545149.41714,564627.44216,551874.6961,528514.7832000001,544613.5961000001,531459.27293,497711.79956,513929.39111,571568.18309,556577.70799,546073.79761,535333.87159,521574.98788,540525.90144,491789.23945,484088.33433,485842.84554,479097.55647,461709.50137,451045.6485,444548.35783,428028.52209,425057.31292,422451.1973,435627.92707,395926.46376,386753.57369,375227.98461
ukrainian bank for reconstruction and development,369039.12091,338346.51675,365343.09949,317184.56295,338265.27806,335425.28902,340734.1022,365701.03722,342197.73742,361021.42025,363448.38931,355401.91876000003,331171.42369,308415.21623,272877.2676,237673.08466,301574.27422,311964.43786,306243.89201,294812.98002,381905.08569,367715.57293,403009.94654,366306.61085,375691.45999,434588.59186,471934.21636,430982.57136,490465.35278,554872.42024,523786.1639,556898.49724,547646.78943,540086.75083,547796.53783,542328.8975300001,509154.2549,444805.68201,441832.8717,376909.61559,402930.41116,397959.08358,380984.4625,397106.95937,446035.75104,439501.9278,438336.01675,437043.07934,428633.3081,423568.7916,397364.977,389998.47752,392108.89206,389434.61521,389698.72842,384172.81245,357988.85771,332681.55438,312209.51735
pravex bank,950698.56064,572445.50815,625163.36891,763366.84188,566745.54733,623397.34238,708601.76165,766532.35004,1023020.21552,1032128.27864,1119106.85545,1095892.41499,953545.49706,960182.90154,1387304.37878,1601147.04609,1784262.60982,1321890.24378,1426789.71286,1559389.86183,1730613.44565,2321426.67786,2525574.80664,1662104.73111,2120579.1479,1770687.2535,1556052.88754,2101157.16151,1937673.07678,1934369.20055,2249021.0248,2389568.09142,2620393.54066,2746603.80659,3184834.00298,2924522.88604,2930994.73306,2867295.39262,2829625.95476,3073156.66083,2986262.8508200003,2851182.66094,2806998.32016,2722794.22917,2596175.18813,2515446.31935,2313567.50478,2370921.99491,2283284.79049,2047650.23743,1875964.72895,1803362.9399,1851405.52563,1427865.31499,1175327.71576,1178684.45835,1180435.32661,1099123.07458,1156517.7131
credit agricole bank,21857077.87894,22084123.09932,23060950.35698,22584539.76638,21514974.15895,22499724.675949994,21013853.25792,21702840.89972,23801208.61588,23979339.565,22502433.93126,20160222.53788,20139423.47519,20050659.8008,23276165.34344,22329819.71007,19956527.17432,19380976.12964,22038299.72612,21878590.95308,22448010.61427,22088739.14911,23826241.1539,22581998.51417,22811080.62691,21004639.75119,22321839.2985,21987975.38639,22438101.39811,25119189.61533,27456204.31309,30920460.68457,30483583.26656,32707756.0856,29545120.59015,33117452.03492,35456918.25487,32033389.5391,30371267.71132,32833054.32684,31952601.04938,31408892.77864,30551970.07805,29442044.70962,29302119.16527,29109104.73585,28153260.31173,27244527.48797,25913082.43493,23802901.36128,23373534.84456,23722163.93832,24530576.77905,24288170.46265,24233992.01524,24362399.32903,24289191.81709,23063496.31254,21956063.18039
arkada bank,171084.86422,182291.16759,192247.79202,206853.11102,206796.18937,221322.0839,227482.55515,267976.81845,202099.94167,204384.50021,178876.62701,201391.14999,199265.55233,176995.61034,167564.88098,179023.27986,180615.95422,173330.84709999998,171203.60257999998,140878.22778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ukreximbank,133910992.76715,129944601.12939,132121261.36405,129521723.21078,130810443.87849,129082832.34721,125208843.25797,121564747.22212,117613770.0255,119521581.34177,114548106.13093,107693291.21033,109762072.5965,108610965.3812,117469134.3838,112720977.10389,111356132.59434,112603474.69496,116796157.61607,112698299.07172,94776361.44332,94726851.02875,95771322.52773,92957465.97156,93104158.99251,93721703.64841,95174869.33162,83994122.4532,83782217.2729,82138822.42307,88692621.06496,88568283.45356,87778304.65246,77204342.3746,77918418.68767999,80109987.51698999,82297753.56292,94067862.75646,92304260.42869,105754277.96169,105609442.83649,102481365.88842,101504204.32513,101740426.26233,93956593.99385,94063779.50547,92749208.23694,89998113.34566,89584144.38331,86376199.32419,84690785.43201,84390092.62705,84183012.61591001,84043247.07554,83339880.88574,83714475.91499,86756268.37968999,86115905.88847001,86473320.56253
metabank,418780.07914,475171.4548400001,458466.25687,451607.82214000006,463597.8600900001,489183.08996000007,473711.84823000006,466312.8221099999,454076.50485,502249.34136,499474.69008,507393.82714,488956.40768,493391.60345,525610.80102,524606.7485699999,511464.53762,519589.91074,556229.68237,543505.34901,488238.83586,511332.65509,553747.34554,590700.24024,592751.5184599999,614918.74107,564342.38572,574693.53546,534062.32702,526630.49345,493488.00956,486557.98859,558825.43603,534446.7564,486261.11377,485822.90345,538667.21436,498292.01701,504382.9942,523635.02764,511118.39312,502903.11593,454855.46439,452711.6715,422574.87282,406356.45399,408593.48749,401628.86481,384695.10275,401029.43706,408169.62772,407547.43608,404918.5737,408840.37153,405765.72152,406446.67264,412382.40108,412159.71985,370366.41362
city bank,575453.5166,503862.54239,507921.86479,499900.19512,568652.83722,532188.27113,544709.77491,543825.15969,520019.74112,531767.0686,527221.09228,506173.7067700001,494006.35228,486718.19934,518213.62036000006,512083.26774,497958.39275,302279.68599,302242.00881,304305.93893,310290.50352,311639.54159,314595.49536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
