Bank,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01
b industrialbank,425041.32207,427302.77098,454762.25149,467537.30198,446423.34443,448817.9585,447605.95864,452027.10337,468500.82837,363258.76914,378851.35215,372508.51706,374811.60549,341651.24969,346980.42013,330457.04395,334462.01636,308101.2963,304426.7548,301284.47583,301006.93193,350522.5765,337001.88923,180129.49198,257827.19921,252348.93567,247116.35874,247231.08296000003,260726.23738,259794.96311,249412.70472,188631.86238,186856.58069,191013.29858,187947.9042,172169.06996,197840.95634,287286.00925,410713.47796,606491.12212,608206.24611,611062.28415,580239.58014,581521.4035199999,569716.67642,570488.20056,577707.9738,577424.83229,564419.7966,519904.60978,520361.60182,513928.60054,513127.27837,511324.96608,513461.58849,510990.21183,497726.7414,490940.22877,616807.18496
mtb bank,48883.72634,54691.93633999999,68304.27311,72200.84385,121949.8171,119233.91978,117993.4214,176400.33168,177699.83792,181288.5149,242313.34019,196654.81874,195130.22509,201275.82048,216109.56528,228069.77912,228758.68485,242168.67551,221435.73844,209451.21762,228694.17988,228093.07744,233570.15064,207189.63292,206017.44682,205182.76699,233943.59257,230979.80925,276088.46687,272593.84736,298157.05678,298208.71363,296050.84516,293328.36340000003,299383.43513,284034.17226,292257.87319,419201.89137,539454.00189,593588.01821,653642.81349,591891.53879,589732.31272,724901.65096,780692.61373,818423.9357,847383.1062899999,866883.91709,866991.9115800001,964458.46498,933619.41794,1076273.13299,1059900.25983,1052463.42772,1830814.24977,1714479.76885,1242008.95572,1176793.70961,1226418.1861500002
pivdennyi bank,1591674.28444,1468820.22338,1209524.85869,1210776.30809,1058273.5588,1052893.49125,1025222.32251,1012739.85849,1021020.70634,1432909.43143,1420007.63279,1403836.97868,1438812.3336,1423639.13193,1572983.4062799998,1545202.01303,1546773.271,1383582.15013,1427879.3478799998,1431894.37331,963405.96003,852131.39884,1110127.96526,1117483.6986,1157973.90037,1133504.12526,1389799.82793,1123039.2867,1105215.52327,555976.42896,577988.44559,568464.27483,498693.39398,439461.43468,431619.26116,463110.78622,895899.0016099999,1287068.17234,1533570.61869,1838700.02283,2027087.53805,2945634.36419,2584325.59437,2577747.3144900003,2602297.77117,2333619.86798,2120258.60268,2018763.0563,1924722.87934,1945138.87533,2222494.72825,4711398.59666,3607032.98106,3546199.79952,2465054.10357,3024728.21448,2977765.68864,2826815.52169,2817828.53499
poltava-bank,143233.5748,137856.85917,127720.91455000002,124968.50995,119538.65889,123548.85874999998,123014.42034,121118.27414,113615.32602,101646.99461,102260.74937999998,99575.11052,128315.6618,126979.20879,126885.29401,191457.99327,193322.18247,209142.69045,201199.5611,197604.84429,191744.52201,193923.2986,197416.40647,174526.23712,179474.31337,142979.83528,132142.65409,128959.81543,113417.76333,112168.09601,112533.94067,84686.67497000001,92141.25963,94934.01339,94164.37103,93899.01607,92167.73367,105055.77446,128119.30765,114403.61199,110810.42183,115425.1473,132088.90381,141772.42841,131249.94874999998,131959.07097,128387.00757,134228.40136000002,138450.336,147841.22104,146496.59354,130018.00627,124968.87476,118361.9683,154049.326,365585.45286,365184.65808,379388.03164,369261.6934
fuib,7362084.343060001,6798398.72715,5767808.84509,5748026.924079999,5715961.71206,5657720.37714,5171312.10187,5316993.18361,4714835.9879,5055365.71723,4858147.61263,4170952.78573,3995182.58493,3978250.61938,4604916.800489999,4416978.5344,4472360.74711,4309816.18877,4472359.14206,4457210.0818,4431907.101989999,4079090.19425,4046577.34447,3028575.71983,3100942.49603,2774439.45857,2729261.89661,2731982.41332,2745303.4569900003,2753090.81955,2726713.22916,2779195.85075,2735934.9209,2824673.33833,2844009.11765,2910032.53644,2999862.49132,4707116.20137,5583718.59909,6479382.6476,6323446.45636,6224182.76636,6272775.18042,6620822.08461,7879076.45879,7797808.3666,7394310.70723,5345739.80248,5403984.67167,5419565.75206,5178896.6998,5182759.83041,5242130.7968,5050825.35702,5038438.68349,5339625.72012,5733285.20372,5897977.91769,6044166.457330001
bank grant,103388.34062,98417.91412,97781.62215,95434.28082,95744.59733,63682.37915,61493.29669,61072.33291,58871.043410000006,60838.73201,58045.32979,57239.65058,58557.74906,57696.83126,63050.15959,61473.38798,68452.83338,67821.42763,69839.33793000001,69419.57761,70584.73768,70520.92809,67811.4063,43895.6613,43152.44119,40553.45274,40589.4389,40030.2941,38641.97911,37456.68406,37115.56553,34792.03304,34242.122690000004,34372.50663,71877.60465,73170.93278,75318.67439,77095.81053,142587.8131,154462.59342,155649.83477,156427.20644,157798.45378,231577.26713,412243.47386,415783.69142,414322.63987,412501.56815,549716.98392,517423.10032,509683.42784,509749.4594,513391.14128,572464.49097,430121.47817,451346.85659,444564.58493000007,449761.52704,449985.64305
mega bank,690787.77748,691064.84763,743982.59646,843433.37827,816220.05121,766992.6673,735964.77642,703009.1425900001,801013.72674,805418.18617,798964.39707,562456.11467,552236.19045,460463.20352,508561.83931,501553.74436,497192.50442,490132.30311,508467.94845,609608.92493,604758.21808,563122.15976,557606.3573,373537.76211,483555.64927,482469.08946,493818.17934,486590.22163,460381.9507,449770.19327,403133.29164,327273.21031,322340.62962,498425.51966,603863.15113,844650.93677,900076.20976,912938.07788,1790563.70421,,,,,,,,,,,,,,,,,,,,
sky bank,15915.94193,15915.77448,15910.94594,15907.55632,15912.37212,16013.73756,15998.21982,15955.20096,16007.9075,16245.69279,26990.69784,16257.41937,16327.26422,27541.50848,29605.8079,28973.70525,29382.342770000003,29438.87377,30059.14167,30110.66351,29753.34828,29984.33012,30144.26253,29331.84102,29149.97196,29202.16246,28254.25489,26380.59707,14892.70013,10694.92293,10921.5549,6722.65859,6691.47711,6933.80207,6987.27971,7407.82467,7567.91051,7704.883,188.83829,2251.78676,2266.2391,25258.07708,28040.85643,16377.41326,30647.65921,29947.29791,30056.87501,29015.67697,27182.21411,25210.95192,23464.6152,22606.69102,22664.62816,20986.1063,20062.53431,19913.50277,18356.06474,18349.22755,18305.86373
bta bank,51869.19357,48244.85958999995,47590.76001999999,46528.96496999997,45541.97653000004,48838.360809999984,48060.09639000002,47391.05924999999,50179.89849999995,49641.076500000025,50196.75896000001,49116.82492,48794.98783,46748.5001,27193.55951,18317.53147,20149.0922,20658.81348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asvio bank,59458.62583,59900.97856,60251.62266,60520.84009,60849.173570000006,61100.19305,61289.61276,61651.35053,61686.80777,62244.58524,62523.89691,62662.85334,63305.26075,63650.15342,68739.98607,69258.10047,72601.39468999999,73221.42186,73924.34324,74407.18212,72250.02154,72930.77253,73385.68493,73871.67583,73970.57970999999,26816.89711,26527.90642,21764.08192,21908.94575,21734.3475,16560.20274,16372.6054,16345.91069,16454.00721,16463.07342,16663.173649999997,,17164.77378,91313.54187,92607.01494,93710.6773,106753.57711,135811.22714,136476.95609,137612.88319999998,138617.99659,139257.13868,138698.85778000002,139001.47792,138893.69668999998,138084.83461,136781.25182,137210.45635,135613.1798,132888.81644999998,130506.52364,130444.91503,129903.32322,129507.17547
ukrsibbank,1497388.6906599998,1494138.27301,1520874.4196100002,1497197.91206,1201013.7834499998,1236792.71842,1207232.98826,1181433.70981,1151065.9273700002,1177522.23801,1149172.06402,184308.62682,170958.89141,175230.89263,152097.47166,185001.80253,165685.03066,192624.43551,223319.71026,178632.52166,144380.93839,115149.55117,133234.09828,188879.62321,175031.90033,139451.39156,694962.7576499999,142021.49056,141740.6239,143276.49297,138934.42857,221490.6343,251326.67461,255171.02769,530129.17712,499921.32603000005,452630.94285,768932.1138,1162827.97939,1679723.64719,1490175.05937,899146.05475,902624.10551,945673.04864,969360.06855,996625.03426,977122.97548,955823.16963,887922.84773,869940.4824399999,873510.31538,877475.76103,876621.33489,851509.1737099999,1031314.83398,1047645.49477,1274290.11038,1274564.25392,1292455.23518
idea bank,86414.21973,84527.30178,85314.70868,83052.22078,82458.0903,79260.86005999999,77229.72204000001,77350.43592,72857.76385,75750.57589000001,73980.94161000001,692.7946000000001,1008.25315,968.29322,1295.22784,1747.79023,2564.23765,2776.68908,2689.24084,2648.25846,3779.00631,4543.10664,6256.94748,5030.07752,9769.45293,8351.48903,7573.98406,7974.86431,13098.32018,18538.5889,23406.1109,26213.19366,30024.51891,38580.60896,37278.171,49825.34341,49621.35458,41784.02222,36827.93855,35966.49891,40485.46854,52784.78867,60883.77224,66921.35203000001,49385.7529,73714.03899,92980.53134,83649.34542,87636.29055,88801.2826,71676.79139,73710.23984,78900.48758,85091.05262999999,88223.66732,92466.68776,32126.13046,43651.63448,58519.70681
cominvestbank,196565.58408,215266.72601,229336.31159,267754.12515,281496.20678,294897.76064,291192.22659,292697.61053,288896.12738,299256.27699,292523.81886,252706.45754,329705.35378,321860.14881,351233.28496,342199.56141,330747.91461,331760.14412,337644.57667,312266.07894,314242.12206,320224.38598,314613.81058,292486.51669,294519.48373,276872.478,279659.07981,299010.04655,296219.90393000003,281916.9674,246376.97766,254220.27566,255711.60322,256942.4638,247879.09455,261773.35191,254411.6788,250745.71027,247728.15847,300214.75437,284307.31309,280961.47114,304566.19963,345082.11559,368413.41258,333160.92254,330018.18054,345891.40421,346628.37687000004,338892.60746,344830.97679,343918.79417,338375.94332,333810.8605,333398.14559000003,338273.08345,299282.94605,276831.1727,276993.27948
ukrainian bank for reconstruction and development,110433.06554,94772.92536,110122.37711,102736.86113,100180.3607,130191.05322,101690.63074,100921.90661,88437.13096,87529.24629,71415.01901,57717.80551,58218.55381,57862.06663,29306.67888,29304.26835,29317.8725,29337.24726,26181.21745,30003.67696,29579.95347,29794.75847,31972.733750000003,66587.39661,66605.40622,70760.34608,67012.56121,45955.59232,47130.74912,47428.63253,46732.91475999999,43662.14199,43444.77258,43174.04489,25284.03338,26724.15877,21011.48398,21162.7275,21211.53272,21324.07312,26813.21009,47146.52226,49051.31698,58381.63956,54957.02961,60774.63563,61071.77768,61073.51192,60667.73925,60620.06281,60738.27211,59653.89918,59810.9605,59186.05326,59050.54318,57062.05816,31919.5394,26616.48629,28329.03841
pravex bank,35262.80334,34336.54035,34662.19018,33861.50562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26809.76664,26980.30357,230160.8555,265601.42318000004,265900.10202,265707.56081,262274.94934,258472.62132,258579.63609,248415.39030000003,246824.25613,245362.83853,243911.64326,242457.50421,237037.16023,239452.73836,251105.61227,250511.26057,252703.73337
credit agricole bank,2282671.67265,2240574.64174,2216310.56684,2168154.5433400003,2073600.44462,1870505.86287,1861839.87457,1613811.7417199998,1559610.726,1499988.9431800002,1320869.75837,1288871.19707,1300780.00458,1288612.00468,1360164.11547,1338805.4216,1459101.27252,1374968.63359,1381451.42055,1373350.73026,565364.27864,404665.216,411663.503,383169.02792,369671.70422,381157.99227,644544.3561699999,523353.81563,458566.70214,434640.65861,427626.17239,418592.63471,402944.21302,396076.88244,394351.41052,440874.30891,396387.90573,388117.92673,1276616.74967,2057253.56889,2302192.62662,2322743.2439,3148669.69191,3247939.11489,3492449.12709,3557566.53924,3443414.59195,3407056.74709,3322774.88221,3235146.17701,3572937.11913,3556807.65515,3486999.66965,3429782.56195,3376229.88012,3403627.60433,3251660.36807,3521049.48917,3440498.0440100003
arkada bank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
