date,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
2019-01-01,16767464.776,2329614.88125,4123490.04156,1304456.7894,5450245.34011,2907027.97698,1143889.82582,7050561.18823,3778100.21447,3881001.63165,462450.14647
2019-02-01,1709657.74538,209025.80414,370678.52798,123087.00712,751118.00078,320930.14176,124181.54616,602828.20422,372842.67123,396291.1033,62079.63729
2019-03-01,3163425.54223,404519.85677,789693.43906,232610.12058,2519362.82057,609656.78159,241579.93323,1148931.91825,699562.07217,737316.04622,122448.64988
2019-04-01,4897292.67787,607413.69927,1205935.289,351980.52399,1598882.07833,903921.15568,342212.95884,1740504.38071,1019275.74499,1101609.06421,190895.32872
2019-05-01,6497732.4106,810451.33873,1618668.95057,467943.28453,2098837.452,1191276.06446,429996.67244,2334768.0544,1333664.57462,1465393.5454,269677.43457
2019-06-01,8209241.13312,1011571.67167,2031541.75084,581848.8268,2533986.02987,1500230.71045,533670.70202,2950551.17512,1669718.19356,1847499.16519,357937.80436
2019-07-01,9825782.57434,1198207.94816,2453725.67165,707179.26951,2942765.73528,1786229.34586,618902.104,3532389.43716,2006728.1371,2196428.85757,452966.68654
2019-08-01,11462001.5404,1394550.14251,2951150.52904,835968.65393,3395772.03686,2089266.2538,720403.12415,4134605.45309,2325485.23147,2547537.11167,559726.318
2019-09-01,13097892.02112,1585898.22571,3426528.76364,967542.04584,3730328.46449,2379967.92311,814150.7719,4738678.86515,2646800.75718,2889990.6908,678035.62599
2019-10-01,14681270.89343,1787490.11,3882568.28854,1092827.29843,4185238.3559,2672214.5226100003,906628.28696,5314578.81412,2998231.74963,3246510.33957,802489.80753
2019-11-01,16311268.74394,1999951.04509,4391782.8276700005,1223532.33511,4634683.25003,2999212.13254,996357.25239,5931546.278879999,3362758.23699,3577291.10248,937439.73554
2019-12-01,17976361.49386,2209143.91236,4899445.40333,1354516.26587,5063294.241339999,3312289.36348,1087892.94877,6532498.06403,3738210.33315,3901660.2866,1076942.62181
2020-01-01,19666809.25846,2531153.4882300003,5292099.6725200005,1490852.54644,5491640.16971,3647214.92132,1199848.98946,7173438.23822,3976594.05943,4230761.48906,1226568.08383
2020-02-01,1796027.70291,219828.66457,580411.4127100001,141900.64459,525191.98071,312618.2084,106440.83899,634564.1428400001,416720.89793,332986.52843,176042.49958
2020-03-01,3422395.89664,421073.45719,1134325.52545,272283.0724,967807.72072,614125.6385499999,219705.35152,1231239.87613,996417.54718,626796.50155,342487.59937
2020-04-01,5217613.01226,619554.01254,1722445.9062400002,413889.60696,1482721.60979,950995.41932,330335.44139999995,1860255.69779,1388036.34028,937283.32388,502872.35714
2020-05-01,7038161.23147,829249.4964,2294030.48301,549827.64349,2053352.07889,1245993.5763,432613.24773,2470841.21003,1770287.642,1251378.96814,667958.89119
2020-06-01,8880096.75316,1013907.5476,2817474.30929,693223.5290600001,2674199.35154,1518187.81173,561136.64833,3112884.73672,2149475.37147,1543077.77752,834034.9738899999
2020-07-01,10570106.22341,1193020.73189,3319877.00637,833299.33592,3377110.04192,1778729.24645,729359.43614,3724726.54264,2547990.04939,1797977.94752,1002500.52629
2020-08-01,12345446.19549,1387613.91723,3875863.6683,988309.53943,4218381.58834,2071476.5876,894743.26537,4341463.43535,2943884.15769,2049281.31057,1188409.75645
2020-09-01,14092739.12189,1580898.2113899998,4498450.75233,1146615.79209,5087908.888979999,2351007.54244,1023724.71575,4932916.13054,3351411.07314,2305290.05143,1384340.2022
2020-10-01,15847590.9925,1775245.32658,5126363.04362,1299236.2965,5668736.95358,2631969.59873,1159041.45034,5507612.00892,3766353.98561,2565393.8154100003,1592679.35704
2020-11-01,17699452.443040002,1985420.13448,5782630.66737,1462060.49758,6398130.58675,2928123.37415,1302028.51308,6100981.74617,4193889.24675,2827588.65712,1833882.1009
2020-12-01,19588743.91425,2190386.85096,6418083.09671,1619694.86224,7182536.86467,3239374.71649,1448897.97234,6668241.12015,4619343.45589,3083997.43496,2085821.95407
2021-01-01,21601641.48997,2419199.6720000003,6846907.8923,1788682.60717,7986003.80587,3576792.88252,1551677.72389,7272092.346100001,5058422.1017700005,3347970.8345600003,2363194.31973
2021-02-01,2087437.06578,224949.9995,698326.3058999999,172709.13408999998,1018479.60696,342200.42471,148189.47134000002,614489.3696300001,476813.29321,267435.09654,307614.67252
2021-03-01,4097237.3318,436966.94553,1351336.68018,321942.18462,1891782.12923,644883.71463,282763.3515,1183852.1970300002,926963.89574,519947.80087,613498.9517300001
2021-04-01,6345306.07599,662377.7816100001,2029068.2475,483702.75854,2898215.59046,1013191.542,434457.10119,1811932.37458,1415579.4290399998,789310.35858,978101.49767
2021-05-01,8610532.21699,894872.81533,2767467.73917,639557.4079100001,3886912.09888,1374751.69914,589734.6271500001,2459549.2229,1879820.67566,1068044.73557,1363269.89261
2021-06-01,10965952.47951,1128853.84258,3526188.81225,801244.4390199999,4961416.87529,1755115.08819,750217.19483,3147058.85851,2374615.6336600003,1360451.74064,1778770.92076
2021-07-01,13329861.05457,1363528.53747,4234301.84588,963807.00539,5997434.20248,2131009.43683,873587.81358,3835632.04401,2875487.88713,1659836.64382,2207426.09717
2021-08-01,15818669.46158,1622283.20656,4987204.88551,1133534.71285,7192527.58129,2530563.1063,1041178.30165,4530925.95049,3405897.42403,1975233.97033,2671839.83423
2021-09-01,18391447.94949,1873447.77669,5764301.20854,1302645.54885,8194703.46759,2934053.07647,1191413.7806900002,5234762.41587,3964454.39217,2305170.85983,3133872.0056000003
2021-10-01,21002208.45304,2121187.06416,6580978.27607,1466707.26689,9268223.23777,3340835.70243,1336189.55957,5940384.980099999,4507595.51588,2645805.29263,3608842.90808
2021-11-01,23658642.32425,2391335.92756,7442244.114,1639545.19498,10328840.858469998,3768920.15331,1497156.74931,6686261.823980001,5072437.0479,3002650.66354,4115649.92941
2021-12-01,26425680.84452,2667914.24137,8331003.933460001,1809305.93598,11429281.05385,4209399.40794,1642012.03188,7431808.81202,5682417.214310001,3351029.53272,4621066.4378700005
2022-01-01,29316918.57701,2972449.58759,9230891.15467,1990277.28925,13364516.57876,4682146.8028,1818306.47424,8204159.607089999,6332586.87222,3727373.99536,5182759.95517
2022-02-01,2945531.66552,302149.65959,1006106.50039,197481.79018,1205000.3097700002,485237.11044,184077.96917,798237.8868099999,669318.96368,402906.77822,605959.46516
2022-03-01,5701674.50182,583719.41449,1876059.57393,356043.46189,2192268.2422100003,937798.05776,328280.70689,1544442.90697,1313302.49675,804532.1933,1116514.4615
2022-04-01,7271197.82738,901403.28341,2830139.24272,533065.5173000001,3198974.74629,1438889.7610900002,500251.57158,2424541.99091,1986756.79762,1315259.8201,1935578.29675
2022-05-01,9771114.53346,1235728.41626,3789022.44593,707489.3140100001,4214896.164879999,1909467.84014,653635.9910500001,3281318.50592,2652859.40926,1819913.45774,2366025.80211
2022-06-01,12446121.72502,1588218.5863100002,4707497.141650001,883335.09154,5317852.323050001,2412721.18688,821218.19469,4151945.98874,3334545.54687,2326060.3651,2816698.35583
2022-07-01,15360509.0161,2051272.36259,5578244.35208,1068433.73072,6460410.90128,2963194.1493200003,1048385.24349,5174868.6625500005,3880617.6871,3090946.94325,3392962.712
2022-08-01,18689431.33017,2521011.02375,6573263.8303000005,1248875.4892699998,7705866.93752,3534133.63627,1236769.6108,6309336.16458,4416697.47409,3944772.85341,4043507.40199
2022-09-01,22146961.91227,3012508.55321,7341666.85323,1382465.49158,8687717.94053,4127612.22494,1424898.08415,7520223.24566,4978059.9721,4828874.63111,4892378.75385
2022-10-01,26249417.446110003,3537878.85958,8073700.67459,1546609.65694,10338352.23506,4721828.194730001,1608848.46229,8764662.163700001,5493792.923359999,5720244.41022,5743726.82518
