,a-bank,alpari bank,altbank,ap bank,asvio bank,b concord,b industrialbank,b lviv,bank 3/4,bank alliance,bank avangard,bank credit dnipro,bank familny,bank for investments and savings,bank grant,bank portal,bank trust-capital,bank ukrainian capital,bank vostok,bta bank,cb accordbank,cb globus,cb privatbank,citibank,clearing house,cominvestbank,credit agricole bank,credit europe bank,creditwest bank,crystalbank,deutsche bank dbu,eib,first investment bank,fuib,ibox bank,idea bank,iib,ing bank ukraine,kredobank,metabank,motor-bank,mtb bank,okci bank,oschadbank,otp bank,piraeus bank icb,pivdennyi bank,policombank,poltava-bank,pravex bank,procredit bank,radabank,raiffeisen bank,rws bank,seb corporate bank,sky bank,tascombank,ukrainian bank for reconstruction and development,ukrconstinvestbank,ukreximbank,ukrgasbank,ukrsibbank,unex bank,universal bank
01/2019,3672973.89247,18184.77534,432818.57607,469750.96031,434216.88247,661695.76186,,1699604.41556,359673.75076,1665238.4779,586826.43807,8764743.87764,60353.60898,3518437.32009,889753.1541,10894.7858,,,6934601.73002,145971.93951,1520871.72773,2179562.90391,224951854.05554,22244846.97201,1423079.2276,916104.6526,26524106.3911,324954.34846,874457.78539,1055473.1031,3126774.07484,,971479.92417,40328419.42136,501873.91374,3232919.36581,8702972.87103,5554588.18301,11722945.45847,516137.41226,1095499.82319,4062108.22291,325398.68126,151447721.39528,26355271.17178,1703569.90737,17368761.88462,369339.23224,1540951.93635,,12112858.7133,1199888.88853,58159939.35064,731994.51135,1145004.88271,268659.95446,13796370.07248,616.97971,,79947266.51402,65247563.21618,40188680.4616,634323.6159,6939181.69666
02/2019,3855097.36512,22890.81244,327628.47977,412554.00961,468263.43029,680128.0212,,1678776.98674,244451.84478,1788131.98579,534613.12549,8231314.88255,50725.63146,3491218.49067,873739.27023,19077.44449,,,7448788.06312,134660.75723,1439668.92938,2181489.36552,221414454.66209,20817793.2459,1934931.66774,907726.47523,28183562.0904,263567.49663,874319.70836,1216808.05366,2884609.59577,,1121937.6764,38707304.84448,492429.04581,3261657.3575,9022524.40347,5462501.45697,11824753.16717,497811.18719,1011715.19861,4252480.36414,285882.67772,149508714.55296,26882012.18799,1665810.26479,17278511.56461,391402.2784,1471129.76116,,11918302.38388,1126200.5884,55844308.45669,554553.19066,1156329.24786,281130.68751,14207114.80677,362.7483,,83231994.1787,72350331.28971,39111309.9962,565691.86626,7512733.44224
03/2019,3939255.7558,39194.27251,420183.46391,551709.63978,430258.30489,590596.26081,,1742924.73534,231735.58535,2147276.57643,650746.53282,7853157.32341,46148.93791,3801460.8027,827535.89344,18165.47311,,,7164337.5879,120588.65271,1469204.3759,1970044.57309,219251313.76464,20005637.71357,1742455.1238,940837.23073,28831527.18766,270485.29283,788453.77175,1201550.60308,2388809.38924,,947631.63672,38467766.11583,384166.73932,3294776.78679,8541896.33832,6106320.95706,11554206.81955,461698.78991,947872.72475,4350380.30954,255266.06903,157236370.65905,26547628.6523,1614407.96826,17815291.24239,392536.54326,1432783.96593,,11966948.34044,1171078.1697,56847868.76405,547438.42589,1286307.17022,294036.675,13652776.01878,352.47038,,81658330.98793,73084109.45651,38931641.63439,583606.31757,8184296.68848
04/2019,4046485.80654,29893.37328,438366.4187,432081.47652,404290.09737,666292.31343,,1757593.09418,195440.12999,2263427.15008,649127.49088,7901659.07771,53703.17003,3448152.65054,832202.39737,52394.69713,,,6481915.33863,118089.29789,1615362.80897,1844618.41771,221233248.35709,19711173.5799,1873595.62221,937652.24102,28481514.69216,267152.99904,774589.05581,1115972.3612,2153533.19425,,1046197.45924,37526743.53229,359406.31178,3488580.82038,7945406.30789,5386983.28216,12119314.32853,463870.19468,948749.02387,4087617.5896,253747.99884,156225001.17026,26823524.1159,1661803.83862,16983030.14066,351624.28311,1441463.60373,,12164458.00912,1151595.58524,55571235.29853,603678.57123,1300645.89856,320612.65442,13650504.81702,216.75655,,82828740.88971,77282524.13966,37572625.35032,608909.89579,8911141.52536
05/2019,4114403.75155,27508.28599,419912.5615,364666.09909,438323.62687,723756.3091,,1781622.16947,189084.26053,2140497.56029,778080.72442,8310750.65322,65236.24959,3381273.76949,885261.96177,65294.35234,,,6915020.60018,128826.95641,1478874.94666,1925070.70849,214788057.2837,20357864.35583,1818928.68015,912424.81055,29264648.37262,265749.41312,683891.05398,1096604.43609,1936461.5434,,1317764.45739,38359642.46462,376689.00764,3589965.65127,7566642.42495,5759835.28946,12539467.14457,544805.96755,848026.63997,3965225.34896,245490.87615,161776101.69784,26790536.16681,1710468.68139,16866705.18086,365095.70021,1496698.57612,,12137607.86889,1104109.26417,58579569.39472,577801.03023,1175350.91237,304006.30413,13645317.2682,164.47667,,81597438.48499,75933905.23475,37839758.28489,560190.60584,9234091.97124
06/2019,4175605.72167,61008.85785,449983.57487,376733.65659,399720.40503,759738.70626,,1828770.63603,169062.96445,2130546.18023,451619.6143,8244800.34191,45578.68376,3369104.88528,878177.20029,85950.60569,,,7232197.34437,116005.56741,1542738.42366,1983106.17619,211618258.96499,23191924.741,1859419.77675,976444.10231,29497935.33511,278527.79903,717624.69773,1335140.52005,2165262.03067,,1404913.52035,38776145.39006,422386.78777,3996318.57864,7006465.75817,6870168.67426,12770108.66417,614012.62548,896283.31855,4245472.31054,247497.03596,160120722.07361,27755986.33901,1709752.67052,16395176.99869,371778.82289,1526279.35096,,12231345.62233,1205232.96486,57188189.99339,624684.37248,1142343.52522,280897.27302,13550287.41657,10066.64543,,84125824.83339,73458082.18725,38137682.53991,518470.39481,9586339.3481
07/2019,4257116.4278,31978.33439,377386.4575,392558.04788,421291.8046,924329.82819,,1792956.33827,171424.05089,2476970.22981,641965.14843,7718558.93084,49193.07343,3099331.29427,881015.73706,39313.4538,,,7636745.16467,113352.14125,1935101.53024,2224213.18826,219324554.96898,21899564.89155,1391196.21034,944784.38822,30776414.82132,301561.21008,732475.847,1350526.55595,2155478.26522,,1471762.40582,40041651.46479,431327.006,3961246.93456,5948031.16802,6448371.77172,12608455.39673,626104.65052,838988.12733,4077891.26993,243373.35571,165532873.33279,28618458.65529,1734929.33418,16939918.08665,418302.15933,1531029.75599,,12596712.53508,1227267.61215,61106971.94745,672335.71923,1260752.50388,262381.2593,13757260.75486,9900.81218,,82315665.9543,71022665.13139,40991939.03157,456420.67777,10159892.12257
08/2019,4363010.21854,72326.04133,489152.08936,474887.3627,379791.09273,832689.73269,2618669.15377,1878200.64147,180603.01005,2641746.24421,454214.94005,7640964.48238,33484.32306,3056734.63737,882326.31063,95495.34978,41158.07589,706376.04487,7799367.57308,110175.52977,1910442.91765,2170981.50736,215636003.66071,22279645.40415,1294024.57543,903156.65913,29829759.51955,353049.94415,668549.128,1229712.09282,2059218.13103,322246.1525,1694814.99096,41984165.72394,490873.32163,4004033.29722,4144831.24549,6701159.51024,13140424.26121,655705.34515,841978.40645,4403041.46384,232893.73406,161546828.01877,30682016.31034,1769518.01749,17082632.80716,403002.35862,1638077.97406,2731715.20999,12677161.53645,1122351.8614,62311092.29441,678210.28851,1048824.17325,328957.38117,13848320.01487,9664.65388,702392.16992,77026096.62356,104926322.79932,40152913.48187,397811.66408,10320332.8196
09/2019,4447866.76943,55191.89875,486142.27979,409086.14267,414994.32972,920088.98504,2596784.15469,1885981.90611,191244.50069,2197644.73821,535764.2337999999,7133411.03095,41441.466680000005,3269617.6812599995,891017.43185,65041.90182000001,34670.717430000004,678846.8692300001,7928628.037729999,123348.05153,2064985.65046,2228054.94927,219051883.98472,23425755.42946,1280113.1838299998,889724.4434300001,30319351.30994,416886.49434,738670.61072,1360483.3998899998,1696016.3956000002,286036.66836,1397871.0718000005,41171682.71603,411396.34712,3984273.80422,3340352.20316,6734132.68713,12998645.43686,602138.91142,767188.18251,4321415.31918,239519.36661000003,167587719.71265,30540129.061910003,1801879.72846,17344472.83356,402539.33288,1599588.70535,2758859.93083,12757968.13587,1230036.61462,60992535.28220999,677299.13218,1003245.41397,297822.40814,14045488.43851,9673.00835,737987.80053,74960951.26066001,94011221.63256,41129294.74339999,428216.48732,10697555.56076
10/2019,4489638.87501,46206.853440000006,355995.39293,464001.2061,362969.43087,1005024.11898,2772685.36193,1939529.51976,175620.1602,2410501.02405,644386.79071,7640009.07438,36820.34025,3145934.3676500004,879865.0283100001,50162.66179,34161.009900000005,623139.9754300001,7941758.58763,115661.2843,2253159.0863,2240313.12316,218962476.37391,25569600.521020003,1326577.29376,886732.9108899999,29395146.61326,354142.46777000005,687721.1183399999,1430408.9299100002,1781063.04148,404358.004,1613958.4114099997,40058582.39311,427521.59111,4043123.09635,2079017.5493,7889137.444060001,12982781.02466,577702.6969799999,724054.29349,4186525.44504,233233.32098,161350720.83749,30846958.91479,1833800.43764,18370075.50339,397794.79801,1552319.51134,3017425.18237,13007960.67496,1206339.98403,61878160.34194001,663255.65363,1016399.20453,283643.19458,13984528.88729,9390.94948,772263.35517,77639379.23417,90556616.99426,40769619.75155,518640.0093899999,11067123.09416
