date,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
2019-03-01,17663.05142,3997.99293,6302.78815,1148.1038,20306.44976,8579.88206,340.68641,31905.25534,35356.18506,38243.45493,13264.53421
2019-04-01,35187.5524,6937.53996,8570.83716,2930.18594,2732.132959999999,11606.67515,484.82474,46635.75968,37129.7411,149454.86373,13158.177720000002
2019-05-01,43624.38261,9124.7464,13136.60608,4115.72824,2824.5458,13928.74943,730.52014,59534.7104,39630.79845,165398.76752,5391.822189999999
2019-06-01,52630.12276,11643.62541,16029.69732,5271.28701,3505.374799999998,16575.67572,896.13486,81718.90918,44424.54689,180134.42164,9976.978509999997
2019-07-01,59204.88129,14011.3057,18460.19869,7334.39717,3219.080900000001,18087.63572,1210.5348,91999.81476,57122.43086,194167.47621,38556.377479999996
2019-08-01,94737.9513,20302.08038,22329.71183,12555.18523,12120.67858,19746.32788,2645.04146,107005.18854,62201.29368,208820.93524,38498.04001000001
2019-09-01,186332.57607,22818.32394,29870.00693,13499.44985,3682.488750000004,21849.30947,2921.53444,119882.98905,82586.13438999999,217747.33957,16723.248449999985
2019-10-01,207156.95836,23354.44855,65909.44086999999,14662.23108,2902.340019999996,23589.01925,3859.83351,132070.86781,91633.3545,230251.56777,2473.0369599999976
2019-11-01,220685.62273,24593.81186,67654.10287,15404.59244,10604.898399999998,26907.14554,4705.20157,145091.23872,143917.24683999998,239952.13418,5390.894239999994
2019-12-01,613244.7832599999,25545.169390000003,70013.16428,16711.21332,7381.363389999999,33257.04062,5016.15554,158664.66457000002,156706.15716,252074.89882,14375.794630000019
2020-01-01,744906.3827300001,26583.12633,75846.27291,24616.743540000003,7268.526940000011,37175.08495,5294.21386,171206.24118,239734.09102,278685.95573,16266.40036
2020-02-01,13126.27649,2214.10401,32059.49278,187.72688,2657.39473,1221.85422,236.70617,9273.30533,23795.84015,16657.9696,-167062.53425
2020-03-01,42229.23541,2819.07764,36772.53468,1514.02243,2852.6190800000004,3327.69075,1127.05545,19402.66235,72639.64903,25095.01423,14156.85252
