Bank,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01
a-bank,3672973.89247,3855097.36512,3939255.7558,4046485.80654,4114403.75155,4175605.72167,4257116.4278,4363010.21854,4447866.76943,4489638.87501,4630279.31602,4811892.635410001,5167803.96165,5657059.321520001,5977739.79246,6142117.16183,6210075.52106,6316856.50501,6503460.652469999,6649032.8783599995,6781696.69134,7121544.458710001,7316448.6731199995,7502286.2577,7588331.980049999,7925724.76504,8061546.97283,8292080.05124,8439382.75958,8791784.64003,9096277.72752,9844010.74738,10237797.82888,11061338.59111,11460608.73504,11258125.680379998,11533922.165709998,11370047.18355,11465532.32979,11683489.43082,10991873.14373,11283730.29947,11322782.38221,11818659.67923,11934853.671999998,12949773.33536,13091661.4653,13814572.615699999,14579786.03424,15310955.00659,16220123.67691,16091477.70507,16064453.234240001,16801160.18728,16803091.087599996,16992946.76753,17580564.41377,18325843.63399,18890846.934329998,19957453.77788,20359332.64478,20134017.647299998,21074129.887180004
alpari bank,18184.77534,22890.81244,39194.27251,29893.37328,27508.28599,61008.85785,31978.33439,72326.04133,55191.89875,46206.853440000006,39260.61378,44239.38758,19874.19073,93463.24874,77235.85889,37430.02736,39959.90369,88286.70087,33316.808789999995,28332.056870000004,25276.7884,27893.490159999998,31960.783290000003,44448.73981,31829.99474,52295.59641,13932.654770000001,22969.286099999998,22320.87854,6351.16036,5184.01925,17642.82406,18577.00905,28069.257849999998,12737.97514,13890.401300000001,8078.78964,9419.3262,9549.32072,6478.18847,9617.243339999999,8347.996179999998,5020.49085,3542.1412199999995,9542.74468,4790.95619,4011.6321,2165.28567,4145.0880099999995,2784.8312800000003,7360.21196,5295.88087,5444.2692099999995,1972.0508300000001,2235.73077,2411.04242,1813.7486000000001,1134.04357,1170.72774,1068.1086,1079.79413,804.9438,442.00558
altbank,432818.57607,327628.47977,420183.46391,438366.4187,419912.5615,449983.57487,377386.4575,489152.08936,486142.27979,355995.39293,435768.62666,409532.93916999997,1069998.50675,623539.6746599999,674544.60825,1212582.4019199999,1287138.79417,1202306.61814,1437599.1113300002,1236913.3937900001,935462.0090999999,827081.8765700001,803798.55908,845856.6010699999,1220911.37197,679001.19863,714122.06122,571600.18725,637014.00407,636306.15534,602176.20059,701786.6220999999,685479.3346700001,759874.73645,740326.5784499999,830333.1066099999,1164335.0802499999,1045432.2475499999,1004810.5493900001,1126406.15237,1059055.10865,1009036.81335,870529.05907,840603.53769,816736.4751,816787.52263,990714.85996,1123299.72481,1535467.4211000002,1064269.55611,1236186.89883,992026.27868,959090.19354,1069443.1550899998,1145454.4745200002,1148324.53183,941990.76584,1014190.03176,952681.59438,1031004.86331,1183697.61947,1142949.47134,1162226.82556
ap bank,469750.96031,412554.00961,551709.63978,432081.47652,364666.09909,376733.65659,392558.04788,474887.3627,409086.14267000003,464001.2061,542941.51147,524821.55771,455115.58788,681920.9730400001,521356.1678799999,584100.04053,675060.30175,731591.65998,751816.96813,786275.59451,769334.97997,954410.6409799999,803630.7325599999,739722.45836,903515.03576,1032361.8576600002,946705.22209,1071566.5250300001,939380.27861,901936.19244,943992.37721,949975.9344200001,953676.68401,1022996.52542,986318.08338,1129189.18454,1185367.9036499998,1106144.13264,1207362.229,1116601.0142,1061536.9374300002,952875.51802,1127425.85159,1083081.9821600001,1002345.03695,1308193.7519399999,1263902.06876,1636226.30877,1806207.56508,2673007.19981,2542220.93261,2993786.74869,3815711.71213,4344286.65254,4852431.09821,4630184.55318,4147044.97086,3971753.54866,3042408.93176,2715585.32621,3390185.04359,3095354.894,3962246.4342900002
asvio bank,434216.88247,468263.43029,430258.30489,404290.09737,438323.62687,399720.40503,421291.8046,379791.09273,414994.32972,362969.43087,439136.94307000004,506039.11975,543419.21226,520294.90657,605232.71874,523769.6122699999,519413.29900999996,536793.86567,527570.46319,540756.65923,566751.2931700001,686329.0682,676396.6767300001,626494.54256,908745.67088,908501.1042599999,1120259.8118999999,817907.02109,697467.7799,782983.7973999999,813566.63381,872485.62603,843478.71245,889660.0091299999,924044.6912700001,1210970.8716499999,1121842.2891499999,1238631.89314,980514.70868,1164249.22342,1049850.4321400002,970313.7011500001,945686.48593,1001121.2924700001,892771.6233399999,946490.32551,1026501.20243,951743.78495,1051190.86727,1060668.8448299998,1070979.589,1256403.1435699998,1183621.1833499998,1201239.8202300002,1232565.21647,1327956.2040900001,1363817.2631,1378685.40389,1892674.86857,1676374.0686599999,1995519.80462,2029420.8279,1929534.8612600002
b concord,661695.76186,680128.0212,590596.26081,666292.31343,723756.3091,759738.70626,924329.82819,832689.73269,920088.98504,1005024.11898,1080542.85988,1199010.90277,1550386.80703,1405529.7265599999,1390800.1729100002,1414998.1882699998,1326246.2365400002,1531182.91374,1592950.1570100002,1426964.4924499998,1565478.27516,1657950.8208899999,1809580.13833,1991703.52667,2022458.3241799998,2157542.1339700003,2189854.0344599998,1882416.28157,1884738.00378,1951468.06613,2006902.0006900001,1908809.594,1990125.79511,2144713.36642,2102231.4720300003,2048281.4619399996,2322475.66916,3088077.8442800003,3504323.27526,4014965.49431,3958376.86093,3617091.03265,3113315.99704,3149968.8272100003,2983786.45112,3115889.4766700002,2950402.18727,3683469.6467399998,4580376.21504,4170924.7098899996,4413501.64148,3350103.13844,3274341.14758,3512879.0567199998,3336582.22249,,,,,,,,
b industrialbank,,,,,,,,2618669.15377,2596784.1546899998,2772685.36193,2845586.38926,2507007.63712,2525722.99161,2531526.7857199996,2581485.2866700003,2510776.96209,2484189.71564,2438617.01823,2449288.05882,2416819.13473,2373960.21706,2429463.73408,2444796.5341999996,2396137.25864,2473639.2388699995,2436650.70296,2586915.2642500005,2590601.62452,2495855.1115,2462417.4308,2459269.9427799997,2339743.07946,2346118.38944,2392681.20616,2668558.58273,2634810.62496,2473268.64505,2386739.4679,2381092.99721,2276111.9421200003,2248205.31294,2183996.1282,2226981.16921,2275127.67776,2153448.78737,2108834.60703,2115190.1690499997,2081152.96252,2132674.03157,2033410.50146,2072686.5366900002,2100549.3231599997,2117059.5019,2164722.04036,2185265.54075,2358917.90888,2325798.20217,2331206.4983099997,2343259.43627,2422719.63904,2604017.5011400003,2745653.4307700004,2690888.41866
b lviv,1699604.41556,1678776.98674,1742924.73534,1757593.09418,1781622.16947,1828770.63603,1792956.33827,1878200.64147,1885981.9061099999,1939529.5197599998,2058426.96308,2038469.16173,2144907.16137,2230045.14242,2255243.81472,2266745.13112,2242816.2753000003,2242525.52722,2312180.12597,2480748.79656,2560141.35323,2669512.11169,2673210.02752,2673872.35622,2775832.63124,2698178.07988,2742187.4055500003,2780797.04445,2643951.62934,2777006.9556,2885355.71014,2903313.07249,3030803.58575,3226719.8056400004,3231452.67041,3330737.6879499997,3589950.8135200003,3429793.79149,3646397.9958099998,3452312.37827,3353307.47388,3381063.17314,3635868.17299,3590687.70254,3769359.7565800003,3772041.68622,4098967.6561199995,4059926.87635,4402032.7959900005,,,,,,,,,,,,,,
bank 3/4,359673.75076,244451.84478,231735.58535,195440.12999,189084.26053,169062.96445,171424.05089,180603.01005,191244.50069,175620.1602,234582.43558,197725.71772,191449.7446,217944.83203,212172.0836,361265.96425,240713.33745999998,201461.20212,209275.93519,223535.34618,299707.88055999996,252085.36343000003,338463.04739,346158.56867,279207.32678999996,283254.09035,276624.08865,308273.98176,366222.28487999993,723189.49076,471852.20287000004,430185.0004,437549.48647,358876.68467000005,256271.24800000002,384531.57878000004,504964.87141,265498.95421999996,214499.18980000002,256894.19123,238834.61376999997,220540.10071,236896.02823000003,219424.65967000002,273253.65666000004,671930.4857099999,291008.86711,391935.55686,430417.5348,361887.96067,384388.40415,284158.75079,286112.98720000003,357640.76835,251264.21187,248392.46423999997,323277.22825,333249.2479,418059.41920999996,549388.87237,565296.94306,535198.09518,548136.23489
bank alliance,1665238.4779,1788131.98579,2147276.57643,2263427.15008,2140497.56029,2130546.18023,2476970.22981,2641746.24421,2197644.73821,2410501.02405,2767117.30466,2682926.6458,2860616.6099400003,2949312.69712,2967812.51914,3125548.8476499994,2869558.2472699997,3158489.8962300005,3795037.9035400003,4303002.34981,3847386.3452100004,3735836.8875999996,3642364.21619,4167117.3168599997,5181465.7471,6184667.8534,4837866.408799999,5797530.4355999995,5697110.49873,6903608.00168,7353440.826760001,8540133.01908,9144468.46047,8967562.09353,8608807.218239998,10898178.017029999,7697310.588570001,7426868.83235,6829354.897970001,6353757.683610001,5699059.30479,5702221.98071,4672872.24523,4906713.77717,5240065.64573,4869738.1515999995,5037602.82021,4778028.870650001,5857144.61087,5991873.60459,6800905.29943,8090268.3892,9089698.57719,9048856.495649999,7794596.48332,7345132.87491,7784070.65871,8419823.49569,8829238.430239998,9042235.61675,9377064.73618,9596934.0178,9111695.513079999
