,a-bank,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,ukrsibbank,universal bank
2019-01-01,777367.99054,13543308.47741,1483704.04822,3405888.38245,1120463.79396,11236199.73596,1729529.11305,1382911.6424,4740055.8962,3202647.46327,890785.60206
2019-02-01,44261.24625,771900.4468,137164.81433,300284.46129,89220.29968,581858.67801,150276.2424,98659.23429,395397.04768,267104.37965,98527.86255
2019-03-01,112711.09966,1698801.79411,272709.45024,591508.59671,185196.86397,2724301.46706,296663.75837,212986.92065,813863.55618,529795.5297,202462.73186
2019-04-01,183051.35582,2856002.64031,404068.43112,893247.10645,291413.02488,2136236.33197,458274.74236,335614.20989,1287345.42844,900909.93405,299342.61392
2019-05-01,249801.55425,3928425.24227,547950.20227,1243377.69357,387552.64922,3089193.18235,618262.37211,491506.67384,1729565.43174,1176105.70126,430637.36722
2019-06-01,316312.13094,5093836.28743,694093.20826,1569208.86234,480988.23898,3854090.39728,788004.85126,651376.43067,2154007.80649,1480558.95639,556634.17668
2019-07-01,391417.26448,6223316.74777,846454.88628,1891181.83483,587700.55987,4667519.63754,950535.9015,776878.77091,2541233.1579,1779614.50802,717963.25138
2019-08-01,480671.85123,7280511.15731,1002559.97384,2227063.56373,690316.4961,5476860.75072,1110183.37798,902397.41629,2973322.54059,2073768.01776,868949.26675
2019-09-01,550161.8028399999,8403629.088890001,1142035.77453,2553536.22516,794234.4374,6240601.37198,1274870.19297,1041775.65859,3436244.39392,2346954.42359,1039090.64889
2019-10-01,625291.61061,9691591.95614,1290593.1166299998,2897226.52328,900873.35764,7072788.51848,1436268.91286,1178807.73226,3866174.70707,2637272.14791,1223787.3088
2019-11-01,704490.31872,10849563.34094,1430484.89567,3261588.77209,1014351.70182,7954195.52363,1608847.8544,1341078.73262,4366303.38684,2935995.81627,1387582.14532
2019-12-01,781443.32892,12065066.35412,1576958.91088,3636475.91049,1131861.99084,8869361.80384,1799789.43398,1492410.99056,4843667.3674,3259402.63706,1549734.22025
2020-01-01,911112.954,14662272.68285,1725515.30759,4177716.90139,1274396.4715300002,9944385.22367,2050427.11722,1729500.86604,5359396.62075,3798970.70526,1770072.68856
2020-02-01,62684.43569,983367.41251,161213.47021,363928.97489,95661.04798,831053.8837100001,162979.46611,136235.73028999998,433137.06954000005,325385.74468,235226.61904
2020-03-01,145620.16924,2369162.68412,321449.71244,728684.03561,199170.46409,1706213.10111,343345.18143,314322.87704,903899.54983,641556.2883400001,460303.48191
2020-04-01,238800.43591,3853542.97015,490674.63283,1087303.586,316133.61925,2674597.54198,527185.71623,482158.93182,1396063.97376,1057425.9305,725185.70147
