,a-bank,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,ukrsibbank,universal bank
2019-02-01,160555.65721,227541991.74256,21857077.87894,24613790.89136,5880175.23018,117114610.42904,17933083.69431,16670264.822799996,43105458.16459001,20600290.23467,1216728.85864
2019-03-01,160812.3167,226771975.58919,22084123.09932,23855515.34145,6153115.51473,115347442.65542,18005284.421,16474486.99891,42088313.97448999,19726130.73975,1228442.60417
2019-04-01,218336.33545,228333143.36906,23060950.35698,25020612.1426,6332812.37379,119510666.62637,18591960.54997,16465879.91659,42856075.18428,19722248.34479,1072693.76748
2019-05-01,246151.42556,228478127.40874,22584539.76638,25156976.30019,6450638.4176,117154229.89376,19315494.72101,16114353.15004,44601231.93848,21028803.02549,1087012.55178
2019-06-01,263518.20112,228884796.76565,21514974.15895,25933629.01119,6480223.07107,117554684.41584,19707427.08763,15544654.971609998,44242631.76302,19302093.11515,1071432.06224
2019-07-01,266866.1911,228451210.76491,22499724.67594999,25499332.969510004,6649126.670089999,117783606.95389,19679623.79058,16086352.528999995,43349994.33711,17849470.01691,1058491.62546
2019-08-01,257272.98768,226576188.89348,21013853.25792,26502055.09018,6451240.21739,113300086.94129,19281291.27154,16092755.88106,42230540.76889999,19423064.40198,992542.82909
2019-09-01,268024.86207000003,227215446.50102,21702840.89972,27449437.69658,6509966.067130001,113678769.63934,19396305.35781,16258001.34031,42743960.60173,19248638.338200003,1018075.82474
2019-10-01,298498.5814,225551466.98293,23801208.61588,25494832.93639,6605042.714540001,110665609.68015,19914371.83905,16843129.30783,41036974.56515,17500764.921490002,1081800.57381
2019-11-01,301629.64147000003,227614945.50862,23979339.565,25946998.3986,6421924.86637,114256650.8931,20712099.30901,16910518.435060002,41261538.52693,18593347.49965,1280678.3056299998
2019-12-01,302711.3097,226719204.9915,22502433.93126,25729330.44263,6262952.39048,111064492.13038,21122691.13543,15203234.59077,42457138.23209,18716704.61073,1227074.68577
2020-01-01,377608.80229,225806215.33845,20160222.53788,25357545.47679,6573535.74104,109578217.5936,19247141.29992,14261938.02097,43586805.39792,16819252.73776,1373838.52934
2020-02-01,375854.46713,228008800.30445,20139423.47519,23871488.37686,6283183.41749,113115796.59656,18222622.35197,14341631.68691,40219780.45356,14863547.54445,1401502.66878
2020-03-01,420603.7713,227767125.24058,20050659.8008,23669177.16597,6231732.12907,112030925.11475,18391856.74739,14900136.55965,39260328.977120005,15050445.3625,1424014.7283899998
2020-04-01,467680.21213,234420833.83301,23276165.34344,25471412.86503,6818538.82878,124109022.7623,20229133.0907,16959664.016259998,43118662.93103,20002267.87257,1608651.91677
2020-05-01,580405.89758,232363903.61213,22329819.71007,24753412.72594,6517704.27267,119732939.47128,19590682.06862,16142328.50342,42200141.19577,18419795.38173,1483464.76392
2020-06-01,615798.79537,232414096.08435,19956527.17432,22660627.8126,6615370.18681,119170866.54485,18349902.37937,16310564.46353,41109526.62313,15341427.9096,1493083.5981299998
2020-07-01,733388.36915,232315250.33278,19380976.12964,23039614.70988,7045550.25001,93617852.69036,18116795.10548,17224657.64687,40073118.93359,14815427.09199,1542874.96872
2020-08-01,764373.04963,233945590.68309,22038299.72612,23659730.38857,7369658.32847,90871313.12366,19010321.30106,17357249.74361,40459201.23731,16776292.60687,1677871.95476
2020-09-01,906083.08583,234154157.75281,21878590.95308,24227994.67468,7440003.59951,91233674.34634,19297965.3099,18371443.7485,40034370.2597,17658047.951419998,1784211.59403
2020-10-01,1035048.85414,233361064.13214,22448010.61427,25787355.1872,7888716.1938,78835678.04984,20328941.19526,18585598.57679,40151987.53694,17866036.55438,2322958.2862
2020-11-01,1024493.35807,208195826.70517,22088739.14911,26109842.53941,7676256.82888,81979013.32801,20811378.43922,18990756.74485,40608890.21292,18231217.98065,2134958.0072500003
