,a-bank,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,ukrsibbank,universal bank
2019-01-01,43452.42434,16117359.58207,554143.99309,1943214.8139,467283.91203,5667991.35661,733150.34611,1045653.76319,6770026.37868,2332173.65468,213535.32847
2019-02-01,64201.09329,12969214.79232,606059.3671,1538568.26266,664235.04739,5472185.09305,986264.13368,1134616.44289,4654310.55508,2684146.07617,255407.467
2019-03-01,68945.50389,13721778.95533,595659.82316,1380152.73661,605417.0259,5410141.29406,966922.90854,1238184.81706,4225276.00818,2547008.54868,221667.21848
2019-04-01,58588.74038,13720224.45991,594596.75254,1566010.25997,480396.19548,5475419.86862,969665.10613,1152949.20274,4985372.1734,2086583.22903,202468.70839
2019-05-01,67573.72861,20201883.85073,828062.69458,1452861.13721,678465.33141,7386345.60524,1115077.96438,1386801.41631,7226636.96476,2762555.63709,217873.20374
2019-06-01,54929.84538,14583284.80612,672039.30727,1487594.39513,666292.27252,5678704.03717,1024119.81272,1272169.42304,4919103.26925,2210548.18859,291423.54069
2019-07-01,80721.13682,18389397.23806,726630.35781,1567861.74301,684788.51148,5013112.93591,1120297.14238,1136543.11956,6417633.85097,1856876.27395,277936.50973
2019-08-01,70323.06902,16716795.75814,663068.90346,1316993.78618,677291.06139,6099496.12852,1037357.13049,1348721.46626,5284090.76006,2451777.57938,304456.20052
2019-09-01,78773.09156999999,17070691.64403,745174.88831,1559652.19095,728915.34415,6166311.004470001,1079256.41776,1348043.01855,5220558.89149,2275505.08542,263188.89503
2019-10-01,76052.85363,16596134.23392,664251.08467,1542914.67165,686951.3951399999,6293763.72585,957232.25338,1351344.84734,5013650.6993,2008575.20233,255588.12188
2019-11-01,76129.77848,16692544.15984,653806.19097,1588867.96733,735439.33005,6676530.88989,1046364.83291,1474177.97973,5315086.112310001,2483914.75674,310806.52911
2019-12-01,91893.61346,16154757.35887,624070.1553100001,1521736.5285,722412.1951199999,5638743.38421,1096941.05335,1055114.60551,4426601.34327,2341192.07676,233458.03986
2020-01-01,95815.75689,19721856.92603,667129.84299,2444066.9358300003,563204.176,7377787.170000001,990206.6662,1510118.4809,6649101.88519,2190833.47501,345811.19191
