,a-bank,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,ukrsibbank,universal bank
2019-02-01,26822.42004,217498058.1328,2282671.67265,7362084.343060001,476328.66615,74645022.75968,2680134.20714,1591674.28444,3044971.8444000003,1497388.6906599998,110503.44707
2019-03-01,27304.279980000003,216615261.35459,2240574.64174,6798398.72715,423757.33857,71818770.50896001,2647082.81806,1468820.22338,3086931.58421,1494138.27301,107172.44370999998
2019-04-01,68164.62708,217569018.96190995,2216310.56684,5767808.84509,454058.76393,72858989.0291,2432059.66595,1209524.85869,3107678.13685,1520874.4196100002,102203.92444
2019-05-01,62953.23732,216854207.38397,2168154.5433400003,5748026.924079999,235337.24357,71283347.06285,2387568.26661,1210776.30809,3083551.99274,1497197.91206,96290.96641
2019-06-01,63266.157170000006,217137952.75169,2073600.44462,5715961.71206,452801.63071000006,71977547.43603,2316865.92247,1058273.5588,3095717.48975,1201013.7834499998,97575.19127
2019-07-01,69692.69493,216275003.68519,1870505.86287,5657720.37714,470004.44097,70719078.78718,2252739.21348,1052893.49125,2891557.8283299995,1236792.71842,96393.71791
2019-08-01,69998.6736,214809604.68293,1861839.87457,5171312.10187,491999.05831,69755290.19013,2190800.54609,1025222.32251,2837942.1497500003,1207232.98826,106832.34143
2019-09-01,74804.37509,215286478.7832,1613811.7417199998,5316993.18361,483126.46836,67243938.06154001,2295593.60158,1012739.85849,2800877.67038,1181433.70981,105634.31491
2019-10-01,74201.41077,213623303.02194,1559610.726,4714835.9879,470562.86425,63958924.76464,2502127.91052,1021020.70634,2965258.25463,1151065.9273700002,96748.42832
2019-11-01,72304.82363,215429609.63236,1499988.9431800002,5055365.71723,489074.47041,66265656.95128,2283038.25618,1432909.43143,3132005.70786,1177522.23801,98944.86298
2019-12-01,74481.36469,214090244.77008,1320869.75837,4858147.61263,482006.50464,64230477.0262,2250547.10385,1420007.63279,3122200.3460500003,1149172.06402,96046.86494
2020-01-01,76563.85824,213238721.53103,1288871.19707,4170952.78573,496962.30066,62276348.44289,1888767.82989,1403836.97868,2966005.7066,184308.62682,91243.51534
2020-02-01,57922.05252,215913741.75022,1300780.00458,3995182.58493,496004.88584,65043051.11193,1950884.52619,1438812.3336,2572638.44248,170958.89141,92218.54769
2020-03-01,78793.15547,215344375.39702,1288612.00468,3978250.61938,522479.58391,64269647.70597,1936712.35021,1423639.13193,2573476.74004,175230.89263,89059.11413
2020-04-01,113361.19442,221256499.41994,1360164.11547,4604916.800489999,556808.0488,72272592.21858,2162666.70328,1572983.4062799998,2606925.27818,152097.47166,98783.43741
2020-05-01,74467.6221,219672414.48143,1338805.4216,4416978.5344,482420.49816,69439286.4521,2181223.96217,1545202.01303,2562879.32807,185001.80253,96256.52858
2020-06-01,76758.18796,219948540.40595,1459101.27252,4472360.74711,485527.07453,69773137.89109,2186998.221,1546773.271,2567258.11872,165685.03066,96389.35514
2020-07-01,80423.41276,219922356.07805,1374968.63359,4309816.18877,486653.84105,45106113.61323,2344312.74509,1383582.15013,2539133.65449,192624.43551,96874.60949
2020-08-01,80743.36878,222045273.64242,1381451.42055,4472359.14206,501947.53506,46473812.32084,2399774.05988,1427879.3478799998,2584482.26854,223319.71026,100596.1212
2020-09-01,78953.68067,222022200.20192,1373350.73026,4457210.0818,505057.47787,46522581.85949,2248288.56878,1431894.37331,2609726.64184,178632.52166,100892.6555
2020-10-01,76399.79414,220814498.33053,565364.27864,4431907.101989999,505758.63683,36209122.86956,2263448.48177,963405.96003,2630825.41562,144380.93839,92627.1517
2020-11-01,70103.42275,195723962.65562,404665.216,4079090.19425,508728.16109,36245160.083,2733110.975,852131.39884,2605633.42519,115149.55117,93231.62366
