date;cb privatbank;credit agricole bank;fuib;kredobank;oschadbank;otp bank;pivdennyi bank;raiffeisen bank;sense bank;ukrsibbank;universal bank
2019-01-01;525247759.03438;35129106.39884;59336157.20498;17458152.42179;291010612.03065;38582669.30043;26782012.83024;83664317.50126;69493432.46461;55828878.60754;10475729.17944
2019-02-01;527538385.89684;37412498.36422;57762182.86174;17226253.05391;288691443.87299;39796577.41217;26772467.31951;77395976.99644;70872276.94028;54905278.71156;10877778.15084
2019-03-01;524787706.18025;37696684.90327;57168558.70539;16696153.62099;292068771.32964;39530166.83775;26662702.71888;78193579.32082;70604486.14918;54199123.9911;11554672.27575
2019-04-01;525698074.35979;37439903.19029;56226137.37655;17560930.22558;279640085.14002;39777900.79322;25810987.49298;79438888.18813;69614276.16004;52998455.25658;12470733.33764
2019-05-01;521416103.56629;38280255.84457;57779655.02905;18480447.72043;283664961.44305;39802947.30905;25925991.28085;84361923.27157;70180493.13235;53988487.47679;12896570.67218
2019-06-01;519947459.76769;38548905.80975;58474212.58561;18374172.44938;283701837.48839;41093304.40561;25024729.30363;79260200.76737;72423629.10603;53052484.79027;13358351.67342
2019-07-01;522421686.74125;40033054.80689;59857987.69197;18220562.94686;288339943.5861;42025684.73746;25832981.0788;84823019.22714;72158769.8714;55588587.87708;14094967.58674
2019-08-01;517612497.11509;38696453.76014;61524304.31537;18198759.22349;279827768.67027;44211099.20361;25822076.34964;81860987.65527;72920220.86596;53628734.40512;14734879.44013
2019-09-01;529010786.14188;39362288.20499;61348800.20503;18157732.25089;286090058.67028004;44353790.22825;25983340.81473;81074379.57157;73504251.69793;54928201.5153;15200158.723920004
2019-10-01;525745980.7802301;38111289.08072;60236875.14939;19071412.78818;274609380.68118;45278971.22652;26941360.28263;82180049.43831;71645925.18961;54473767.052360006;15578281.36283
2019-11-01;533098308.57765;40085666.69199;61626428.23233;19032011.932460003;284074649.68466;47013379.42251;27724983.582560003;84497995.33576;95040210.25403;54930013.07226;16557222.091
2019-12-01;539552247.6436;39392737.97478;60221118.25327;18677749.42686;280407431.3976;47039362.385400005;26170798.90435;85877514.09002;93112217.67444;55088414.17778999;18078052.23904
