date,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
2019-01-01,33491240.36916,3538408.23391,6214884.44273,1822604.73776,7663154.80756,4521107.11211,2101501.60037,10765082.72693,7718734.28058,6400679.37571,2108121.71519
2019-02-01,3904869.04898,319086.83894,567716.96621,167774.04732,1210194.52895,471279.09377,195969.64013,905568.34201,709259.71651,573865.10896,124002.37776
2019-03-01,7217790.08168,615071.74448,1167579.72193,320274.13656,3224029.0143,896180.70654,378943.17247,1752540.83467,1355197.48626,1117043.35885,271900.57561
2019-04-01,10805202.44341,932544.58138,1791813.96892,483434.31499,3211278.21447,1354834.35924,550880.01337,2638081.39515,2071998.09407,1769877.53063,448637.19998
2019-05-01,14518352.06964,1241710.56769,2363056.68514,638922.26647,3465901.21575,1781149.12963,734719.15496,3521602.4083,2802759.22686,2328949.97779,643273.37139
2019-06-01,18757396.04671,1559415.40281,2965415.59692,802684.44323,4957453.49192,2240552.73108,903561.31481,4499789.24603,3552502.53129,3020366.52406,841625.20904
2019-07-01,24804826.3004,1854639.07258,3564089.09035,967653.35381,5844593.3486,2680886.182,1068511.8275,5375904.99231,4298456.08834,3564769.60863,1100493.70255
2019-08-01,28213715.40362,2190695.18284,4234766.7379,1146018.67925,6064140.86576,3158854.8821,1274993.72513,6352645.53467,5106552.2644,4126791.31215,1363131.98725
2019-09-01,34044992.10697,2507433.75097,4896923.38787,1331354.4596,7639689.05483,3609676.35749,1437888.8021099998,7296000.60756,5830419.08671,4679875.23514,1636019.95661
2019-10-01,37306590.2581,2806400.22297,5568623.386670001,1497753.4862600002,7505119.91749,4061405.81458,1670954.13668,8226905.40309,6654745.05491,5228065.82763,1922630.22666
2019-11-01,39180126.95154,3125362.83913,6261687.67509,1681262.29642,8685690.24187,4560527.28808,1826758.61772,9205569.3583,7545366.83216,5803088.927879999,2200915.71973
2019-12-01,44306959.8178,3426399.2498500003,6946802.554570001,1855179.54855,8856614.42464,5027832.58778,1985240.39268,10156490.588140002,8229661.822419999,6325044.55606,2517351.45277
2020-01-01,47635315.12725,3734869.64694,7591894.94616,2054461.52733,10074638.16991,5548758.34594,2190638.40029,11125218.63138,9258536.67666,7009798.40164,2899753.7967100004
2020-02-01,4847661.191219999,308449.7164,804478.72322,191405.37525,1772921.54454,435411.16685,154466.88567000002,947827.43144,911317.1484,551035.09562,329981.48788
2020-03-01,12362390.94131,592949.58045,1548769.8151,365727.52173,2785075.4966200003,878187.49757,334344.64375,1841203.61148,1810988.00948,1020665.57328,667788.5544499999
2020-04-01,14487437.865510002,947370.89106,2357276.77399,571720.39595,5518326.49249,1417843.5254799998,641784.9320200001,2761612.13149,2988183.76713,1711068.24113,1123424.92968
2020-05-01,23114008.40503,1261361.27203,3077862.37313,747195.38821,7025220.88968,1835549.05637,800109.6799,3710982.59287,3600503.56012,2259498.46067,1396698.73443
2020-06-01,26865948.59424,1534311.07903,3756487.67043,933755.15431,8022551.91434,2219485.47312,986033.94893,4718310.22376,4409967.6830400005,2709132.51432,1705806.84284
2020-07-01,30666135.09105,1796707.3153199998,4428289.103379999,1118824.6446099998,8916479.99963,2602409.24365,1222137.49495,5651886.08251,5355397.77419,3128843.43555,2113258.58784
2020-08-01,34262467.44879,2093825.52652,5177314.57176,1334289.53749,11034946.05639,3071776.03696,1492567.92044,6643712.78852,6254786.63524,3621196.50178,2510553.85208
2020-09-01,37955710.75807,2377889.35949,5983282.275669999,1542031.14512,12148556.65259,3481023.86842,1819434.33362,7593926.33526,7166380.90664,4071441.27346,2783998.27068
